Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
bufr4/0/02/001/0,002001,Tipo de estación,0,Estación automática,,,,,Operational
bufr4/0/02/001/1,002001,Tipo de estación,1,Estación dotada de personal,,,,,Operational
bufr4/0/02/001/2,002001,Tipo de estación,2,Estación mixta: dotada de personal y automática,,,,,Operational
bufr4/0/02/001/3,002001,Tipo de estación,3,Valor faltante,,,,,Operational
bufr4/0/02/002/1,002002,Tipo de instrumentos para la medición del viento,1,Instrumentos homologados,"Tipo de instrumentos y unidades originales para la medición del viento (en m s¯¹, a menos que se indique otra cosa)",,,,Operational
bufr4/0/02/002/2,002002,Tipo de instrumentos para la medición del viento,2,Medidos inicialmente en nudos,"Tipo de instrumentos y unidades originales para la medición del viento (en m s¯¹, a menos que se indique otra cosa)",,,,Operational
bufr4/0/02/002/3,002002,Tipo de instrumentos para la medición del viento,3,Medidos inicialmente en km h-1,"Tipo de instrumentos y unidades originales para la medición del viento (en m s¯¹, a menos que se indique otra cosa)",,,,Operational
bufr4/0/02/002/4,002002,Tipo de instrumentos para la medición del viento,Los 4,Valor faltante,"Tipo de instrumentos y unidades originales para la medición del viento (en m s¯¹, a menos que se indique otra cosa)",,,,Operational
bufr4/0/02/003/0,002003,Tipo de instrumentos de medición utilizados,0,Instrumentos de medida de la presión asociados con equipo de medida del viento,,,,,Operational
bufr4/0/02/003/1,002003,Tipo de instrumentos de medición utilizados,1,Teodolito óptico,,,,,Operational
bufr4/0/02/003/2,002003,Tipo de instrumentos de medición utilizados,2,Radioteodolito,,,,,Operational
bufr4/0/02/003/3,002003,Tipo de instrumentos de medición utilizados,3,Radar,,,,,Operational
bufr4/0/02/003/4,002003,Tipo de instrumentos de medición utilizados,4,Sistema Omega en ondas miriamétricas,,,,,Operational
bufr4/0/02/003/5,002003,Tipo de instrumentos de medición utilizados,5,Loran-C,,,,,Operational
bufr4/0/02/003/6,002003,Tipo de instrumentos de medición utilizados,6,Perfilador del viento,,,,,Operational
bufr4/0/02/003/7,002003,Tipo de instrumentos de medición utilizados,7,Navegación satelital,,,,,Operational
bufr4/0/02/003/8,002003,Tipo de instrumentos de medición utilizados,8,Sistema de sondeo radioacústico (RASS),,,,,Operational
bufr4/0/02/003/9,002003,Tipo de instrumentos de medición utilizados,9,Sodar,,,,,Operational
bufr4/0/02/003/10,002003,Tipo de instrumentos de medición utilizados,10,Lidar,,,,,Operational
bufr4/0/02/003/11-13,002003,Tipo de instrumentos de medición utilizados,11-13,Reservadas,,,,,Operational
bufr4/0/02/003/14,002003,Tipo de instrumentos de medición utilizados,14,"Instrumento de medida de la presión asociado con equipos para la medición del viento, pero falla del elemento de medida de la presión durante el sondeo",,,,,Operational
bufr4/0/02/003/15,002003,Tipo de instrumentos de medición utilizados,15,Valor faltante,,,,,Operational
