Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
bufr4/0/23/001/0,023001,Artículos aplicables a la notificación rápida de un accidente,0,Reservada,,,,,Operational
bufr4/0/23/001/1,023001,Artículos aplicables a la notificación rápida de un accidente,1,Artículos 1 y 2,,,,,Operational
bufr4/0/23/001/2,023001,Artículos aplicables a la notificación rápida de un accidente,2,Artículo 3,,,,,Operational
bufr4/0/23/001/3,023001,Artículos aplicables a la notificación rápida de un accidente,3,Artículo 5.2,,,,,Operational
bufr4/0/23/001/4-6,023001,Artículos aplicables a la notificación rápida de un accidente,4-6,Reservadas,,,,,Operational
bufr4/0/23/001/7,023001,Artículos aplicables a la notificación rápida de un accidente,7,Valor faltante,,,,,Operational
bufr4/0/23/002/0,023002,Actividad o instalación relacionada con el incidente,0,Reservada,,,,,Operational
bufr4/0/23/002/1,023002,Actividad o instalación relacionada con el incidente,1,Reactor nuclear en tierra,,,,,Operational
bufr4/0/23/002/2,023002,Actividad o instalación relacionada con el incidente,2,Reactor nuclear en el mar,,,,,Operational
bufr4/0/23/002/3,023002,Actividad o instalación relacionada con el incidente,3,Reactor nuclear en el espacio,,,,,Operational
bufr4/0/23/002/4,023002,Actividad o instalación relacionada con el incidente,4,Instalación de combustible nuclear,,,,,Operational
bufr4/0/23/002/5,023002,Actividad o instalación relacionada con el incidente,5,Instalación de gestión de desechos radiactivos,,,,,Operational
bufr4/0/23/002/6,023002,Actividad o instalación relacionada con el incidente,6,Transporte de combustible nuclear o de desechos radiactivos,,,,,Operational
bufr4/0/23/002/7,023002,Actividad o instalación relacionada con el incidente,7,Almacenamiento de combustible nuclear o de desechos radiactivos,,,,,Operational
bufr4/0/23/002/8,023002,Actividad o instalación relacionada con el incidente,8,Fabricación de radioisótopos,,,,,Operational
bufr4/0/23/002/9,023002,Actividad o instalación relacionada con el incidente,9,Utilización de radioisótopos,,,,,Operational
bufr4/0/23/002/10,023002,Actividad o instalación relacionada con el incidente,10,Almacenamiento de radioisótopos,,,,,Operational
bufr4/0/23/002/11,023002,Actividad o instalación relacionada con el incidente,11,Eliminación de radioisótopos,,,,,Operational
bufr4/0/23/002/12,023002,Actividad o instalación relacionada con el incidente,12,Transporte de radioisótopos,,,,,Operational
bufr4/0/23/002/13,023002,Actividad o instalación relacionada con el incidente,13,Utilización de radioisótopos para la producción de energía,,,,,Operational
bufr4/0/23/002/14-29,023002,Actividad o instalación relacionada con el incidente,14-29,Reservadas,,,,,Operational
bufr4/0/23/002/30,023002,Actividad o instalación relacionada con el incidente,30,Otras,,,,,Operational
bufr4/0/23/002/31,023002,Actividad o instalación relacionada con el incidente,31,Valor faltante,,,,,Operational
bufr4/0/23/003/0,023003,Tipo de emisión de sustancias,0,Ninguna emisión,,,,,Operational
bufr4/0/23/003/1,023003,Tipo de emisión de sustancias,1,Emisión en la atmósfera,,,,,Operational
bufr4/0/23/003/2,023003,Tipo de emisión de sustancias,2,Emisión en el agua,,,,,Operational
bufr4/0/23/003/3,023003,Tipo de emisión de sustancias,3,Emisión en la atmósfera y en el agua,,,,,Operational
bufr4/0/23/003/4,023003,Tipo de emisión de sustancias,4,Emisión prevista en la atmósfera,,,,,Operational
bufr4/0/23/003/5,023003,Tipo de emisión de sustancias,5,Emisión prevista en el agua,,,,,Operational
bufr4/0/23/003/6,023003,Tipo de emisión de sustancias,6,Emisión prevista en la atmósfera y en el agua,,,,,Operational
bufr4/0/23/003/7,023003,Tipo de emisión de sustancias,7,Valor faltante,,,,,Operational
bufr4/0/23/004/0,023004,Contramedidas tomadas cerca de la frontera,0,Ninguna contramedida,,,,,Operational
bufr4/0/23/004/1,023004,Contramedidas tomadas cerca de la frontera,1,Evacuación,,,,,Operational
bufr4/0/23/004/2,023004,Contramedidas tomadas cerca de la frontera,2,Protección en refugios,,,,,Operational
bufr4/0/23/004/3,023004,Contramedidas tomadas cerca de la frontera,3,Medidas profilácticas,,,,,Operational
bufr4/0/23/004/4,023004,Contramedidas tomadas cerca de la frontera,4,Agua,,,,,Operational
bufr4/0/23/004/5-6,023004,Contramedidas tomadas cerca de la frontera,5-6,Reservadas,,,,,Operational
bufr4/0/23/004/7,023004,Contramedidas tomadas cerca de la frontera,7,Valor faltante,,,,,Operational
bufr4/0/23/005/0,023005,Causa del incidente,0,Las autoridades del Estado donde se produjo el incidente no se explican lo sucedido,,,,,Operational
bufr4/0/23/005/1,023005,Causa del incidente,1,Las autoridades del Estado donde se produjo el incidente conocen su causa,,,,,Operational
bufr4/0/23/005/2,023005,Causa del incidente,2,Reservada,,,,,Operational
bufr4/0/23/005/3,023005,Causa del incidente,3,Valor faltante,,,,,Operational
bufr4/0/23/006/0,023006,Situación luego del incidente,0,La situación no mejora,,,,,Operational
bufr4/0/23/006/1,023006,Situación luego del incidente,1,Situación inestable,,,,,Operational
bufr4/0/23/006/2,023006,Situación luego del incidente,2,La situación no empeora,,,,,Operational
bufr4/0/23/006/3,023006,Situación luego del incidente,3,La situación mejora,,,,,Operational
bufr4/0/23/006/4,023006,Situación luego del incidente,4,Situación estable,,,,,Operational
bufr4/0/23/006/5,023006,Situación luego del incidente,5,La situación empeora,,,,,Operational
bufr4/0/23/006/6,023006,Situación luego del incidente,6,Reservada,,,,,Operational
bufr4/0/23/006/7,023006,Situación luego del incidente,7,Valor faltante,,,,,Operational
bufr4/0/23/007/0,023007,Características de la emisión de sustancias,0,No hay emisión,,,,,Operational
bufr4/0/23/007/1,023007,Características de la emisión de sustancias,1,La emisión ha cesado,,,,,Operational
bufr4/0/23/007/2,023007,Características de la emisión de sustancias,2,Emisión,,,,,Operational
bufr4/0/23/007/3,023007,Características de la emisión de sustancias,3,La emisión continúa,,,,,Operational
bufr4/0/23/007/4-6,023007,Características de la emisión de sustancias,4-6,Reservadas,,,,,Operational
bufr4/0/23/007/7,023007,Características de la emisión de sustancias,7,Valor faltante,,,,,Operational
bufr4/0/23/008/0,023008,Estado actual de la emisión de sustancias,0,Gaseosa,,,,,Operational
bufr4/0/23/008/1,023008,Estado actual de la emisión de sustancias,1,De partículas,,,,,Operational
bufr4/0/23/008/2,023008,Estado actual de la emisión de sustancias,2,Mezcla de emisiones gaseosas y de partículas,,,,,Operational
bufr4/0/23/008/3,023008,Estado actual de la emisión de sustancias,3,Valor faltante,,,,,Operational
bufr4/0/23/009/0,023009,Estado previsto de la emisión de sustancias,0,Gaseosa,,,,,Operational
bufr4/0/23/009/1,023009,Estado previsto de la emisión de sustancias,1,De partículas,,,,,Operational
bufr4/0/23/009/2,023009,Estado previsto de la emisión de sustancias,2,Mezcla de emisiones gaseosas y de partículas,,,,,Operational
bufr4/0/23/009/3,023009,Estado previsto de la emisión de sustancias,3,Valor faltante,,,,,Operational
bufr4/0/23/016/0,023016,Riesgo de una importante intoxicación de origen químico que afecte a la salud,0,No hay ninguna importante intoxicación de origen químico que afecte a la salud,,,,,Operational
bufr4/0/23/016/1,023016,Riesgo de una importante intoxicación de origen químico que afecte a la salud,1,Riesgo de una importante intoxicación de origen químico que afecte a la salud,,,,,Operational
bufr4/0/23/016/2,023016,Riesgo de una importante intoxicación de origen químico que afecte a la salud,2,Reservada,,,,,Operational
bufr4/0/23/016/3,023016,Riesgo de una importante intoxicación de origen químico que afecte a la salud,3,Valor faltante,,,,,Operational
bufr4/0/23/018/0,023018,Evolución de la emisión de sustancias con el paso del tiempo,0,La emisión ha cesado,,,,,Operational
bufr4/0/23/018/1,023018,Evolución de la emisión de sustancias con el paso del tiempo,1,La emisión prosigue,,,,,Operational
bufr4/0/23/018/2,023018,Evolución de la emisión de sustancias con el paso del tiempo,2,Se prevé un aumento de la emisión en las próximas seis horas,,,,,Operational
bufr4/0/23/018/3,023018,Evolución de la emisión de sustancias con el paso del tiempo,3,Se prevé que la emisión permanecerá constante en las próximas seis horas,,,,,Operational
bufr4/0/23/018/4,023018,Evolución de la emisión de sustancias con el paso del tiempo,4,Se prevé una disminución de la emisión en las próximas seis horas,,,,,Operational
bufr4/0/23/018/5-6,023018,Evolución de la emisión de sustancias con el paso del tiempo,5-6,Reservadas,,,,,Operational
bufr4/0/23/018/7,023018,Evolución de la emisión de sustancias con el paso del tiempo,7,Valor faltante,,,,,Operational
bufr4/0/23/031/0,023031,Riesgo de que la columna radiactiva encuentre precipitaciones en el país en que ha ocurrido el incidente,0,La columna radiactiva no encontrará lluvia en el país donde se ha producido el incidente,,,,,Operational
bufr4/0/23/031/1,023031,Riesgo de que la columna radiactiva encuentre precipitaciones en el país en que ha ocurrido el incidente,1,La columna radiactiva encontrará lluvia en el país donde se ha producido el incidente,,,,,Operational
bufr4/0/23/031/2,023031,Riesgo de que la columna radiactiva encuentre precipitaciones en el país en que ha ocurrido el incidente,2,Reservada,,,,,Operational
bufr4/0/23/031/3,023031,Riesgo de que la columna radiactiva encuentre precipitaciones en el país en que ha ocurrido el incidente,3,Valor faltante,,,,,Operational
bufr4/0/23/032/0,023032,Posibilidad de que la columna radiactiva sea afectada por un cambio en la dirección o en la velocidad del viento,0,No se prevé ningún cambio importante en las próximas seis horas,,,,,Operational
bufr4/0/23/032/1,023032,Posibilidad de que la columna radiactiva sea afectada por un cambio en la dirección o en la velocidad del viento,1,Se prevé un cambio importante en las próximas seis horas,,,,,Operational
bufr4/0/23/032/2,023032,Posibilidad de que la columna radiactiva sea afectada por un cambio en la dirección o en la velocidad del viento,2,Reservada,,,,,Operational
bufr4/0/23/032/3,023032,Posibilidad de que la columna radiactiva sea afectada por un cambio en la dirección o en la velocidad del viento,3,Valor faltante,,,,,Operational
