Id,Category,CategoryOfSequences_es,FXY1,Title_es,,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
bufr4/3/02/001/1/010004,02,Secuencias meteorológicas comunes a los datos de superficie,302001,(Presión y cambio de presión en 3 horas),,010004,Presión,Nivel de la estación,,,Operational
bufr4/3/02/001/2/010051,02,Secuencias meteorológicas comunes a los datos de superficie,302001,(Presión y cambio de presión en 3 horas),,010051,Presión reducida al nivel medio del mar,,,,Operational
bufr4/3/02/001/3/010061,02,Secuencias meteorológicas comunes a los datos de superficie,302001,(Presión y cambio de presión en 3 horas),,010061,Cambio de presión en 3 horas,,,,Operational
bufr4/3/02/001/4/010063,02,Secuencias meteorológicas comunes a los datos de superficie,302001,(Presión y cambio de presión en 3 horas),,010063,Característica de la tendencia barométrica,,,,Operational
bufr4/3/02/002/1/010004,02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,010004,Presión,Nivel de la estación,,,Operational
bufr4/3/02/002/2/007004,02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,007004,Presión,Nivel de presión,,,Operational
bufr4/3/02/002/3/010003,02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,010003,Geopotencial,Nivel de presión,,,Operational
bufr4/3/02/002/4/010061,02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,010061,Cambios de presión en 3 horas,,,,Operational
bufr4/3/02/002/5/010063,02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,010063,Característica de la tendencia barométrica,,,,Operational
bufr4/3/02/003/1/011011,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,011011,Dirección del viento a 10 m,,,,Operational
bufr4/3/02/003/2/011012,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,011012,Velocidad del viento a 10 m,,,,Operational
bufr4/3/02/003/3/012004,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,012004,Temperatura del aire a 2 m,,,,Operational
bufr4/3/02/003/4/012006,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,012006,Temperatura del punto de rocío a 2 m,,,,Operational
bufr4/3/02/003/5/013003,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,013003,Humedad relativa,,,,Operational
bufr4/3/02/003/6/020001,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,020001,Visibilidad horizontal,,,,Operational
bufr4/3/02/003/7/020003,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,020003,Tiempo presente,,,,Operational
bufr4/3/02/003/8/020004,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,020004,Tiempo pasado (1),,,,Operational
bufr4/3/02/003/9/020005,02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,020005,Tiempo pasado (2),,,,Operational
bufr4/3/02/004/1/020010,02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020010,Cubierta de nubes (total),,,,Operational
