FXY,OperatorName_es,OperationDefinition_es,Note_es,noteIDs,Status
223000,Valores sustituidos,,,,
223255,Marcador de valores sustituidos,,,,
224000,Siguen valores estadísticos de primer orden,,,,
224255,Marcador de valores estadísticos de primer orden,,,,
225000,Siguen valores estadís- ticos de primer orden,,,,
225255,Marcador de valores estadísticos de diferencia,,,,
232000,Siguen valores sustituidos/retenidos,,,,
232255,Marcador de valor sustituido/retenido,,,,
235000,"Cancelación de referencia de datos
hacia atrás",,,,
236000,Definición de mapa de bits de datos,Este operador define el mapa de bits de datos que sigue para posible reutilización; solo puede definirse un mapa de bits de datos entre este operador y el operador cancelación de utilización del mapa de bits de datos definido.,,,
237000,Utilización del mapa de bits de datos definido,Este operador hace que se utilice de nuevo el mapa de bits de datos definido.,,,
237255,Cancelación de la utilización del mapa de bits de datos definido,Este operador cancela la reutilización del mapa de bits de datos definido.,,,
241000,Definición de suceso,Este operador indica el comienzo de la definición de un suceso.,(véase la nota 19),,
241255,Cancelación de la definición de suceso,Este operador indica la conclusión de la definición de un suceso que había comenzado mediante el operador 2 41 000 precedente.,,,
242000,Definición de suceso condicionante,Este operador indica el comienzo de la definición de un suceso condicionante.,(véase la nota 19),,
242255,Cancelación de la definición de suceso condicionante,Este operador indica la conclusión de la definición de un suceso condicionante que había comenzado mediante el operador 2 42 000 precedente.,,,
243000,Siguen valores de predicción categórica,Los valores que siguen son valores de predicción categórica.,(véase la nota 20),,
243255,Sigue cancelación de valores de predicción categórica,Este operador indica la conclusión de la definición de valores de predicción categórica que había comenzado mediante el operador 2 43 000 precedente.,,,
,,,,,
