Id,﻿ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
bufr4/0/22/001,22,Elementos oceanográficos,022001,Dirección de las olas,grado verdadero,0,0,9,grado verdadero,0,3,,,Operational
bufr4/0/22/002,22,Elementos oceanográficos,022002,Dirección de las olas de viento,grado verdadero,0,0,9,grado verdadero,0,3,,,Operational
bufr4/0/22/003,22,Elementos oceanográficos,022003,Dirección de las olas de mar de fondo,grado verdadero,0,0,9,grado verdadero,0,3,,,Operational
bufr4/0/22/004,22,Elementos oceanográficos,022004,Dirección de la corriente,grado verdadero,0,0,9,grado verdadero,0,3,(véase la nota 7),,Operational
bufr4/0/22/005,22,Elementos oceanográficos,022005,Dirección de la corriente en la superficie del mar,grado verdadero,0,0,9,grado verdadero,0,3,,,Operational
bufr4/0/22/011,22,Elementos oceanográficos,022011,Período de las olas,s,0,0,6,s,0,2,,,Operational
bufr4/0/22/012,22,Elementos oceanográficos,022012,Período de las olas de viento,s,0,0,6,s,0,2,,,Operational
bufr4/0/22/013,22,Elementos oceanográficos,022013,Período de las olas de mar de fondo,s,0,0,6,s,0,2,,,Operational
bufr4/0/22/021,22,Elementos oceanográficos,022021,Altura de las olas,m,1,0,10,m,1,4,,,Operational
bufr4/0/22/022,22,Elementos oceanográficos,022022,Altura de las olas de viento,m,1,0,10,m,1,4,,,Operational
bufr4/0/22/023,22,Elementos oceanográficos,022023,Altura de las olas de mar de fondo,m,1,0,10,m,1,4,,,Operational
bufr4/0/22/025,22,Elementos oceanográficos,022025,Desviación estándar de la altura de las olas,m,2,0,10,m,2,4,,,Operational
bufr4/0/22/026,22,Elementos oceanográficos,022026,Desviación estándar de la altura significativa de las olas,m,2,0,10,m,2,4,,,Operational
bufr4/0/22/031,22,Elementos oceanográficos,022031,Velocidad de la corriente,m s-1,2,0,13,m s-1,2,4,,,Operational
bufr4/0/22/032,22,Elementos oceanográficos,022032,Velocidad de la corriente en la superficie del mar,m s-1,2,0,13,m s-1,2,4,,,Operational
bufr4/0/22/035,22,Elementos oceanográficos,022035,Altura de las mareas con relación al cero hidrográfico local,m,2,0,14,m,2,4,,,Operational
bufr4/0/22/036,22,Elementos oceanográficos,022036,Altura residual meteorológica de las mareas (positiva o negativa),m,2,0,14,m,2,4,,,Operational
bufr4/0/22/037,22,Elementos oceanográficos,022037,Altura de las mareas con relación al plan de referencia nacional,m,3,-10000,15,m,3,5,,,Operational
bufr4/0/22/038,22,Elementos oceanográficos,022038,Altura de las mareas con relación al cero hidrográfico local,m,3,-10000,15,m,3,5,,,Operational
