Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
bufr4/0/29/001/0,029001,Tipo de proyección,0,Proyección gnomónica,,,,,Operational
bufr4/0/29/001/1,029001,Tipo de proyección,1,Proyección estereográfica polar,,,,,Operational
bufr4/0/29/001/2,029001,Tipo de proyección,2,Proyección cónica de Lambert,,,,,Operational
bufr4/0/29/001/3,029001,Tipo de proyección,3,Proyección de Mercator,,,,,Operational
bufr4/0/29/001/4,029001,Tipo de proyección,4,Cono de barrido (radar),,,El tipo de proyección 4 indica una retícula cartesiana situada directamente en el cono de exploración definido por el barrido azimutal del radar.,,Operational
bufr4/0/29/001/5,029001,Tipo de proyección,5,Reservada,,,,,Operational
bufr4/0/29/001/6,029001,Tipo de proyección,6,Sin proyección,,,,,Operational
bufr4/0/29/001/7,029001,Tipo de proyección,7,Valor faltante,,,,,Operational
bufr4/0/29/002/0,029002,Tipo de retícula de coordenadas,0,Cartesiana,,,,,Operational
bufr4/0/29/002/1,029002,Tipo de retícula de coordenadas,1,Polar,,,,,Operational
bufr4/0/29/002/2,029002,Tipo de retícula de coordenadas,2,De otro tipo,,,,,Operational
bufr4/0/29/002/3-6,029002,Tipo de retícula de coordenadas,3-6,Reservadas,,,,,Operational
bufr4/0/29/002/7,029002,Tipo de retícula de coordenadas,7,Valor faltante,,,,,Operational
