FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
033002,Información sobre la calidad,0,Datos no sospechosos,,,,,Operational
033002,Información sobre la calidad,1,Datos sospechosos,,,,,Operational
033002,Información sobre la calidad,2,Reservada,,,,,Operational
033002,Información sobre la calidad,3,Información sobre la calidad no proporcionada,,,,,Operational
033003,Información sobre la calidad,0,Datos no sospechosos,,,,,Operational
033003,Información sobre la calidad,1,Datos ligeramente sospechosos,,,,,Operational
033003,Información sobre la calidad,2,Datos muy sospechosos,,,,,Operational
033003,Información sobre la calidad,3,Datos considerados inapropiados para utilizarlos,,,,,Operational
033003,Información sobre la calidad,4-6,Reservadas,,,,,Operational
033003,Información sobre la calidad,7,Información sobre la calidad no proporcionada,,,,,Operational
033005,Información sobre la calidad (datos EMA),1,Verificaciones automáticas de datos meteorológicos no realizadas,,,,,Operational
033005,Información sobre la calidad (datos EMA),2,Datos de presión sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),3,Datos de viento sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),4,Datos de temperatura del aire sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),5,Datos de temperatura de bulbo húmedo sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),6,Datos de humedad sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),7,Datos de temperatura del terreno sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),8,Datos de temperatura del suelo (profundidad 1) sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),9,Datos de temperatura del suelo (profundidad 2) sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),10,Datos de temperatura del suelo (profundidad 3) sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),11,Datos de temperatura del suelo (profundidad 4) sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),12,Datos de temperatura del suelo (profundidad 5) sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),13,Datos de nubes sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),14,Datos de visibilidad sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),15,Datos de tiempo presente sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),16,Datos de rayos sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),17,Datos de depósito de hielo sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),18,Datos de precipitación sospechosos,,,,,Operational
033005,Información sobre la calidad (datos EMA),19,Datos de estado del terreno sospechosos,,,,,Operational
