Id,Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
bufr4/3/00/002/1/000002,00,Secuencias correspondientes a las entradas en las tablas BUFR,300002,,,000002,"Tabla A: categoría de descripción de datos, línea 1",,,,Operational
bufr4/3/00/002/2/000003,00,Secuencias correspondientes a las entradas en las tablas BUFR,300002,,,000003,"Tabla A: categoría de descripción de datos, línea 2",,,,Operational
bufr4/3/00/003/1/000010,00,Secuencias correspondientes a las entradas en las tablas BUFR,300003,"Descriptores F, X, Y por añadir o definir",,000010,Descriptor F por añadir o definir,,,,Operational
bufr4/3/00/003/2/000011,00,Secuencias correspondientes a las entradas en las tablas BUFR,300003,"Descriptores F, X, Y por añadir o definir",,000011,Descriptor X por añadir o definir,,,,Operational
bufr4/3/00/003/3/000012,00,Secuencias correspondientes a las entradas en las tablas BUFR,300003,"Descriptores F, X, Y por añadir o definir",,000012,Descriptor Y por añadir o definir,,,,Operational
bufr4/3/00/004/1/300003,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,300003,"Descriptores F, X, Y por añadir o definir",,,,Operational
bufr4/3/00/004/2/000013,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,000013,"Nombre del elemento, línea 1",,,,Operational
bufr4/3/00/004/3/000014,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,000014,"Nombre del elemento, línea 2",,,,Operational
bufr4/3/00/004/4/000015,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,000015,Nombre de las unidades,,,,Operational
bufr4/3/00/004/5/000016,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,000016,Signo del factor de escala,,,,Operational
bufr4/3/00/004/6/000017,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,000017,Factor de escala,,,,Operational
bufr4/3/00/004/7/000018,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,000018,Signo de referencia de las unidades,,,,Operational
bufr4/3/00/004/8/000019,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,000019,Valor de referencia de las unidades,,,,Operational
bufr4/3/00/004/9/000020,00,Secuencias correspondientes a las entradas en las tablas BUFR,300004,,,000020,Anchura de datos del elemento,,,,Operational
bufr4/3/00/010/1/300003,00,Secuencias correspondientes a las entradas en las tablas BUFR,300010,,,300003,"Descriptores F, X, Y por añadir o definir",,,,Operational
bufr4/3/00/010/2/101000,00,Secuencias correspondientes a las entradas en las tablas BUFR,300010,,,101000,Repetición diferida de 1 descriptor,,,,Operational
bufr4/3/00/010/3/031001,00,Secuencias correspondientes a las entradas en las tablas BUFR,300010,,,031001,Factor de repetición diferida del descriptor,,,,Operational
bufr4/3/00/010/4/000030,00,Secuencias correspondientes a las entradas en las tablas BUFR,300010,,,000030,Secuencia que define al descriptor,,,,Operational
bufr4/3/00/015/1/000030,00,Secuencias correspondientes a las entradas en las tablas BUFR,300015,Definición de la tabla de cifrado,,000030,Secuencia de definición del descriptor,,,,Operational
bufr4/3/00/015/2/102000,00,Secuencias correspondientes a las entradas en las tablas BUFR,300015,Definición de la tabla de cifrado,,102000,Repetición diferida de 2 descriptores,,,,Operational
bufr4/3/00/015/3/031002,00,Secuencias correspondientes a las entradas en las tablas BUFR,300015,Definición de la tabla de cifrado,,031002,Factor ampliado de repetición diferida del descriptor,,,,Operational
bufr4/3/00/015/4/000024,00,Secuencias correspondientes a las entradas en las tablas BUFR,300015,Definición de la tabla de cifrado,,000024,Cifra de clave,,,,Operational
bufr4/3/00/015/5/000025,00,Secuencias correspondientes a las entradas en las tablas BUFR,300015,Definición de la tabla de cifrado,,000025,Significado de la clave,,,,Operational
bufr4/3/00/016/1/000030,00,Secuencias correspondientes a las entradas en las tablas BUFR,300016,Definición de la tabla de banderines,,000030,Secuencia de definición del descriptor,,,,Operational
bufr4/3/00/016/2/102000,00,Secuencias correspondientes a las entradas en las tablas BUFR,300016,Definición de la tabla de banderines,,102000,Repetición diferida de 2 descriptores,,,,Operational
bufr4/3/00/016/3/031001,00,Secuencias correspondientes a las entradas en las tablas BUFR,300016,Definición de la tabla de banderines,,031001,Factor de repetición diferida del descriptor,,,,Operational
bufr4/3/00/016/4/000026,00,Secuencias correspondientes a las entradas en las tablas BUFR,300016,Definición de la tabla de banderines,,000026,Número de bit,,,,Operational
bufr4/3/00/016/5/000027,00,Secuencias correspondientes a las entradas en las tablas BUFR,300016,Definición de la tabla de banderines,,000027,Significado del número de bit,,,,Operational
