Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
bufr4/0/25/004/0,025004,Proceso de datos sobre ecos,0,Incoherente,,,,,Operational
bufr4/0/25/004/1,025004,Proceso de datos sobre ecos,1,Coherente (Doppler),,,,,Operational
bufr4/0/25/004/2,025004,Proceso de datos sobre ecos,2,Reservada,,,,,Operational
bufr4/0/25/004/3,025004,Proceso de datos sobre ecos,3,Valor faltante,,,,,Operational
bufr4/0/25/005/0,025005,Integración de los ecos,0,"Logarítmica - 2,5 dB",,,,,Operational
bufr4/0/25/005/1,025005,Integración de los ecos,1,Lineal,,,,,Operational
bufr4/0/25/005/2,025005,Integración de los ecos,2,Especial,,,,,Operational
bufr4/0/25/005/3,025005,Integración de los ecos,3,Valor faltante,,,,,Operational
bufr4/0/25/006/0,025006,Conversión Z a R,0,Conversión ZH a R,,,,,Operational
bufr4/0/25/006/1,025006,Conversión Z a R,1,"(ZH, ZDR) a (NO, DO) a R",,,,,Operational
bufr4/0/25/006/2,025006,Conversión Z a R,2,"(Z (F1), Z (F2)) a atenuación a R",,,,,Operational
bufr4/0/25/006/3-5,025006,Conversión Z a R,3-5,Reservadas,,,,,Operational
bufr4/0/25/006/6,025006,Conversión Z a R,6,Otros,,,,,Operational
bufr4/0/25/006/7,025006,Conversión Z a R,7,Valor faltante,,,,,Operational
bufr4/0/25/009/1,025009,Método de calibración,1,Ninguno,,,,,Operational
bufr4/0/25/009/2,025009,Método de calibración,2,Blanco o señal de calibración,,,,,Operational
bufr4/0/25/009/3,025009,Método de calibración,3,Con relación a los pluviómetros,,,,,Operational
bufr4/0/25/009/4,025009,Método de calibración,4,Con relación a otros instrumentos (distrómetro, atenuación),,,,
bufr4/0/25/009/4,025009,Método de calibración,Los 4,Valor faltante,,,,,Operational
bufr4/0/25/010/0,025010,Tratamiento de los ecos parásitos,0,Ninguno,,,,,Operational
bufr4/0/25/010/1,025010,Tratamiento de los ecos parásitos,1,Mapa,,,,,Operational
bufr4/0/25/010/2,025010,Tratamiento de los ecos parásitos,2,Inserción de datos para un ángulo del lugar más elevado y mapa,,,,,Operational
bufr4/0/25/010/3,025010,Tratamiento de los ecos parásitos,3,Análisis de la variación de la señal logarítmica (detección de ecos parásitos),,,,,Operational
bufr4/0/25/010/4,025010,Tratamiento de los ecos parásitos,4,Extracción de la parte variable de la señal lineal (supresión de ecos parásitos),,,,,Operational
bufr4/0/25/010/5,025010,Tratamiento de los ecos parásitos,5,Supresión de ecos parásitos - Doppler,,,,,Operational
bufr4/0/25/010/6,025010,Tratamiento de los ecos parásitos,6,Análisis multiparamétrico,,,,,Operational
bufr4/0/25/010/7-14,025010,Tratamiento de los ecos parásitos,7-14,Reservadas,,,,,Operational
bufr4/0/25/010/15,025010,Tratamiento de los ecos parásitos,15,Valor faltante,,,,,Operational
bufr4/0/25/011/0,025011,Corrección de los ecos de suelo (filtrado),0,Ninguna,,,,,Operational
bufr4/0/25/011/1,025011,Corrección de los ecos de suelo (filtrado),1,Mapa de factores de corrección,,,,,Operational
bufr4/0/25/011/2,025011,Corrección de los ecos de suelo (filtrado),2,Interpolación (azimut o elevación),,,,,Operational
bufr4/0/25/011/3,025011,Corrección de los ecos de suelo (filtrado),3,Valor faltante,,,,,Operational
bufr4/0/25/012/0,025012,Corrección de la atenuación del alcance,0,Equipo de computación,,,,,Operational
bufr4/0/25/012/1,025012,Corrección de la atenuación del alcance,1,Programación,,,,,Operational
bufr4/0/25/012/2,025012,Corrección de la atenuación del alcance,2,Equipo de computación y programación,,,,,Operational
bufr4/0/25/012/3,025012,Corrección de la atenuación del alcance,3,Valor faltante,,,,,Operational
bufr4/0/25/013/1,025013,Corrección de la banda brillante,1,Corrección de la banda brillante,,,,,Operational
bufr4/0/25/013/2,025013,Corrección de la banda brillante,Los 2,Valor faltante,,,,,Operational
bufr4/0/25/015/1,025015,Corrección de la atenuación por el radomo,1,Corrección de la atenuación por el radomo,,,,,Operational
