Id,CodeFigure,Meaning_es,Status
bufr4/a/0,0,Datos de superficie — terrestres,Operational
bufr4/a/1,1,Datos de superficie — marinos,Operational
bufr4/a/2,2,Sondeos verticales (distintos de los satelitales),Operational
bufr4/a/3,3,Sondeos verticales (de satélite),Operational
bufr4/a/4,4,Datos de observaciones en altitud de nivel único (distintos de los satelitales),Operational
bufr4/a/5,5,Datos de observaciones en altitud de nivel único (de satélite),Operational
bufr4/a/6,6,Datos de radar,Operational
bufr4/a/7,7,Características sinópticas,Operational
bufr4/a/8,8,Componentes físicos/químicos,Operational
bufr4/a/9,9,Dispersión y transporte,Operational
bufr4/a/10,10,Datos radiológicos,Operational
bufr4/a/11,11,Tablas BUFR: reemplazo completo o actualización,Operational
bufr4/a/12,12,Datos de superficie (satélite),Operational
bufr4/a/13,13,Predicciones,Operational
bufr4/a/14,14,Avisos,Operational
bufr4/a/15–19,15–19,Reservadas,Operational
bufr4/a/20,20,Información sobre la situación,Operational
bufr4/a/21,21,Radiancias (medidas por satélite),Operational
bufr4/a/22,22,"Radar (satélite), pero no altímetro y dispersómetro",Operational
bufr4/a/23,23,Lidar (satélite),Operational
bufr4/a/24,24,Dispersometría (satélite),Operational
bufr4/a/25,25,Altimetría (satélite),Operational
bufr4/a/26,26,Espectrometría (satélite),Operational
bufr4/a/27,27,Medición de gravedad (satélite),Operational
bufr4/a/28,28,Órbita de precisión (satélite),Operational
bufr4/a/29,29,Entorno espacial (satélite),Operational
bufr4/a/30,30,Conjuntos de datos de calibración (satélite),Operational
bufr4/a/31,31,Datos oceanográficos,Operational
bufr4/a/32–100,32–100,Reservadas,Operational
bufr4/a/101,101,Datos en imágenes (satélite),Operational
bufr4/a/102–239,102–239,Reservadas,Operational
bufr4/a/240–254,240–254,Para uso experimental,Operational
bufr4/a/255,255,Otra categoría,Operational
