Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
bufr4/0/19/001/0,019001,Tipo de característica sinóptica,0,Depresión o mínimo barométrico (extratropical),,,,,Operational
bufr4/0/19/001/1,019001,Tipo de característica sinóptica,1,Depresión tropical,,,,,Operational
bufr4/0/19/001/2,019001,Tipo de característica sinóptica,2,Tormenta tropical,,,,,Operational
bufr4/0/19/001/3,019001,Tipo de característica sinóptica,3,Tormenta tropical fuerte,,,,,Operational
bufr4/0/19/001/4,019001,Tipo de característica sinóptica,4,Tifón,,,,,Operational
bufr4/0/19/001/5-9,019001,Tipo de característica sinóptica,5-9,Reservadas,,,,,Operational
bufr4/0/19/001/10,019001,Tipo de característica sinóptica,10,Tempestad de polvo/arena,,,,,Operational
bufr4/0/19/001/11-62,019001,Tipo de característica sinóptica,11-62,Reservadas,,,,,Operational
bufr4/0/19/001/63,019001,Tipo de característica sinóptica,63,Valor faltante,,,,,Operational
bufr4/0/19/008/0,019008,Extensión vertical de la circulación,0,Reservada,,,,,Operational
bufr4/0/19/008/1,019008,Extensión vertical de la circulación,1,Poco profundo (tope de la circulación por debajo del nivel de 700 hPa),,,,,Operational
bufr4/0/19/008/2,019008,Extensión vertical de la circulación,2,Medio (tope entre los niveles de 700 y 400 hPa),,,,,Operational
bufr4/0/19/008/3,019008,Extensión vertical de la circulación,3,Profundo (tope por encima del nivel 400 hPa),,,,,Operational
bufr4/0/19/008/4-6,019008,Extensión vertical de la circulación,4-6,Reservadas,,,,,Operational
bufr4/0/19/008/7,019008,Extensión vertical de la circulación,7,Valor faltante,,,,,Operational
bufr4/0/19/010/1,019010,Método de seguimiento del centro de la característica sinóptica,1,Valor mínimo de la presión al nivel del mar,,,,,Operational
bufr4/0/19/010/2,019010,Método de seguimiento del centro de la característica sinóptica,2,Valor máximo de la vorticidad relativa a 850 hPa,,,,,Operational
bufr4/0/19/010/3-14,019010,Método de seguimiento del centro de la característica sinóptica,3-14,Reservadas,,,,,Operational
bufr4/0/19/010/15,019010,Método de seguimiento del centro de la característica sinóptica,15,Valor faltante,,,,,Operational
bufr4/0/19/100/0-2,019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,0-2,No utilizado,,,,,Operational
