Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
bufr4/0/22/056/0,022056,Dirección del perfil,0,Perfil ascendente,,,,,Operational
bufr4/0/22/056/1,022056,Dirección del perfil,1,Perfil descendente,,,,,Operational
bufr4/0/22/056/2,022056,Dirección del perfil,2,Horizontal,,,,,Operational
bufr4/0/22/056/3,022056,Dirección del perfil,3,Valor faltante,,,,,Operational
bufr4/0/22/060/0,022060,Estado del ancla flotante de la boya lagrangiana a la deriva,0,Ancla flotante desprendida,,,,,Operational
bufr4/0/22/060/1,022060,Estado del ancla flotante de la boya lagrangiana a la deriva,1,Ancla flotante fijada,,,,,Operational
bufr4/0/22/060/2,022060,Estado del ancla flotante de la boya lagrangiana a la deriva,2,Estado de ancla flotante desconocido,,,,,Operational
bufr4/0/22/060/3-6,022060,Estado del ancla flotante de la boya lagrangiana a la deriva,3-6,Reservadas,,,,,Operational
bufr4/0/22/060/7,022060,Estado del ancla flotante de la boya lagrangiana a la deriva,7,Valor faltante,,,,,Operational
bufr4/0/22/061/0,022061,Estado del mar,0,Calmo (como un espejo),0,,,,Operational
bufr4/0/22/061/1,022061,Estado del mar,1,Calmo (rizado),"0-0,1",,,,Operational
bufr4/0/22/061/2,022061,Estado del mar,2,Ondulado,"0,1-0,5",,,,Operational
bufr4/0/22/061/3,022061,Estado del mar,3,Ligeramente agitado,"0,5-1,25",,,,Operational
bufr4/0/22/061/4,022061,Estado del mar,4,Agitado,"1,25-2,5",,,,Operational
bufr4/0/22/061/5,022061,Estado del mar,5,Grueso,"2,5-4",,,,Operational
bufr4/0/22/061/6,022061,Estado del mar,6,Muy grueso,4-6,,,,Operational
bufr4/0/22/061/7,022061,Estado del mar,7,Alto,6-9,,,,Operational
bufr4/0/22/061/8,022061,Estado del mar,8,Muy alto,9-14,,,,Operational
bufr4/0/22/061/9,022061,Estado del mar,9,Montañoso,Superior a 14,,,,Operational
bufr4/0/22/061/10-14,022061,Estado del mar,10-14,Reservadas,,,,,Operational
bufr4/0/22/061/15,022061,Estado del mar,15,Valor faltante,,,,,Operational
bufr4/0/22/067,022067,Tipo de instrumento para la medición del perfil de la temperatura/salinidad del agua,,,,,,,Operational
bufr4/0/22/068,022068,Tipo de registrador del perfil de la temperatura del agua,,,,,,,Operational
bufr4/0/22/120/0,022120,Verificación automática del nivel del agua realizada por una estación de observación de mareas,0,Datos de buena calidad,,,,,Operational
bufr4/0/22/120/1,022120,Verificación automática del nivel del agua realizada por una estación de observación de mareas,1,Excedido el límite del nivel máximo (superior) del agua,,,,,Operational
