Id,﻿Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
bufr4/3/11/001/1/301051,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,301051,"Número de vuelo, sistema de navegación, fecha/ hora, posición, fase de vuelo",ASDAR,,,Operational
bufr4/3/11/001/2/007002,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,007002,Altura o altitud,,,,Operational
bufr4/3/11/001/3/012001,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,012001,Temperatura/temperatura del aire,,,,Operational
bufr4/3/11/001/4/011001,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,011001,Dirección del viento,,,,Operational
bufr4/3/11/001/5/011002,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,011002,Velocidad del viento,,,,Operational
bufr4/3/11/001/6/011031,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,011031,Grado de turbulencia,,,,Operational
bufr4/3/11/001/7/011032,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,011032,Altura de la base de la turbulencia,,,,Operational
bufr4/3/11/001/8/011033,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,011033,Altura de la cima de la turbulencia,,,,Operational
bufr4/3/11/001/9/020041,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311001,(Informes de aeronaves),,020041,Engelamiento del fuselaje de la aeronave,,,,Operational
bufr4/3/11/002/1/301065,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311002,(Informes ACARS),,301065,Identificación del mensaje ACARS,,,,Operational
bufr4/3/11/002/2/301066,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311002,(Informes ACARS),,301066,Posición con referencia al mensaje ACARS,,,,Operational
bufr4/3/11/002/3/311003,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311002,(Informes ACARS),,311003,Variables ACARS normalizadas transmitidas,,,,Operational
bufr4/3/11/002/4/311004,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311002,(Informes ACARS),,311004,Variables ACARS adicionales transmitidas,,,,Operational
bufr4/3/11/003/1/010070,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311003,(Variables ACARS normalizadas transmitidas),,010070,Altitud indicada de la aeronave,,,,Operational
bufr4/3/11/003/2/011001,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311003,(Variables ACARS normalizadas transmitidas),,011001,Dirección del viento,,,,Operational
bufr4/3/11/003/3/011002,11,Secuencias de los informes de las observaciones de nivel único (datos convencionales),311003,(Variables ACARS normalizadas transmitidas),,011002,Velocidad del viento,,,,Operational
