Id,﻿ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
bufr4/0/02/001,02,Instrumentos,002001,Tipo de estación,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,Operational
bufr4/0/02/002,02,Instrumentos,002002,Tipo de instrumentos para la medición del viento,Tabla de banderines,0,0,4,Tabla de banderines,0,2,,,Operational
bufr4/0/02/003,02,Instrumentos,002003,Tipo de instrumentos de medición utilizados,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/004,02,Instrumentos,002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se informa la evapotranspiración,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/005,02,Instrumentos,002005,Precisión de las observaciones de la temperatura,K,2,0,7,K,2,3,,,Operational
bufr4/0/02/006,02,Instrumentos,002006,Tipo de instrumento de teledetección en altitud,Tabla de cifrado,0,0,6,Tabla de cifrado,0,0,,,Operational
bufr4/0/02/007,02,Instrumentos,002007,Tipo de sensor del instrumento de medición del nivel de agua,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/008,02,Instrumentos,002008,Tipo de plataforma marina,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/011,02,Instrumentos,002011,Tipo de radiosonda,Tabla de cifrado,0,0,8,Tabla de cifrado,0,3,,,Operational
bufr4/0/02/012,02,Instrumentos,002012,Método de cálculo de la radiosonda,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/013,02,Instrumentos,002013,Corrección de la radiación solar y de infrarrojo,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/014,02,Instrumentos,002014,Técnica de seguimiento de trayectoria/situación del sistema,Tabla de cifrado,0,0,7,Tabla de cifrado,0,3,,,Operational
bufr4/0/02/015,02,Instrumentos,002015,Integralidad de la radiosonda,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/016,02,Instrumentos,002016,Configuración de la radiosonda,Tabla de banderines,0,0,5,Tabla de banderines,0,2,,,Operational
bufr4/0/02/017,02,Instrumentos,002017,Algoritmos de corrección de las mediciones de humedad,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/019,02,Instrumentos,002019,Instrumentos de satélite,Tabla de cifrado,0,0,11,Tabla de cifrado,0,4,,,Operational
bufr4/0/02/020,02,Instrumentos,002020,Clasificación de los satélites,Tabla de cifrado,0,0,9,Tabla de cifrado,0,3,,,Operational
bufr4/0/02/021,02,Instrumentos,002021,Datos de instrumentos satelitales utilizados en el proceso*,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,Operational
bufr4/0/02/022,02,Instrumentos,002022,Técnica utilizada en el proceso de datos satelitales,Tabla de banderines,0,0,8,Tabla de banderines,0,3,,,Operational
bufr4/0/02/023,02,Instrumentos,002023,Método de cálculo del viento a partir de datos satelitales,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/024,02,Instrumentos,002024,Método de cálculo de la humedad media integrada,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/025,02,Instrumentos,002025,Canal(es) satelital(es) utilizado(s) en el cálculo,Tabla de banderines,0,0,25,Tabla de banderines,0,9,,,Operational
bufr4/0/02/026,02,Instrumentos,002026,Resolución transversal a la trayectoria,m,2,0,12,m,2,4,,,Operational
bufr4/0/02/027,02,Instrumentos,002027,Resolución en el sentido de la trayectoria,m,2,,12,m,2,4,,,Operational
bufr4/0/02/028,02,Instrumentos,002028,Dimensión del segmento en el nadir en la dirección X,m,0,0,18,m,0,6,,,Operational
bufr4/0/02/029,02,Instrumentos,002029,Dimensión del segmento en el nadir en la dirección Y,m,0,0,18,m,0,6,,,Operational
bufr4/0/02/030,02,Instrumentos,002030,Método de medición de la corriente,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational
bufr4/0/02/031,02,Instrumentos,002031,Duración y hora de medición de la corriente,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/032,02,Instrumentos,002032,Indicador de digitalización,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,Operational
bufr4/0/02/033,02,Instrumentos,002033,Método de medición de la salinidad/profundidad,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational
bufr4/0/02/034,02,Instrumentos,002034,Tipo de ancla flotante,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/035,02,Instrumentos,002035,Longitud del cable,m,0,0,9,m,0,3,,,Operational
bufr4/0/02/036,02,Instrumentos,002036,Tipo de boya,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,Operational
bufr4/0/02/037,02,Instrumentos,002037,Método de observación de las mareas,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational
bufr4/0/02/038,02,Instrumentos,002038,Método de medición de la temperatura y/o la salinidad del agua,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/039,02,Instrumentos,002039,Método de medición de la temperatura con bulbo húmedo,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational
bufr4/0/02/040,02,Instrumentos,002040,Método para eliminar los efectos de la velocidad y del movimiento de la plataforma en la medición de la corriente,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
bufr4/0/02/041,02,Instrumentos,002041,Método de estimación utilizado en los informes relativos a la configuración sinóptica,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,Operational
