Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318001,,,301025,"Latitude/longitude (faible précision), jour/heure",,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318001,,,024011,Dose,,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318003,,,301026,"Latitude/longitude (précision élevée), période (jour, heure, minute)",,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318003,,,024005,Masse isotopique,,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318003,,,024004,Nom de l'élément,,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318003,,,024021,"Concentration dans l'air (du type d'isotope désigné, y compris la dose bêta brute)",,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318004,,,301025,"Latitude/longitude (faible précision), jour/heure",,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318004,,,004023,Période ou décalage dans le temps,,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318004,,,013011,Précipitations totales/valeur totale de l'équivalent en eau,,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318004,,,024005,Masse isotopique,,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318004,,,024004,Nom de l'élément,,,,Operational
18,Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,318004,,,024022,Concentration dans les précipitations (du type d'isotope désigné),,,,Operational
