Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307001,(Station à basse altitude),,301031,"Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307001,(Station à basse altitude),,302011,Station à basse altitude,Message d'observation en surface de base,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307002,(Station à basse altitude),,301032,"Identification et type de station, date/heure, position (faible précision), hauteur de la station",,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307002,(Station à basse altitude),,302011,Station à basse altitude,Message d'observation en surface de base,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307003,(Station à basse altitude),,307001,Station à basse altitude,Position (précision élevée) et message d'observation de base,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307003,(Station à basse altitude),,101000,Répétition différée de 1 descripteur,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307003,(Station à basse altitude),,031001,Facteur de répétition différée du descripteur,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307003,(Station à basse altitude),,302005,Couche nuageuse,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307004,(Station à basse altitude),,307002,Station à basse altitude,Position (faible précision) et message d'observation de base,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307004,(Station à basse altitude),,101000,Répétition différée de 1 descripteur,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307004,(Station à basse altitude),,031001,Facteur de répétition différée du descripteur,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307004,(Station à basse altitude),,302005,Couche nuageuse,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307005,(Station à basse altitude),,307001,Station à basse altitude,Position (précision élevée) et message d'observation de base,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307005,(Station à basse altitude),,101004,Répéter 1 descripteur 4 fois,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307005,(Station à basse altitude),,302005,Couche nuageuse,4 couches,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307006,(Station à basse altitude),,307002,Station à basse altitude,Position (faible précision) et message d'observation de base,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307006,(Station à basse altitude),,101004,Répéter 1 descripteur 4 fois,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307006,(Station à basse altitude),,302005,Couche nuageuse,4 couches,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307007,(Station à haute altitude),,301031,"Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307007,(Station à haute altitude),,302012,Station à haute altitude,Message d'observation en surface de base,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307008,(Station à haute altitude),,301032,"Identification et type de station, date/heure, position (faible précision), hauteur de la station",,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307008,(Station à haute altitude),,302012,Station à haute altitude,Message d'observation en surface de base,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307009,,,301031,"Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307009,,,302013,Message d'observation en surface de base,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,001063,Indicateur d'emplacement OACI,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,002001,Type de station,,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,301011,"Année, mois, jour",YY,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,301012,"Heure, minute","GG, gg",,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,301024,"Latitude/longitude (faible précision), hauteur de la station",,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,007006,Hauteur au-dessus de la station,Hauteur d'un anémomètre,,,Operational
07,Catégorie 07 — Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,011001,Direction du vent,,,,Operational
