Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
bufr4/0/23/001/0,023001,Notification précoce d'accident - article applicable,0,Réservé,,,,,Operational
bufr4/0/23/001/1,023001,Notification précoce d'accident - article applicable,1,Articles 1 et 2,,,,,Operational
bufr4/0/23/001/2,023001,Notification précoce d'accident - article applicable,2,Article 3,,,,,Operational
bufr4/0/23/001/3,023001,Notification précoce d'accident - article applicable,3,Article 5.2,,,,,Operational
bufr4/0/23/001/4-6,023001,Notification précoce d'accident - article applicable,4-6,Réservé,,,,,Operational
bufr4/0/23/001/7,023001,Notification précoce d'accident - article applicable,7,Valeur manquante,,,,,Operational
bufr4/0/23/002/0,023002,Activité ou installation impliquée dans l'incident,0,Réservé,,,,,Operational
bufr4/0/23/002/1,023002,Activité ou installation impliquée dans l'incident,1,Réacteur nucléaire au sol,,,,,Operational
bufr4/0/23/002/2,023002,Activité ou installation impliquée dans l'incident,2,Réacteur nucléaire en mer,,,,,Operational
bufr4/0/23/002/3,023002,Activité ou installation impliquée dans l'incident,3,Réacteur nucléaire dans l'espace,,,,,Operational
bufr4/0/23/002/4,023002,Activité ou installation impliquée dans l'incident,4,Installation de combustible nucléaire,,,,,Operational
bufr4/0/23/002/5,023002,Activité ou installation impliquée dans l'incident,5,Installation de gestion des déchets radioactifs,,,,,Operational
bufr4/0/23/002/6,023002,Activité ou installation impliquée dans l'incident,6,Transport de combustible nucléaire ou de déchets radioactifs,,,,,Operational
bufr4/0/23/002/7,023002,Activité ou installation impliquée dans l'incident,7,Stockage de combustible nucléaire ou de déchets radioactifs,,,,,Operational
bufr4/0/23/002/8,023002,Activité ou installation impliquée dans l'incident,8,Fabrication de radio-isotopes,,,,,Operational
bufr4/0/23/002/9,023002,Activité ou installation impliquée dans l'incident,9,Fabrication de radio-isotopes,,,,,Operational
bufr4/0/23/002/10,023002,Activité ou installation impliquée dans l'incident,10,Stockage de radio-isotopes,,,,,Operational
bufr4/0/23/002/11,023002,Activité ou installation impliquée dans l'incident,11,Stockage de radio-isotopes,,,,,Operational
bufr4/0/23/002/12,023002,Activité ou installation impliquée dans l'incident,12,Transport de radio-isotopes,,,,,Operational
bufr4/0/23/002/13,023002,Activité ou installation impliquée dans l'incident,13,Utilisation de radio-isotopes pour la production d'énergie,,,,,Operational
bufr4/0/23/002/14-29,023002,Activité ou installation impliquée dans l'incident,14-29,Réservé,,,,,Operational
bufr4/0/23/002/30,023002,Activité ou installation impliquée dans l'incident,30,Autre,,,,,Operational
bufr4/0/23/002/31,023002,Activité ou installation impliquée dans l'incident,31,Valeur manquante,,,,,Operational
bufr4/0/23/003/0,023003,Type de publication,0,Aucune publication,,,,,Operational
bufr4/0/23/003/1,023003,Type de publication,1,Libération dans l'atmosphère,,,,,Operational
bufr4/0/23/003/2,023003,Type de publication,2,Libération dans l'eau,,,,,Operational
bufr4/0/23/003/3,023003,Type de publication,3,Libération dans l'atmosphère,,,,,Operational
bufr4/0/23/003/4,023003,Type de publication,4,Libération dans l'atmosphère,,,,,Operational
bufr4/0/23/003/5,023003,Type de publication,5,Libération prévue dans l'eau,,,,,Operational
bufr4/0/23/003/6,023003,Type de publication,6,Libération prévue dans l'eau,,,,,Operational
bufr4/0/23/003/7,023003,Type de publication,7,Valeur manquante,,,,,Operational
bufr4/0/23/004/0,023004,Mesures de contre-mesure prises près de la frontière,0,Aucune contre-mesure,,,,,Operational
bufr4/0/23/004/1,023004,Mesures de contre-mesure prises près de la frontière,1,Évacuation,,,,,Operational
bufr4/0/23/004/2,023004,Mesures de contre-mesure prises près de la frontière,2,Abri,,,,,Operational
bufr4/0/23/004/3,023004,Mesures de contre-mesure prises près de la frontière,3,Prophylaxie,,,,,Operational
bufr4/0/23/004/4,023004,Mesures de contre-mesure prises près de la frontière,4,Eau,,,,,Operational
bufr4/0/23/004/5-6,023004,Mesures de contre-mesure prises près de la frontière,5-6,Réservé,,,,,Operational
bufr4/0/23/004/7,023004,Mesures de contre-mesure prises près de la frontière,7,Valeur manquante,,,,,Operational
bufr4/0/23/005/0,023005,Cause de l'incident,0,L'état de l'incident ne comprend pas ce qui s'est passé,,,,,Operational
bufr4/0/23/005/1,023005,Cause de l'incident,1,L'état de l'incident ne comprend pas ce qui s'est passé,,,,,Operational
bufr4/0/23/005/2,023005,Cause de l'incident,2,Réservé,,,,,Operational
bufr4/0/23/005/3,023005,Cause de l'incident,3,Valeur manquante,,,,,Operational
bufr4/0/23/006/0,023006,Situation de l'incident,0,Aucune amélioration,,,,,Operational
bufr4/0/23/006/1,023006,Situation de l'incident,1,Stabilité,,,,,Operational
bufr4/0/23/006/2,023006,Situation de l'incident,2,Aucune détérioration,,,,,Operational
bufr4/0/23/006/3,023006,Situation de l'incident,3,Amélioration,,,,,Operational
bufr4/0/23/006/4,023006,Situation de l'incident,4,Stabilité,,,,,Operational
bufr4/0/23/006/5,023006,Situation de l'incident,5,En détérioration,,,,,Operational
bufr4/0/23/006/6,023006,Situation de l'incident,6,Réservé,,,,,Operational
bufr4/0/23/006/7,023006,Situation de l'incident,7,Valeur manquante,,,,,Operational
bufr4/0/23/007/0,023007,Caractéristiques de la publication,0,Aucune publication,,,,,Operational
bufr4/0/23/007/1,023007,Caractéristiques de la publication,1,La publication a cessé,,,,,Operational
bufr4/0/23/007/2,023007,Caractéristiques de la publication,2,Aucune publication,,,,,Operational
bufr4/0/23/007/3,023007,Caractéristiques de la publication,3,La publication a cessé,,,,,Operational
bufr4/0/23/007/4-6,023007,Caractéristiques de la publication,4-6,Réservé,,,,,Operational
bufr4/0/23/007/7,023007,Caractéristiques de la publication,7,Valeur manquante,,,,,Operational
bufr4/0/23/008/0,023008,État de la version actuelle,0,Gazeux,,,,,Operational
bufr4/0/23/008/1,023008,État de la version actuelle,1,Caractère des matières particulaires,,,,,Operational
bufr4/0/23/008/2,023008,État de la version actuelle,2,Mixture of gaseous and particulate,,,,,Operational
bufr4/0/23/008/3,023008,État de la version actuelle,3,Valeur manquante,,,,,Operational
