Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status
bufr4/0/01/001,01,Identification,001001,Numéro de bloc OMM,Numeric,0,0,7,Numeric,0,2,,,Operational
bufr4/0/01/002,01,Identification,001002,Numéro de station OMM,Numeric,0,0,10,Numeric,0,3,,,Operational
bufr4/0/01/003,01,Identification,001003,Numéro de région/zone géographique de l'OMM,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/01/004,01,Identification,001004,Numéro de région/zone géographique de l'OMM,Numeric,0,0,3,Numeric,0,1,(voir la Note 3),42,Operational
bufr4/0/01/005,01,Identification,001005,Identifiant de bouée/plateforme,Numeric,0,0,17,Numeric,0,5,,,Operational
bufr4/0/01/006,01,Identification,001006,Numéro de vol de l'avion,CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/01/007,01,Identification,001007,Sous-identifiant du satellite,Code table,0,0,10,Code table,0,4,,,Operational
bufr4/0/01/008,01,Identification,001008,Numéro d'immatriculation de l'aéronef ou autre identification,CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/01/009,01,Identification,001009,Type d'avion commercial,CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/01/010,01,Identification,001010,"Identifiant de plateforme de bouée stationnaire ; par exemple, bouées C-MAN",CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/01/011,01,Identification,001011,Identifiant de station navire ou terrestre mobile,CCITT IA5,0,0,72,Character,0,9,,,Operational
bufr4/0/01/012,01,Identification,001012,Vitesse de mouvement de la plateforme d'observation mobile,degree true,0,0,9,degree true,0,3,(voir les Notes 3 et 4),"125,60",Operational
bufr4/0/01/013,01,Identification,001013,Vitesse de mouvement de la plateforme d'observation mobile,m/s,0,0,10,m/s,0,3,(voir les Notes 3 et 4),"60,125",Operational
bufr4/0/01/014,01,Identification,001014,Vitesse de dérive de la plateforme (haute précision),m/s,2,0,10,m/s,2,4,,,Operational
bufr4/0/01/015,01,Identification,001015,Nom de station ou de site,CCITT IA5,0,0,160,Character,0,20,,,Operational
bufr4/0/01/016,01,Identification,001016,Sous-identifiant du satellite,Numeric,0,0,16,Numeric,0,5,,,Operational
bufr4/0/01/018,01,Identification,001018,Nom court de station ou de site,CCITT IA5,0,0,40,Character,0,5,,,Operational
bufr4/0/01/019,01,Identification,001019,Nom court de station ou de site,CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/01/020,01,Identification,001020,Numéro de région/zone géographique de l'OMM,Numeric,0,0,4,Numeric,0,2,,,Operational
bufr4/0/01/021,01,Identification,001021,Identifiant de caractéristique synoptique,Numeric,0,0,14,Numeric,0,4,,,Operational
bufr4/0/01/022,01,Identification,001022,(Nom de la fonctionnalité),CCITT IA5,0,0,224,Character,0,28,(voir la Note 3),72,Operational
bufr4/0/01/023,01,Identification,001023,Numéro de séquence d'observation,Numeric,0,0,9,Numeric,0,3,,,Operational
bufr4/0/01/024,01,Identification,001024,Vitesse du vent,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/01/025,01,Identification,001025,Identifiant de tempête,CCITT IA5,0,0,24,Character,0,3,(voir la Note 3),148,Operational
bufr4/0/01/026,01,Identification,001026,Nom de tempête de l'OMM,CCITT IA5,0,0,64,Character,0,8,(voir la Note 3),43,Operational
bufr4/0/01/027,01,Identification,001027,Nom de tempête de l'OMM,CCITT IA5,0,0,80,Character,0,10,(voir la Note 3),182,Operational
bufr4/0/01/028,01,Identification,001028,(Profondeur optique des aérosols),Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/01/029,01,Identification,001029,Source SSI,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/01/030,01,Identification,001030,Identifiant du modèle numérique,CCITT IA5,0,0,128,Character,0,16,(voir la Note 3),153,Operational
bufr4/0/01/031,01,Identification,001031,Identification du centre d'origine/génération,Code table,0,0,16,Code table,0,5,(voir la Note 3),44,Operational
bufr4/0/01/032,01,Identification,001032,Génération d'application,Code table defined by originating/generating centre,0,0,8,Code table,0,3,"(Notes 3, 4 et 5)","175,21,38",Operational
bufr4/0/01/033,01,Identification,001033,Identification du centre d'origine/génération,Common Code table C-1,0,0,8,Common Code table C-1,0,3,,,Operational
bufr4/0/01/034,01,Identification,001034,Identification du centre d'origine/génération,Common Code table C-12,0,0,8,Common Code table C-12,0,3,,,Operational
bufr4/0/01/035,01,Identification,001035,(Centre d'origine/sous-centre),Common Code table C-11,0,0,16,Common Code table C-11,0,5,,,Operational
bufr4/0/01/036,01,Identification,001036,Agence responsable de l'exploitation de la plateforme d'observation,Code table,0,0,20,Code table,0,7,,,Operational
bufr4/0/01/037,01,Identification,001037,Identifiant de séquence SIGMET,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/01/038,01,Identification,001038,Fraction de glace de mer,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/01/039,01,Identification,001039,Identifiant de séquence de prévision de zone graphique (GFA),CCITT IA5,0,0,40,Character,0,5,,,Operational
bufr4/0/01/040,01,Identification,001040,Code d'identification du centre de traitement,CCITT IA5,0,0,48,Character,0,6,,,Operational
bufr4/0/01/041,01,Identification,001041,Vitesse absolue de la plateforme - premier composant,m/s,5,-1073741824,31,m/s,5,10,(voir les Notes 3 et 4),"134,154,95",Operational
bufr4/0/01/042,01,Identification,001042,Vitesse absolue de la plateforme - premier composant,m/s,5,-1073741824,31,m/s,5,10,(voir les Notes 3 et 4),"134,154,95",Operational
bufr4/0/01/043,01,Identification,001043,Vitesse absolue de la plateforme - premier composant,m/s,5,-1073741824,31,m/s,5,10,(voir les Notes 3 et 4),"134,154,95",Operational
bufr4/0/01/044,01,Identification,001044,Application de génération standard,Code table,0,0,8,Code table,0,3,,,Operational
bufr4/0/01/050,01,Identification,001050,Numéro d'identification de l'émetteur de plateforme,Numeric,0,0,17,Numeric,0,6,,,Operational
bufr4/0/01/051,01,Identification,001051,Numéro d'identification de l'émetteur de plateforme,CCITT IA5,0,0,96,Character,0,12,,,Operational
bufr4/0/01/052,01,Identification,001052,Numéro d'identification de l'émetteur de plateforme,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/01/053,01,Identification,001053,Numéro de séquence du rapport de tsunamètre déclenché par un événement de tsunami,Numeric,0,0,7,Numeric,0,2,,,Operational
bufr4/0/01/060,01,Identification,001060,Point de compte rendu aérien (Identifiant de balise),CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/01/062,01,Identification,001062,Indicatif d’emplacement OACI,CCITT IA5,0,0,32,Character,0,4,,,Operational
bufr4/0/01/063,01,Identification,001063,Indicatif d’emplacement OACI,CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/01/064,01,Identification,001064,Indicateur de piste,CCITT IA5,0,0,32,Character,0,4,,,Operational
bufr4/0/01/065,01,Identification,001065,Identifiant de région OACI,CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/01/075,01,Identification,001075,Identification de la station de marée,CCITT IA5,0,0,40,Character,0,5,,,Operational
bufr4/0/01/079,01,Identification,001079,Identifiant unique pour le profil,CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/01/080,01,Identification,001080,Numéro de ligne de navire selon SOOP,CCITT IA5,0,0,32,Character,0,4,,,Operational
bufr4/0/01/081,01,Identification,001081,Numéro de lancement de radiosonde,CCITT IA5,0,0,160,Character,0,20,,,Operational
bufr4/0/01/082,01,Identification,001082,Numéro d'ascension de radiosonde,Numeric,0,0,14,Numeric,0,4,(voir la Note 3),45,Operational
bufr4/0/01/083,01,Identification,001083,Numéro de lancement de radiosonde,Numeric,0,0,3,Numeric,0,1,(voir la Note 3),45,Operational
bufr4/0/01/085,01,Identification,001085,Mode du fabricant de la plateforme d'observation,CCITT IA5,0,0,160,Character,0,20,,,Operational
bufr4/0/01/086,01,Identification,001086,Numéro de série du fabricant de la plateforme d'observation,CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/01/087,01,Identification,001087,Identifiant étendu de la plateforme d'observation marine de l'OMM,Numeric,0,0,23,Numeric,0,7,,,Operational
bufr4/0/01/090,01,Identification,001090,Technique pour créer des perturbations initiales,Code table,0,0,8,Code table,0,3,,,Operational
