Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
bufr4/0/35/000/000-099,035000,FM et numéro de code régional,000-099,FM et numéro de code régional,,,,,Operational
bufr4/0/35/000/100-199,035000,FM et numéro de code régional,100-199,Codes RA I,,,,,Operational
bufr4/0/35/000/200-299,035000,FM et numéro de code régional,200-299,Codes RA I,,,,,Operational
bufr4/0/35/000/300-399,035000,FM et numéro de code régional,300-399,Codes RA I,,,,,Operational
bufr4/0/35/000/400-499,035000,FM et numéro de code régional,400-499,Codes RA I,,,,,Operational
bufr4/0/35/000/500-599,035000,FM et numéro de code régional,500-599,Codes RA I,,,,,Operational
bufr4/0/35/000/600-699,035000,FM et numéro de code régional,600-699,Codes RA I,,,,,Operational
bufr4/0/35/000/700-799,035000,FM et numéro de code régional,700-799,Codes antarctiques,,,,,Operational
bufr4/0/35/000/800-999,035000,FM et numéro de code régional,800-999,Réservé,,,,,Operational
bufr4/0/35/000/1000-1022,035000,FM et numéro de code régional,1000-1022,Non utilisé,,,,,Operational
bufr4/0/35/000/1023,035000,FM et numéro de code régional,1023,Valeur manquante,,,,,Operational
bufr4/0/35/001/0,035001,Période de surveillance,0,Temps réel,,,,,Operational
bufr4/0/35/001/1,035001,Période de surveillance,1,Temps réel,,,,,Operational
bufr4/0/35/001/2,035001,Période de surveillance,2,Temps réel,,,,,Operational
bufr4/0/35/001/3-6,035001,Période de surveillance,3-6,Réservé,,,,,Operational
bufr4/0/35/001/7,035001,Période de surveillance,7,Valeur manquante,,,,,Operational
bufr4/0/35/030/0,035030,Discrepances dans la disponibilité des données attendues,0,Aucune divergence,,,,,Operational
bufr4/0/35/030/1,035030,Discrepances dans la disponibilité des données attendues,1,"Non-conformité aux pratiques et procédures standard et recommandées, y compris celles de surveillance",,,,,Operational
bufr4/0/35/030/2,035030,Discrepances dans la disponibilité des données attendues,2,Catalogues des bulletins météorologiques non mis à jour en temps opportun,,,,,Operational
bufr4/0/35/030/3,035030,Discrepances dans la disponibilité des données attendues,3,Répertoires de routage incorrects,,,,,Operational
bufr4/0/35/030/4,035030,Discrepances dans la disponibilité des données attendues,4,Manque de flexibilité dans les dispositions de routage,,,,,Operational
bufr4/0/35/030/5,035030,Discrepances dans la disponibilité des données attendues,5,Déficiences dans le fonctionnement des centres et circuits GTS,,,,,Operational
bufr4/0/35/030/6,035030,Discrepances dans la disponibilité des données attendues,6,Perte de données ou retards dans la transmission des données sur le GTS,,,,,Operational
bufr4/0/35/030/7,035030,Discrepances dans la disponibilité des données attendues,7,Acheminement des données différent de l'acheminement prévu dans le plan,,,,,Operational
