Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
bufr4/0/03/001/0,003001,Type de station de surface,0,Station terrestre (réseau synoptique),,,,,Operational
bufr4/0/03/001/1,003001,Type de station de surface,1,Station en eaux peu profondes (fixée au fond de la mer/du lac),,,,,Operational
bufr4/0/03/001/2,003001,Type de station de surface,2,Navire,,,,,Operational
bufr4/0/03/001/3,003001,Type de station de surface,3,Plateforme/plate-forme,,,,,Operational
bufr4/0/03/001/4,003001,Type de station de surface,4,Bouée amarrée non spécifiée,,,,,Operational
bufr4/0/03/001/5,003001,Type de station de surface,5,Dérive de bouée,,,,,Operational
bufr4/0/03/001/6,003001,Type de station de surface,6,Bouée de glace,,,,,Operational
bufr4/0/03/001/7,003001,Type de station de surface,7,Station terrestre (réseau local),,,,,Operational
bufr4/0/03/001/8,003001,Type de station de surface,8,Véhicule terrestre,,,,,Operational
bufr4/0/03/001/9,003001,Type de station de surface,9,Véhicule marin autonome,,,,,Operational
bufr4/0/03/001/10,003001,Type de station de surface,10,Étiquette attachée à un animal marin,,,,,Operational
bufr4/0/03/001/11-30,003001,Type de station de surface,11-30,Réservé pour usage futur,,,,,Operational
bufr4/0/03/001/31,003001,Type de station de surface,31,Valeur manquante,,,,,Operational
bufr4/0/03/003/0,003003,Boîtier de thermomètre/hygromètre,0,Écran,,,,,Operational
bufr4/0/03/003/1,003003,Boîtier de thermomètre/hygromètre,1,Fronde/tournoyant,,,,,Operational
bufr4/0/03/003/2,003003,Boîtier de thermomètre/hygromètre,2,Non filtré,,,,,Operational
bufr4/0/03/003/3,003003,Boîtier de thermomètre/hygromètre,3,Protection contre les radiations,,,,,Operational
bufr4/0/03/003/4,003003,Boîtier de thermomètre/hygromètre,4,Aspiré (par exemple Assmann),,,,,Operational
bufr4/0/03/003/5,003003,Boîtier de thermomètre/hygromètre,5,Abri,,,,,Operational
bufr4/0/03/003/6,003003,Boîtier de thermomètre/hygromètre,6,Portatif,,,,,Operational
bufr4/0/03/003/7-14,003003,Boîtier de thermomètre/hygromètre,7-14,Réservé pour usage futur,,,,,Operational
