Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,Status
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B01007,"Identifiant du satellite, instrument et type de produit",,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B02019,Instruments satellitaires,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B04001,Année,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B04002,Mois,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B04003,Jour,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B04004,Heure,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B04005,Minute,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B04006,Deuxième,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B05001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B06001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B27001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B28001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B27001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B28001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B27001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B28001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B27001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B28001,Latitude (haute précision),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B10001,Altitude de la surface terrestre,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B14019,Albédo de surface,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B07025,Zénith solaire,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B10080,Angle zénithal de vision ou angle zénithal solaire hors plage,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B05023,Différence d'azimut entre le soleil et le satellite,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B20010,Couverture nuageuse (totale),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B08003,Signification verticale (observations satellitaires),,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B07004,Pression,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B14026,Albédos au sommet des nuages,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B20014,Hauteur du sommet du nuage,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B13093,Épaisseur optique des nuages,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,R05000,Réplication différée de 6 descripteurs,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B07004,Pression,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B07004,Pression,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B08043,Type de constituant chimique ou physique atmosphérique,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B08044,Numéro d'enregistrement CAS,,,Operational
22,Séquences chimiques et aérosols,D22028,(METOP GOME-2),,B15021,Densité massique intégrée,,,Operational
