Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status
bufr4/0/25/001,25,Traitement des informations,025001,Longueur de porte de distance,m,-1,0,6,m,-1,2,,,Operational
bufr4/0/25/002,25,Traitement des informations,025002,Nombre moyen de portes,Numeric,0,0,4,Numeric,0,2,,,Operational
bufr4/0/25/003,25,Traitement des informations,025003,Nombre d'impulsions intégrées,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/25/004,25,Traitement des informations,025004,Traitement d'écho,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/25/005,25,Traitement des informations,025005,Intégration d'écho,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/25/006,25,Traitement des informations,025006,Conversion de Z en R,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/25/007,25,Traitement des informations,025007,Conversion de Z en R,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/25/008,25,Traitement des informations,025008,Conversion de Z en R,Numeric,2,0,9,Numeric,2,3,,,Operational
bufr4/0/25/009,25,Traitement des informations,025009,Méthode d'étalonnage,Flag table,0,0,4,Flag table,0,2,(voir la Note 3),56,Operational
bufr4/0/25/010,25,Traitement des informations,025010,Traitement du désordre,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/25/011,25,Traitement des informations,025011,Correction d'occultation au sol (filtrage),Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/25/012,25,Traitement des informations,025012,Correction d'atténuation de portée,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/25/013,25,Traitement des informations,025013,Correction de la bande brillante,Flag table,0,0,2,Flag table,0,1,,,Operational
bufr4/0/25/014,25,Traitement des informations,025014,Seuil de coupure du fouillis d'azimut,Numeric,0,0,12,Numeric,0,4,(voir la Note 3),15,Operational
bufr4/0/25/015,25,Traitement des informations,025015,Correction de l'atténuation du radôme,Flag table,0,0,2,Flag table,0,1,,,Operational
bufr4/0/25/016,25,Traitement des informations,025016,Correction d'atténuation en air clair,dB/m,5,0,6,dB/m,5,2,,,Operational
bufr4/0/25/017,25,Traitement des informations,025017,Correction d'atténuation des précipitations,Flag table,0,0,2,Flag table,0,1,,,Operational
bufr4/0/25/018,25,Traitement des informations,025018,Loi de A à Z pour le facteur d'atténuation,Numeric,7,0,6,Numeric,7,2,,,Operational
