Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
bufr4/0/19/001/0,019001,Caractéristiques synoptiques,0,Dépression ou basse pression (extratropicale),,,,,Operational
bufr4/0/19/001/1,019001,Caractéristiques synoptiques,1,Dépression tropicale,,,,,Operational
bufr4/0/19/001/2,019001,Caractéristiques synoptiques,2,Cyclone tropical,,,,,Operational
bufr4/0/19/001/3,019001,Caractéristiques synoptiques,3,Cyclone tropical,,,,,Operational
bufr4/0/19/001/4,019001,Caractéristiques synoptiques,4,Typhon,,,,,Operational
bufr4/0/19/001/5-9,019001,Caractéristiques synoptiques,5-9,Réservé,,,,,Operational
bufr4/0/19/001/10,019001,Caractéristiques synoptiques,10,Tempête de sable,,,,,Operational
bufr4/0/19/001/11-62,019001,Caractéristiques synoptiques,11-62,Réservé,,,,,Operational
bufr4/0/19/001/63,019001,Caractéristiques synoptiques,63,Valeur manquante,,,,,Operational
bufr4/0/19/008/0,019008,Étendue verticale de la circulation,0,Réservé,,,,,Operational
bufr4/0/19/008/1,019008,Étendue verticale de la circulation,1,Peu profond (sommet de la circulation en dessous du niveau de 700 hPa),,,,,Operational
bufr4/0/19/008/2,019008,Étendue verticale de la circulation,2,Moyenne (niveau supérieur entre 700 hPa et 400 hPa),,,,,Operational
bufr4/0/19/008/3,019008,Étendue verticale de la circulation,3,Profond (niveau supérieur au-dessus de 400 hPa),,,,,Operational
bufr4/0/19/008/4-6,019008,Étendue verticale de la circulation,4-6,Réservé,,,,,Operational
bufr4/0/19/008/7,019008,Étendue verticale de la circulation,7,Valeur manquante,,,,,Operational
bufr4/0/19/010/1,019010,Méthode pour suivre le centre de la caractéristique synoptique,1,Niveau de pression minimum,,,,,Operational
bufr4/0/19/010/2,019010,Méthode pour suivre le centre de la caractéristique synoptique,2,Valeur maximale de la vorticité relative à 850 hPa,,,,,Operational
bufr4/0/19/010/3-14,019010,Méthode pour suivre le centre de la caractéristique synoptique,3-14,Réservé,,,,,Operational
bufr4/0/19/010/15,019010,Méthode pour suivre le centre de la caractéristique synoptique,15,Valeur manquante,,,,,Operational
bufr4/0/19/100/0-2,019100,Intervalle de temps pour calculer le déplacement du cyclone tropical,0-2,Non utilisé,,,,,Operational
bufr4/0/19/100/3,019100,Intervalle de temps pour calculer le déplacement du cyclone tropical,3,Au cours des 15 minutes précédentes,,,,,Operational
bufr4/0/19/100/4,019100,Intervalle de temps pour calculer le déplacement du cyclone tropical,4,Au cours des 15 minutes précédentes,,,,,Operational
bufr4/0/19/100/5,019100,Intervalle de temps pour calculer le déplacement du cyclone tropical,5,Au cours des 15 minutes précédentes,,,,,Operational
bufr4/0/19/100/6,019100,Intervalle de temps pour calculer le déplacement du cyclone tropical,6,Au cours des 2 heures précédentes,,,,,Operational
bufr4/0/19/100/7,019100,Intervalle de temps pour calculer le déplacement du cyclone tropical,7,Au cours des 2 heures précédentes,,,,,Operational
bufr4/0/19/100/8,019100,Intervalle de temps pour calculer le déplacement du cyclone tropical,8,Au cours des 2 heures précédentes,,,,,Operational
