Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,Status
15,Séquences de rapports océanographiques,D15001,(Sondage sous-marin typiquement rapporté sans champs optionnels),,B01011,Identifiant de station navire ou terrestre mobile,Indicatif d'appel du navire,,Operational
15,Séquences de rapports océanographiques,D15001,(Sondage sous-marin typiquement rapporté sans champs optionnels),,D01011,"Année, mois, jour",,,Operational
15,Séquences de rapports océanographiques,D15001,(Sondage sous-marin typiquement rapporté sans champs optionnels),,D01012,"Heure, minute, seconde",,,Operational
15,Séquences de rapports océanographiques,D15001,(Sondage sous-marin typiquement rapporté sans champs optionnels),,D01023,"Latitude/longitude (précision approximative), jour/heure",,,Operational
15,Séquences de rapports océanographiques,D15001,(Sondage sous-marin typiquement rapporté sans champs optionnels),,D06001,"Profondeur, température",,,Operational
15,Séquences de rapports océanographiques,D15002,(Sondage sous-marin typiquement rapporté sans champs optionnels),,B01011,Identifiant de station navire ou terrestre mobile,Indicatif d'appel du navire,,Operational
15,Séquences de rapports océanographiques,D15002,(Sondage sous-marin typiquement rapporté sans champs optionnels),,D01011,"Année, mois, jour",,,Operational
15,Séquences de rapports océanographiques,D15002,(Sondage sous-marin typiquement rapporté sans champs optionnels),,D01012,"Heure, minute, seconde",,,Operational
15,Séquences de rapports océanographiques,D15002,(Sondage sous-marin typiquement rapporté sans champs optionnels),,D01023,"Latitude/longitude (précision approximative), jour/heure",,,Operational
15,Séquences de rapports océanographiques,D15002,(Sondage sous-marin typiquement rapporté sans champs optionnels),,D06004,"Profondeur, température, salinité",,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01079,Identifiant unique pour le profil,Chaîne hexadécimale,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01011,Identifiant de station navire ou terrestre mobile,Indicatif d'appel du navire,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01103,Numéro OMI. Registre unique de Lloyd.,= 0 à 9999999,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01087,Identifiant étendu de la plateforme d'observation marine de l'OMM,,(voir la Note 3),Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01019,Nom court de station ou de site,Nom du navire,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01080,Numéro de ligne de navire selon SOOP,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B05036,Numéro de ligne de navire selon SOOP,,(voir la Note 3),Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01036,Agence responsable de l'exploitation de la plateforme d'observation,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01013,Vitesse de mouvement de la plateforme d'observation mobile,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B01012,Vitesse de mouvement de la plateforme d'observation mobile,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,D01011,"Année, mois, jour",,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,D01012,"Heure, minute, seconde",,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,D01021,Latitude (haute précision),,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B07032,Ajusté à ou par rapport à la hauteur représentative du capteur au-dessus du sol local (ou du pont de la plateforme marine),,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B07033,Hauteur du capteur au-dessus de la surface de l'eau,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B02002,Type d'instrumentation pour la mesure du vent,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B11002,Vitesse du vent,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B11001,Direction du vent,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B07032,Ajusté à ou par rapport à la hauteur représentative du capteur au-dessus du sol local (ou du pont de la plateforme marine),,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B07033,Hauteur du capteur au-dessus de la surface de l'eau,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B12101,Température/température de l'air,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B12103,Température du point de rosée,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B07032,Ajusté à ou par rapport à la hauteur représentative du capteur au-dessus du sol local (ou du pont de la plateforme marine),Définir sur manquant (annuler),,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B07033,Hauteur du capteur au-dessus de la surface de l'eau,Définir sur manquant (annuler),,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,D02021,Vagues,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B02031,Durée et temps de la mesure actuelle,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B02030,Méthode de mesure du courant,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B22005,Direction du courant marin/eau à un niveau,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B22032,Vitesse du courant marin/eau à un niveau,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B22063,Profondeur totale de l'eau,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B08080,Qualificatif pour le drapeau de qualité GTSPP,,,Operational
15,Séquences de rapports océanographiques,D15004,(séquence de données de profil de température XBT),,B33050,Qualificatif pour le drapeau de qualité GTSPP,,,Operational
