Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,Status
07,Séquences de rapports de surface (mer),D07001,Station à basse altitude,,D01031,"Identification et type de station, date/heure, emplacement (haute précision), mouvement",,,Operational
07,Séquences de rapports de surface (mer),D07001,Station à basse altitude,,D02011,Station à basse altitude,Rapport de surface de base,,Operational
07,Séquences de rapports de surface (mer),D07002,Station à basse altitude,,D01032,"Identification et type de station, date/heure, emplacement (haute précision), mouvement",,,Operational
07,Séquences de rapports de surface (mer),D07002,Station à basse altitude,,D02011,Station à basse altitude,Rapport de surface de base,,Operational
07,Séquences de rapports de surface (mer),D07003,Station à basse altitude,,D07001,Station à basse altitude,Localisation (haute précision) et rapport de base,,Operational
07,Séquences de rapports de surface (mer),D07003,Station à basse altitude,,R01000,Réplication différée de 6 descripteurs,,,Operational
07,Séquences de rapports de surface (mer),D07003,Station à basse altitude,,D02005,Couche de nuage,,,Operational
07,Séquences de rapports de surface (mer),D07004,Station à basse altitude,,D07002,Station à basse altitude,Localisation (haute précision) et rapport de base,,Operational
07,Séquences de rapports de surface (mer),D07004,Station à basse altitude,,R01000,Réplication différée de 6 descripteurs,,,Operational
07,Séquences de rapports de surface (mer),D07004,Station à basse altitude,,D02005,Couche de nuage,,,Operational
07,Séquences de rapports de surface (mer),D07005,Station à basse altitude,,D07001,Station à basse altitude,Localisation (haute précision) et rapport de base,,Operational
07,Séquences de rapports de surface (mer),D07005,Station à basse altitude,,R01004,Répliquer 5 descripteurs 2 fois,,,Operational
07,Séquences de rapports de surface (mer),D07005,Station à basse altitude,,D02005,Couche de nuage,Couches,,Operational
07,Séquences de rapports de surface (mer),D07006,Station à basse altitude,,D07002,Station à basse altitude,Localisation (haute précision) et rapport de base,,Operational
07,Séquences de rapports de surface (mer),D07006,Station à basse altitude,,R01004,Répliquer 5 descripteurs 2 fois,,,Operational
07,Séquences de rapports de surface (mer),D07006,Station à basse altitude,,D02005,Couche de nuage,Couches,,Operational
07,Séquences de rapports de surface (mer),D07007,Station à basse altitude,,D01031,"Identification et type de station, date/heure, emplacement (haute précision), mouvement",,,Operational
07,Séquences de rapports de surface (mer),D07007,Station à basse altitude,,D02012,Station à basse altitude,Rapport de surface de base,,Operational
07,Séquences de rapports de surface (mer),D07008,Station à basse altitude,,D01032,"Identification et type de station, date/heure, emplacement (haute précision), mouvement",,,Operational
