Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status
bufr4/0/08/001,08,Qualificatifs de signification,008001,Signification de sondage vertical,Flag table,0,0,7,Flag table,0,3,,,Operational
bufr4/0/08/002,08,Qualificatifs de signification,008002,Signification verticale (observations satellitaires),Code table,0,0,6,Code table,0,2,,,Operational
bufr4/0/08/003,08,Qualificatifs de signification,008003,Signification verticale (observations satellitaires),Code table,0,0,6,Code table,0,2,,,Operational
bufr4/0/08/004,08,Qualificatifs de signification,008004,Phase de vol de l'aéronef,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/08/005,08,Qualificatifs de signification,008005,Signification de l'attribut météorologique,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/08/006,08,Qualificatifs de signification,008006,Signification du sondage vertical de l'ozone,Flag table,0,0,9,Flag table,0,3,,,Operational
bufr4/0/08/007,08,Qualificatifs de signification,008007,Signification dimensionnelle,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/08/008,08,Qualificatifs de signification,008008,Signification de sondage vertical de radiation,Flag table,0,0,9,Flag table,0,3,,,Operational
bufr4/0/08/009,08,Qualificatifs de signification,008009,Phase de vol de l'aéronef,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/08/010,08,Qualificatifs de signification,008010,Qualificateur de surface (données de température),Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/08/011,08,Qualificatifs de signification,008011,Caractéristique météorologique,Code table,0,0,6,Code table,0,2,,,Operational
bufr4/0/08/012,08,Qualificatifs de signification,008012,Qualificatif terre/mer,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/08/013,08,Qualificatifs de signification,008013,Qualificateur jour/nuit,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/08/014,08,Qualificatifs de signification,008014,Tendance de la portée visuelle de piste,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/08/015,08,Qualificatifs de signification,008015,Qualificateur significatif pour capteur,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/08/016,08,Qualificatifs de signification,008016,Modifier le qualifiant d'une prévision de type tendance ou d'une prévision d'aérodrome,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/08/017,08,Qualificatifs de signification,008017,Qualificateur du moment où le changement de prévision est attendu,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/08/018,08,Qualificatifs de signification,008018,Type de surface terre/glace SEAWINDS,Flag table,0,0,17,Flag table,0,6,,,Operational
bufr4/0/08/019,08,Qualificatifs de signification,008019,Qualificateur pour l'identifiant du centre suivant,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/08/020,08,Qualificatifs de signification,008020,Nombre total d'entités manquantes (par rapport à l'accumulation ou à la moyenne),Numeric,0,0,16,Numeric,0,5,,,Operational
