"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"23","Classe 23 — Dispersion et transport","023001","Notification rapide d'un accident - article applicable","Table de code","0","0","3","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023002","Activité ou installation en cause dans l'incident","Table de code","0","0","5","Table de code","0","2","","","Operational"
"23","Classe 23 — Dispersion et transport","023003","Type de rejet","Table de code","0","0","3","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023004","Contre-mesures prises près de la frontière","Table de code","0","0","3","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023005","Cause de l'incident","Table de code","0","0","2","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023006","Situation de l'incident","Table de code","0","0","3","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023007","Caractéristiques du rejet","Table de code","0","0","3","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023008","Nature du rejet observé","Table de code","0","0","2","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023009","Nature du rejet prévu","Table de code","0","0","2","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023016","Risque d'effets chimiques toxiques notables sur la santé","Table de code","0","0","2","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023017","Débit de la principale masse d'eau réceptrice","m³ s-1","6","0","20","m³ s-1","6","7","","","Operational"
"23","Classe 23 — Dispersion et transport","023018","Évolution du rejet dans le temps","Table de code","0","0","3","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023019","Hauteur réelle du rejet","m","0","-15000","17","m","0","6","","","Operational"
"23","Classe 23 — Dispersion et transport","023021","Hauteur effective du rejet","m","0","-15000","17","m","0","6","","","Operational"
"23","Classe 23 — Dispersion et transport","023022","Distance du point de rejet ou du site de l'incident","m","0","0","24","m","0","8","","","Operational"
"23","Classe 23 — Dispersion et transport","023023","Vitesse du transport principal dans l'atmosphère","m s-1","1","0","12","m s-1","1","4","","","Operational"
"23","Classe 23 — Dispersion et transport","023024","Vitesse du transport principal dans l'eau","m s-1","2","0","13","m s-1","2","4","","","Operational"
"23","Classe 23 — Dispersion et transport","023025","Vitesse du transport principal dans les eaux souterraines","m s-1","2","0","13","m s-1","2","4","","","Operational"
"23","Classe 23 — Dispersion et transport","023027","Direction du transport principal dans l'atmosphère","degré vrai","0","0","9","degré vrai","0","3","","","Operational"
"23","Classe 23 — Dispersion et transport","023028","Direction du transport principal dans l'eau","degré vrai","0","0","9","degré vrai","0","3","","","Operational"
"23","Classe 23 — Dispersion et transport","023029","Direction du transport principal dans les eaux souterraines","degré vrai","0","0","9","degré vrai","0","3","","","Operational"
"23","Classe 23 — Dispersion et transport","023031","Possibilité que le panache rencontre des précipitations dans l'État où l'incident s'est produit","Table de code","0","0","2","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023032","Possibilité que le panache soit affecté par un changement de direction et/ou de vitesse du vent","Table de code","0","0","2","Table de code","0","1","","","Operational"
"23","Classe 23 — Dispersion et transport","023040","Débit – cours d'eau","m³ s-1","1","0","22","m³ s-1","1","7","","","Operational"
"23","Classe 23 — Dispersion et transport","023041","Débit – puits","m³ s-1","3","0","16","m³ s-1","3","5","","","Operational"
