"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"08","Classe 08 – Caractéristiques","008001","Caractéristique correspondant à des données de sondage vertical","Table d'indicateurs","0","","7","Table d'indicateurs","0","3","","","Operational"
"08","Classe 08 – Caractéristiques","008002","Caractéristique verticale (observations en surface)","Table de code","0","","6","Table de code","0","2","","","Operational"
"08","Classe 08 – Caractéristiques","008003","Caractéristique verticale (observations par satellite)","Table de code","0","","6","Table de code","0","2","","","Operational"
"08","Classe 08 – Caractéristiques","008004","Phase de vol de l'aéronef","Table de code","0","","3","Table de code","0","1","","","Operational"
"08","Classe 08 – Caractéristiques","008005","Signification de la caractéristique météorologique","Table de code","0","","4","Table de code","0","2","","","Operational"
"08","Classe 08 – Caractéristiques","008006","Caractéristique du sondage vertical de l'ozone","Table d'indicateurs","0","","9","Table d'indicateurs","0","3","","","Operational"
"08","Classe 08 – Caractéristiques","008007","Caractéristique dimensionnelle","Table de code","0","","4","Table de code","0","2","","","Operational"
"08","Classe 08 – Caractéristiques","008008","Caractéristique correspondant à des données de sondage vertical du rayonnement","Table d'indicateurs","0","","9","Table d'indicateurs","0","3","","","Operational"
"08","Classe 08 – Caractéristiques","008009","Phase de vol détaillée de l'aéronef","Table de code","0","","4","Table de code","0","2","","","Operational"
"08","Classe 08 – Caractéristiques","008010","Caractéristique de la surface (données de température)","Table de code","0","","9","Table de code","0","2","","","Operational"
"08","Classe 08 – Caractéristiques","008011","Caractéristique météorologique","Table de code","0","","6","Table de code","0","2","","","Operational"
"08","Classe 08 – Caractéristiques","008012","Identificateur terre/mer","Table de code","0","","2","Table de code","0","1","","","Operational"
"08","Classe 08 – Caractéristiques","008013","Identificateur jour/nuit","Table de code","0","","2","Table de code","0","1","","","Operational"
"08","Classe 08 – Caractéristiques","008014","Identificateur pour la portée visuelle de piste","Table de code","0","","4","Table de code","0","2","","","Operational"
