"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"24","Classe 24 — Éléments radiologiques","024001","Estimation de la quantité de radio-activité rejetée jusqu'à une heure donnée","Bq","-11","0","28","Bq","-11","9","","","Operational"
"24","Classe 24 — Éléments radiologiques","024002","Rejet potentiel maximal estimé","Bq","-11","0","28","Bq","-11","9","","","Operational"
"24","Classe 24 — Éléments radiologiques","024003","Composition du rejet","Table de code","0","0","5","Table de code","0","2","","","Operational"
"24","Classe 24 — Éléments radiologiques","024004","Nom de l'élément","CCITT IA5","0","0","16","Caractère","0","2","","","Operational"
"24","Classe 24 — Éléments radiologiques","024005","Masse isotopique","Numérique","0","0","9","Numérique","0","3","","","Operational"
"24","Classe 24 — Éléments radiologiques","024011","Dose","mSv*","2","0","32","mSv*","2","10","","","Operational"
"24","Classe 24 — Éléments radiologiques","024012","Trajectoire et dose (position définie et heure d'arrivée prévue)","mSv","2","0","32","mSv","2","10","","","Operational"
"24","Classe 24 — Éléments radiologiques","024013","Dose gamma dans l'air le long de la route du transport principal (en un lieu et pour une période précis)","mSv","2","","32","mSv","2","10","","","Operational"
"24","Classe 24 — Éléments radiologiques","024014","Débit de dose de rayonnement gamma","nSv h-¹","1","0","14","nSv h-1","1","4","(voir note 2)","2","Operational"
"24","Classe 24 — Éléments radiologiques","024021","Concentration dans l'air (du type d'isotope désigné, y compris la dose bêta brute)","Bq m-3","2","0","32","Bq m-3","2","10","","","Operational"
"24","Classe 24 — Éléments radiologiques","024022","Concentration dans les précipitations (du type d'isotope désigné)","Bq l-1","2","0","32","Bq l-1","2","10","","","Operational"
"24","Classe 24 — Éléments radiologiques","024023","Pulsation du rayonnement bêta","s-1","1","0","14","s-1","1","4","","","Operational"
"24","Classe 24 — Éléments radiologiques","024024","Pulsation du rayonnement gamma","s-1","1","0","14","s-1","1","4","","","Operational"
