"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"19","Classe 19 Caractéristiques synoptiques","019001","Type de la caractéristique synoptique","Table de code","0","0","6","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019002","Rayon réel de la caractéristique","m","-2","0","12","m","-2","4","(voir note 1)","1","Operational"
"19","Classe 19 Caractéristiques synoptiques","019003","Seuil de vitesse du vent","m s-1","0","0","8","m s-1","0","3","(voir note 2)","2","Operational"
"19","Classe 19 Caractéristiques synoptiques","019004","Rayon réel pour les vitesses du vent supérieures au seuil","m","-2","0","12","m","-2","4","(voir note 2)","2","Operational"
"19","Classe 19 Caractéristiques synoptiques","019005","Direction de déplacement de la caractéristique","degré vrai","0","0","9","degré vrai","0","3","(voir note 3)","3","Operational"
"19","Classe 19 Caractéristiques synoptiques","019006","Vitesse de déplacement de la caractéristique","m s-1","2","0","14","m s-1","2","5","(voir note 3)","3","Operational"
"19","Classe 19 Caractéristiques synoptiques","019007","Rayon réel de la caractéristique","m","-3","0","12","m","-3","4","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019008","Extension verticale de la circulation","Table de code","0","0","3","Table de code","0","1","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019009","Rayon effectif pour les vitesses de vent supérieures à la valeur seuil (tempêtes étendues)","m","-3","0","12","m","-3","4","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019010","Méthode d'obtention du centre de la caractéristique synoptique","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019100","Période pour laquelle a été calculé le déplacement du cyclone tropical","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019101","Précision de la position du centre du cyclone tropical","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019102","Configuration et définition de l'œil du cyclone tropical","Table de code","0","0","3","Table de code","0","1","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019103","Diamètre ou longueur de l'axe principal de l'œil du cyclone tropical","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019104","Évolution du caractère de l'œil durant les 30 minutes précédentes","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019105","Distance entre l'extrémité de la bande en spirale et le centre du cyclone tropical","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019106","Numéro d'identification du cyclone tropical","Numérique","0","0","7","Numérique","0","3","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019107","Période sur laquelle a été calculé le déplacement du cyclone tropical","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019108","Précision de la position géographique du cyclone tropical","Table de code","0","0","3","Table de code","0","1","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019109","Diamètre moyen de la couverture nuageuse du cyclone tropical","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019110","Variation apparente de l'intensité du cyclone tropical, à 24 heures d'intervalle","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019111","Nombre Cl (intensité courante) du cyclone tropical","Numérique","1","0","7","Numérique","1","3","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019112","Nombre T (tropical) pour les données (DT) au sujet du cyclone tropical","Numérique","1","0","7","Numérique","1","3","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019113","Configuration nuageuse correspondant au nombre DT","Table de code","0","0","4","Table de code","0","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019114","Nombre T attendu du modèle (MET) pour le cyclone tropical","Numérique","1","0","7","Numérique","1","3","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019115","Tendance sur les 24 heures précédentes (+: intensification, -: affaiblissement)","Numérique","1","-30","6","Numérique","1","2","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019116","Nombre T de la configuration (PT) du cyclone tropical","Numérique","1","0","7","Numérique","1","3","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019117","Type d'image de nuages correspondant au nombre PT","Table de code","0","0","3","Table de code","0","1","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019118","Nombre T final pour le cyclone tropical","Numérique","1","0","7","Numérique","1","3","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019119","Type du nombre T final","Table de code","0","0","3","Table de code","0","1","","","Operational"
"19","Classe 19 Caractéristiques synoptiques","019150","Nombre international commun des typhons (Comité des typhons)","CCITT IA5","0","0","32","Caractère","0","4","","","Operational"
