FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
019001,Tipo de característica sinóptica,0,Depresión o mínimo barométrico (extratropical),,,,,Operational
019001,Tipo de característica sinóptica,1,Depresión tropical,,,,,Operational
019001,Tipo de característica sinóptica,2,Tormenta tropical,,,,,Operational
019001,Tipo de característica sinóptica,3,Tormenta tropical fuerte,,,,,Operational
019001,Tipo de característica sinóptica,4,Tifón,,,,,Operational
019001,Tipo de característica sinóptica,5-9,Reservadas,,,,,Operational
019001,Tipo de característica sinóptica,10,Tempestad de polvo/arena,,,,,Operational
019001,Tipo de característica sinóptica,11-62,Reservadas,,,,,Operational
019001,Tipo de característica sinóptica,63,Valor faltante,,,,,Operational
019008,Extensión vertical de la circulación,0,Reservada,,,,,Operational
019008,Extensión vertical de la circulación,1,Poco profundo (tope de la circulación por debajo del nivel de 700 hPa),,,,,Operational
019008,Extensión vertical de la circulación,2,Medio (tope entre los niveles de 700 y 400 hPa),,,,,Operational
019008,Extensión vertical de la circulación,3,Profundo (tope por encima del nivel 400 hPa),,,,,Operational
019008,Extensión vertical de la circulación,4-6,Reservadas,,,,,Operational
019008,Extensión vertical de la circulación,7,Valor faltante,,,,,Operational
019010,Método de seguimiento del centro de la característica sinóptica,1,Valor mínimo de la presión al nivel del mar,,,,,Operational
019010,Método de seguimiento del centro de la característica sinóptica,2,Valor máximo de la vorticidad relativa a 850 hPa,,,,,Operational
019010,Método de seguimiento del centro de la característica sinóptica,3-14,Reservadas,,,,,Operational
019010,Método de seguimiento del centro de la característica sinóptica,15,Valor faltante,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,0-2,No utilizado,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,3,Durante los 15 minutos anteriores,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,4,Durante los 30 minutos anteriores,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,5,Durante la hora anterior,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,6,Durante las 2 horas anteriores,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,7,Durante las 3 horas anteriores,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,8,Durante las 6 horas anteriores,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,9,Durante un período de más de 6 horas,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,10,Indeterminado,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,11-14,No utilizadas,,,,,Operational
019100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,15,Valor faltante,,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,0,Reservada,,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,1,"Ojo visible en la pantalla del radar, precisión buena (en 10 km)",,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,2,"Ojo visible en la pantalla del radar, precisión bastante buena (en 30 km)",,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,3,"Ojo visible en la pantalla del radar, precisión escasa (en 50 km)",,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,4,"Posición del centro dentro del área abarcada por la pantalla del radar, determinación mediante la configuración de la banda en espiral, precisión buena (en 10 km)",,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,5,"Posición del centro dentro del área abarcada por la pantalla del radar, determinación mediante la configuración de la banda en espiral, precisión bastante buena (en 30 km)",,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,6,"Posición del centro dentro del área abarcada por la pantalla del radar, determinación mediante la configuración de la banda en espiral, precisión escasa (en 50 km)",,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,7,"Posición del centro fuera del área abarcada por la pantalla del radar, extrapolación mediante la configuración de la banda en espiral",,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,8-9,Reservadas,,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,10,Precisión indeterminada,,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,11-14,No utilizadas,,,,,Operational
019101,Precisión de la posición del centro del ciclón tropical,15,Valor faltante,,,,,Operational
019102,Forma y definición del ojo del ciclón tropical,0,Circular,,,,,Operational
019102,Forma y definición del ojo del ciclón tropical,1,"Elíptica – la longitud del eje menor alcanza, por lo menos, los 3/4 del eje mayor",,,,,Operational
019102,Forma y definición del ojo del ciclón tropical,2,Elíptica - la longitud del eje menor es inferior a 3/4 del eje mayor,,,,,Operational
019102,Forma y definición del ojo del ciclón tropical,3,Doble ojo aparente,,,,,Operational
019102,Forma y definición del ojo del ciclón tropical,4,Otra forma,,,,,Operational
019102,Forma y definición del ojo del ciclón tropical,5,Mal definido,,,,,Operational
019102,Forma y definición del ojo del ciclón tropical,6,Indeterminado,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,0,Menos de 5 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,1,De 5 a menos de 10 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,2,De 10 a menos de 15 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,3,De 15 a menos de 20 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,4,De 20 a menos de 25 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,5,De 25 a menos de 30 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,6,De 30 a menos de 35 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,7,De 35 a menos de 40 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,8,De 40 a menos de 50 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,9,Más de 50 km,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,10,Indeterminado,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,11-14,No utilizadas,,,,,Operational
019103,Diámetro del eje principal del ojo del ciclón tropical,15,Valor faltante,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,0,El ojo comenzó a hacerse visible durante los 30 minutos anteriores,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,1,No ha habido cambio significativo en las características o el tamaño del ojo,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,2,El ojo se ha hecho más pequeño sin ningún otro cambio significativo de las características,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,3,El ojo se ha hecho mayor sin ningún otro cambio significativo de las características,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,4,El ojo se ha hecho menos nítido sin ningún otro cambio significativo en el tamaño,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,5,El ojo se ha hecho menos nítido y disminuyó de tamaño,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,6,El ojo se ha hecho menos nítido y aumentó de tamaño,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,7,El ojo se ha hecho más nítido sin ningún otro cambio significativo en el tamaño,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,8,El ojo se ha hecho más nítido y disminuyó de tamaño,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,9,El ojo se ha hecho más nítido y aumentó de tamaño,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,10,El cambio en la naturaleza y el tamaño del ojo no puede determinarse,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,11-14,No utilizadas,,,,,Operational
019104,Cambio de naturaleza del ojo durante los 30 minutos,15,Valor faltante,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,0,0 a menos de 100 km,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,1,100 a menos de 200 km,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,2,200 a menos de 300 km,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,3,300 a menos de 400 km,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,4,400 a menos de 500 km,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,5,500 a menos de 600 km,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,6,600 a menos de 800 km,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,7,800 km o más,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,8-9,Reservadas,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,10,Dudosa o indeterminada,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,11-14,No utilizadas,,,,,Operational
019105,Distancia entre el fin de la banda en espiral y el centro,15,Valor faltante,,,,,Operational
019107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,0,Menos de una hora,,,,,Operational
019107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,1,De 1 a menos de 2 horas,,,,,Operational
019107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,2,De 2 a menos de 3 horas,,,,,Operational
019107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,3,De 3 a menos de 6 horas,,,,,Operational
019107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,4,De 6 a menos de 9 horas,,,,,Operational
019107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,5,De 9 a menos de 12 horas,,,,,Operational
019107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,6,De 12 a menos de 15 horas,,,,,Operational
019107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,7,De 15 a menos de 18 horas,,,,,Operational
