FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,1,El equipo de proceso no funciona,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,2,Falla en el equipo,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,3,La clave de PRF cambió durante la generación de la imagen,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,4,La ventana de muestreo cambió durante la generación de la imagen,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,5,La ganancia cambió durante la generación de la imagen,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,6,La réplica de los impulsos modulados en frecuencia (“chirp”) excede el valor especificado,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,7,La desviación media y la desviación típica de los datos de entrada en fase y en cuadratura caen fuera de la gama de valores,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,8,Grado de confianza del punto medio Doppler > valor MMCC,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,9,Valor absoluto del punto medio Doppler > PRF/2,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,10,Grado de confianza de la ambigüedad Doppler < valor MMCC,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,11,La desviación media y la desviación típica de los datos de salida ≤ valor MMCC,,,,,Operational
021066,Datos sobre el grado de confianza del producto del dispersómetro de onda,Los 12,Valor faltante,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,1,Ningún cálculo del haz anterior,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,2,Ningún cálculo del haz medio,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,3,Ningún cálculo del haz posterior,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,4,Arqueo detectado del haz anterior,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,5,Arqueo detectado del haz medio,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,6,Arqueo detectado del haz posterior,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,7,Todo contenido de ruido del haz superior o igual al umbral,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,8,Tierra (toda porción de tierra en la casilla de la proyección del haz),,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,9,Supresor de ambigüedad autónoma no utilizado,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,10,Antecedentes meteorológicos no utilizados,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,11,Umbral residual mínimo excedido,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,12,Detectado error de suma de comprobación de cuadro,,,,,Operational
021067,Datos sobre el grado de confianza del producto de la medición del viento,Los 13,Valor faltante,,,,,Operational
021068,Datos sobre el grado de confianza del producto del altímetro del radar,1,Desviación típica de la velocidad del viento fuera del límite de MMCC,,,,,Operational
021068,Datos sobre el grado de confianza del producto del altímetro del radar,2,Desviación típica de la altura de las olas significativas fuera del límite de MMCC,,,,,Operational
021068,Datos sobre el grado de confianza del producto del altímetro del radar,3,Desviación típica de la altitud fuera del límite de MMCC,,,,,Operational
021068,Datos sobre el grado de confianza del producto del altímetro del radar,4,Máximas (valores medios) fuera del límite de MMCC,,,,,Operational
021068,Datos sobre el grado de confianza del producto del altímetro del radar,5,Detectado error de suma de comprobación de cuadro,,,,,Operational
021068,Datos sobre el grado de confianza del producto del altímetro del radar,6,Corrección de la constante de tiempo de la curva altura-tiempo no aplicada,,,,,Operational
021068,Datos sobre el grado de confianza del producto del altímetro del radar,7,Mediciones insuficientes (N < 10),,,,,Operational
021068,Datos sobre el grado de confianza del producto del altímetro del radar,Los 8,Valor faltante,,,,,Operational
021069,Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST),1,"Canal de 12,0 µm presente en los datos de la fuente",,,,,Operational
021069,Datos sobre el grado de confianza del producto de la medición de la temperatura de la superficie del mar (SST),2,"Canal de 11,0 µm presente en los datos de la fuente",,,,,Operational
