FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
029001,Tipo de proyección,0,Proyección gnomónica,,,,,Operational
029001,Tipo de proyección,1,Proyección estereográfica polar,,,,,Operational
029001,Tipo de proyección,2,Proyección cónica de Lambert,,,,,Operational
029001,Tipo de proyección,3,Proyección de Mercator,,,,,Operational
029001,Tipo de proyección,4,Cono de barrido (radar),,,El tipo de proyección 4 indica una retícula cartesiana situada directamente en el cono de exploración definido por el barrido azimutal del radar.,,Operational
029001,Tipo de proyección,5,Reservada,,,,,Operational
029001,Tipo de proyección,6,Sin proyección,,,,,Operational
029001,Tipo de proyección,7,Valor faltante,,,,,Operational
029002,Tipo de retícula de coordenadas,0,Cartesiana,,,,,Operational
029002,Tipo de retícula de coordenadas,1,Polar,,,,,Operational
029002,Tipo de retícula de coordenadas,2,De otro tipo,,,,,Operational
029002,Tipo de retícula de coordenadas,3-6,Reservadas,,,,,Operational
029002,Tipo de retícula de coordenadas,7,Valor faltante,,,,,Operational
