FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
008001,Significación del sondeo vertical,1,Superficie,,,,,Operational
008001,Significación del sondeo vertical,2,Nivel estándar,,,,,Operational
008001,Significación del sondeo vertical,3,Nivel tropopáusico,,,,,Operational
008001,Significación del sondeo vertical,4,Nivel del viento máximo,,,,,Operational
008001,Significación del sondeo vertical,5,"Nivel significativo, temperatura y/o humedad relativa",,,,,Operational
008001,Significación del sondeo vertical,6,"Nivel significativo, viento",,,,,Operational
008001,Significación del sondeo vertical,Todos los 7,Valor faltante,,,,,Operational
008002,Significación vertical (observaciones en superficie),0,Reglas de observación de la base de las nubes más bajas y de los tipos de nubes aplicables a las claves FM 12 SYNOP y FM 13 SHIP,,,,,Operational
008002,Significación vertical (observaciones en superficie),1,Primera capa significativa que no sea de cumulonimbus,,,,,Operational
008002,Significación vertical (observaciones en superficie),2,Segunda capa significativa que no sea de cumulonimbus,,,,,Operational
008002,Significación vertical (observaciones en superficie),3,Tercera capa significativa que no sea de cumulonimbus,,,,,Operational
008002,Significación vertical (observaciones en superficie),4,Capa de cumulonimbus,,,,,Operational
008002,Significación vertical (observaciones en superficie),5,Techo de nubes,,,,,Operational
008002,Significación vertical (observaciones en superficie),6,Nubes no detectadas por debajo de las alturas siguientes,,,,,Operational
008002,Significación vertical (observaciones en superficie),7,Nube baja,,,,,Operational
008002,Significación vertical (observaciones en superficie),8,Nube media,,,,,Operational
008002,Significación vertical (observaciones en superficie),9,Nube alta,,,,,Operational
008002,Significación vertical (observaciones en superficie),10,Capa nubosa con base por debajo y cima por encima de la estación,,,,,Operational
008002,Significación vertical (observaciones en superficie),11,Capa nubosa con base y cima por debajo del nivel de la estación,,,,,Operational
008002,Significación vertical (observaciones en superficie),12-19,Reservadas,,,,,Operational
008002,Significación vertical (observaciones en superficie),20,El sistema de detección de nubes no ha detectado nubes,,,,,Operational
008002,Significación vertical (observaciones en superficie),21,Primer instrumento detecta capa nubosa,,,,,Operational
008002,Significación vertical (observaciones en superficie),22,Segundo instrumento detecta capa nubosa,,,,,Operational
008002,Significación vertical (observaciones en superficie),23,Tercero instrumento detecta capa nubosa,,,,,Operational
008002,Significación vertical (observaciones en superficie),24,Cuarto instrumento detecta capa nubosa,,,,,Operational
008002,Significación vertical (observaciones en superficie),25-61,Reservadas,,,,,Operational
008002,Significación vertical (observaciones en superficie),62,Valor no aplicable,,,,,Operational
008002,Significación vertical (observaciones en superficie),63,Valor faltante,,,,,Operational
008003,Significación vertical (observaciones satelitales),0,Superficie,,,,,Operational
008003,Significación vertical (observaciones satelitales),1,Base del sondeo por satélite,,,,,Operational
008003,Significación vertical (observaciones satelitales),2,Cima de nubes,,,,,Operational
008003,Significación vertical (observaciones satelitales),3,Tropopausa,,,,,Operational
008003,Significación vertical (observaciones satelitales),4,Agua precipitable,,,,,Operational
008003,Significación vertical (observaciones satelitales),5,Radiancias observadas por sondeo,,,,,Operational
008003,Significación vertical (observaciones satelitales),6,Temperaturas medias,,,,,Operational
008003,Significación vertical (observaciones satelitales),7,Ozono,,,,,Operational
008003,Significación vertical (observaciones satelitales),8,Nubes bajas,,,,,Operational
008003,Significación vertical (observaciones satelitales),9,Nubes medias,,,,,Operational
008003,Significación vertical (observaciones satelitales),10,Nubes altas,,,,,Operational
