FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
020003,Tiempo presente,,00-49 Sin precipitaciones en la estación en el momento de la observación,,,,,Operational
020003,Tiempo presente,,"00-19 Sin precipitación, niebla, niebla helada (excepto para 11 y 12), tempestad de polvo, tempestad de arena, ventisca alta o baja en la estación* en el momento de la observación o, excepto para 09 y 17, durante la hora precedente",,,,,Operational
020003,Tiempo presente,,"00-03 Sin presencia de meteoros, excepto fotometeoro",,,,,Operational
020003,Tiempo presente,00,Ningún desarrollo nuboso fue observado o pudo ser observado,Variación característica del estado del cielo o haciéndose menos espesas en el curso de la hora precedente,,,,Operational
020003,Tiempo presente,01,Nubes que en general van disipándose,Variación característica del estado del cielo o haciéndose menos espesas en el curso de la hora precedente,,,,Operational
020003,Tiempo presente,02,Estado del cielo sin cambios en su conjunto,Variación característica del estado del cielo o haciéndose menos espesas en el curso de la hora precedente,,,,Operational
020003,Tiempo presente,03,Nubes en formación o en desarrollo,Variación característica del estado del cielo o haciéndose menos espesas en el curso de la hora precedente,,,,Operational
020003,Tiempo presente,,"04-09 Bruma, polvo, arena o humo",,,,,Operational
020003,Tiempo presente,04,"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas",,,,,Operational
020003,Tiempo presente,05,Bruma,,,,,Operational
020003,Tiempo presente,06,"Polvo en suspensión en el aire, que abarca gran extensión, no levantado por el viento en la estación o en sus alrededores, en el momento de la observación",,,,,Operational
020003,Tiempo presente,07,"Polvo o arena levantado por el viento en la estación o en sus alrededores en el momento de la observación, pero sin torbellino(s) de polvo o de arena bien desarrollado(s) ni tempestad de polvo o de arena a la vista; o rociones en la estación, en el caso de una estación en mar o en la costa",,,,,Operational
020003,Tiempo presente,08,"Torbellino(s) de polvo o de arena bien desarrollado(s), observado(s) en la estación o en sus alrededores durante la hora precedente o en el momento de la observación, pero sin tempestad de polvo o de arena",,,,,Operational
