"No","Category","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
1.00,"00","BUFR table entries sequences","300002",,,"000002","Table A: data category description, line 1","Table A category, line 1",,"Operational"
2.00,"00","BUFR table entries sequences","300002",,,"000003","Table A: data category description, line 2","Table A category, line 2",,"Operational"
3.00,"00","BUFR table entries sequences","300003","(F, X, Y of descriptor to be added or defined)",,"000010","F descriptor to be added or defined","F, part descriptor",,"Operational"
4.00,"00","BUFR table entries sequences","300003","(F, X, Y of descriptor to be added or defined)",,"000011","X descriptor to be added or defined","X, part descriptor",,"Operational"
5.00,"00","BUFR table entries sequences","300003","(F, X, Y of descriptor to be added or defined)",,"000012","Y descriptor to be added or defined","Y, part descriptor",,"Operational"
6.00,"00","BUFR table entries sequences","300004",,,"300003","F, X, Y of descriptor to be added or defined",,,"Operational"
7.00,"00","BUFR table entries sequences","300004",,,"000013","Element name, line 1","Element name, line 1",,"Operational"
8.00,"00","BUFR table entries sequences","300004",,,"000014","Element name, line 2","Element name, line 2",,"Operational"
9.00,"00","BUFR table entries sequences","300004",,,"000015","Units name","Units name",,"Operational"
10.00,"00","BUFR table entries sequences","300004",,,"000016","Units scale sign","Units scale sign",,"Operational"
11.00,"00","BUFR table entries sequences","300004",,,"000017","Units scale","Units scale",,"Operational"
12.00,"00","BUFR table entries sequences","300004",,,"000018","Units reference sign","Units reference sign",,"Operational"
13.00,"00","BUFR table entries sequences","300004",,,"000019","Units reference value","Units reference value",,"Operational"
14.00,"00","BUFR table entries sequences","300004",,,"000020","Element data width","Element data width",,"Operational"
15.00,"00","BUFR table entries sequences","300010",,,"300003","F, X, Y of descriptor to be added or defined","Table D descriptor to be defined",,"Operational"
16.00,"00","BUFR table entries sequences","300010",,,"101000","Delayed replication of 1 descriptor","Delayed replication of 1 descriptor",,"Operational"
17.00,"00","BUFR table entries sequences","300010",,,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Operational"
18.00,"00","BUFR table entries sequences","300010",,,"000030","Descriptor defining sequence","Descriptor defining sequence",,"Operational"
22.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000030","Descriptor defining sequence","Descriptor defining sequence (FXY)",,"Operational"
23.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"102000","Delayed replication of 2 descriptors","Delayed replication of 2 descriptors",,"Operational"
24.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"031002","Extended delayed descriptor replication factor","Extended delayed descriptor replication factor",,"Operational"
25.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000024","Code figure","Code figure",,"Operational"
26.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000025","Code figure meaning","Code figure meaning",,"Operational"
28.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000030","Descriptor defining sequence","Descriptor defining sequence (FXY)",,"Operational"
29.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"102000","Delayed replication of 2 descriptors","Delayed replication of 2 descriptors",,"Operational"
30.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Operational"
31.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000026","Bit number","Bit number",,"Operational"
32.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000027","Bit number meaning","Bit number meaning",,"Operational"
34.00,"01","Location and identification sequences","301001","(WMO block and station numbers)",,"001001","WMO block number","WMO block number",,"Operational"
35.00,"01","Location and identification sequences","301001","(WMO block and station numbers)",,"001002","WMO station number","WMO station number",,"Operational"
36.00,"01","Location and identification sequences","301002",,,"001003","WMO Region number/geographical area","WMO Region number",,"Operational"
37.00,"01","Location and identification sequences","301002",,,"001004","WMO Region sub-area","WMO Region sub-area",,"Operational"
38.00,"01","Location and identification sequences","301002",,,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
39.00,"01","Location and identification sequences","301003","(Ship's call sign and motion)",,"001011","Ship or mobile land station identifier","Ship's call sign",,"Operational"
40.00,"01","Location and identification sequences","301003","(Ship's call sign and motion)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
41.00,"01","Location and identification sequences","301003","(Ship's call sign and motion)",,"001013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
42.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001001","WMO block number","WMO block number",,"Operational"
43.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001002","WMO station number","WMO station number",,"Operational"
44.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001015","Station or site name","Station or site name",,"Operational"
45.00,"01","Location and identification sequences","301004","(Surface station identification)",,"002001","Type of station","Type of station",,"Operational"
46.00,"01","Location and identification sequences","301005","(Originating centre/sub-centre)",,"001035","Originating centre","Originating centre",,"Operational"
47.00,"01","Location and identification sequences","301005","(Originating centre/sub-centre)",,"001034","Identification of originating/generating sub-centre","Identification of originating/generating sub-centre",,"Operational"
48.00,"01","Location and identification sequences","301011","(Year, month, day)",,"004001","Year","Year",,"Operational"
49.00,"01","Location and identification sequences","301011","(Year, month, day)",,"004002","Month","Month",,"Operational"
50.00,"01","Location and identification sequences","301011","(Year, month, day)",,"004003","Day","Day",,"Operational"
51.00,"01","Location and identification sequences","301012","(Hour, minute)",,"004004","Hour","Hour",,"Operational"
52.00,"01","Location and identification sequences","301012","(Hour, minute)",,"004005","Minute","Minute",,"Operational"
53.00,"01","Location and identification sequences","301013","(Hour, minute, second)",,"004004","Hour","Hour",,"Operational"
54.00,"01","Location and identification sequences","301013","(Hour, minute, second)",,"004005","Minute","Minute",,"Operational"
55.00,"01","Location and identification sequences","301013","(Hour, minute, second)",,"004006","Second","Second",,"Operational"
56.00,"01","Location and identification sequences","301014","(Time period)",,"102002","Replicate 2 descriptors 2 times","Replication of 2 descriptors 2 times",,"Operational"
57.00,"01","Location and identification sequences","301014","(Time period)",,"301011","Year, month, day","Year, month, day",,"Operational"
58.00,"01","Location and identification sequences","301014","(Time period)",,"301012","Hour, minute","Hour, minute",,"Operational"
59.00,"01","Location and identification sequences","301021","(Latitude/longitude (high accuracy))",,"005001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
60.00,"01","Location and identification sequences","301021","(Latitude/longitude (high accuracy))",,"006001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
61.00,"01","Location and identification sequences","301022","(Latitude/longitude (high accuracy), height of station)",,"005001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
62.00,"01","Location and identification sequences","301022","(Latitude/longitude (high accuracy), height of station)",,"006001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
63.00,"01","Location and identification sequences","301022","(Latitude/longitude (high accuracy), height of station)",,"007001","Height of station","Height of station",,"Operational"
64.00,"01","Location and identification sequences","301023","(Latitude/longitude (coarse accuracy))",,"005002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
65.00,"01","Location and identification sequences","301023","(Latitude/longitude (coarse accuracy))",,"006002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
66.00,"01","Location and identification sequences","301024","(Latitude/longitude (coarse accuracy), height of station)",,"005002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
67.00,"01","Location and identification sequences","301024","(Latitude/longitude (coarse accuracy), height of station)",,"006002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
68.00,"01","Location and identification sequences","301024","(Latitude/longitude (coarse accuracy), height of station)",,"007001","Height of station","Height of station",,"Operational"
69.00,"01","Location and identification sequences","301025","(Latitude/longitude (coarse accuracy), day/time)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
70.00,"01","Location and identification sequences","301025","(Latitude/longitude (coarse accuracy), day/time)",,"004003","Day","Day",,"Operational"
71.00,"01","Location and identification sequences","301025","(Latitude/longitude (coarse accuracy), day/time)",,"301012","Hour, minute","Time",,"Operational"
