"No","Category","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ElementDescription_en","Note_en","Status"
1.00,"00","CREX table entries sequences","D00002",,,"B00002","Table A: data category description, line 1",,,"Operational"
2.00,"00","CREX table entries sequences","D00002",,,"B00003","Table A: data category description, line 2",,,"Operational"
3.00,"00","CREX table entries sequences","D00003","(F, X, Y of descriptor to be added or defined)",,"B00010","F descriptor to be added or defined",,,"Operational"
4.00,"00","CREX table entries sequences","D00003","(F, X, Y of descriptor to be added or defined)",,"B00011","X descriptor to be added or defined",,,"Operational"
5.00,"00","CREX table entries sequences","D00003","(F, X, Y of descriptor to be added or defined)",,"B00012","Y descriptor to be added or defined",,,"Operational"
6.00,"00","CREX table entries sequences","D00004",,,"D00003","F, X, Y of descriptor to be added or defined",,,"Operational"
7.00,"00","CREX table entries sequences","D00004",,,"B00013","Element name, line 1",,,"Operational"
8.00,"00","CREX table entries sequences","D00004",,,"B00014","Element name, line 2",,,"Operational"
9.00,"00","CREX table entries sequences","D00004",,,"B00015","Units name",,,"Operational"
10.00,"00","CREX table entries sequences","D00004",,,"B00016","Units scale sign",,,"Operational"
11.00,"00","CREX table entries sequences","D00004",,,"B00017","Units scale",,,"Operational"
12.00,"00","CREX table entries sequences","D00004",,,"B00018","Units reference sign",,,"Operational"
13.00,"00","CREX table entries sequences","D00004",,,"B00019","Units reference value",,,"Operational"
14.00,"00","CREX table entries sequences","D00004",,,"B00020","Element data width",,,"Operational"
19.00,"00","CREX table entries sequences","D00010",,,"D00003","F, X, Y of descriptor to be added or defined",,,"Operational"
20.00,"00","CREX table entries sequences","D00010",,,"R01000","Delayed replication of 1 descriptor",,,"Operational"
21.00,"00","CREX table entries sequences","D00010",,,"B00030","Descriptor defining sequence",,,"Operational"
27.00,"00","CREX table entries sequences","D00015","(Code table definition)",,"B00030","Descriptor defining sequence",,,"Operational"
28.00,"00","CREX table entries sequences","D00015","(Code table definition)",,"R02000","Delayed replication of 2 descriptors","Up to 9999 entries",,"Operational"
29.00,"00","CREX table entries sequences","D00015","(Code table definition)",,"B00024","Code figure",,,"Operational"
30.00,"00","CREX table entries sequences","D00015","(Code table definition)",,"B00025","Code figure meaning",,,"Operational"
36.00,"00","CREX table entries sequences","D00016","(Flag table definition)",,"B00030","Descriptor defining sequence",,,"Operational"
37.00,"00","CREX table entries sequences","D00016","(Flag table definition)",,"R02000","Delayed replication of 2 descriptors",,,"Operational"
38.00,"00","CREX table entries sequences","D00016","(Flag table definition)",,"B00026","Bit number",,,"Operational"
39.00,"00","CREX table entries sequences","D00016","(Flag table definition)",,"B00027","Bit number meaning",,,"Operational"
40.00,"01","Location and identification sequences","D01001","(WMO block and station numbers)",,"B01001","WMO block number",,,"Operational"
41.00,"01","Location and identification sequences","D01001","(WMO block and station numbers)",,"B01002","WMO station number",,,"Operational"
42.00,"01","Location and identification sequences","D01002",,,"B01003","WMO Region number/geographical area",,,"Operational"
43.00,"01","Location and identification sequences","D01002",,,"B01004","WMO Region sub-area",,,"Operational"
44.00,"01","Location and identification sequences","D01002",,,"B01005","Buoy/platform identifier",,,"Operational"
45.00,"01","Location and identification sequences","D01003","(Ship's call sign and motion)",,"B01011","Ship or mobile land station identifier","Ship's call sign",,"Operational"
46.00,"01","Location and identification sequences","D01003","(Ship's call sign and motion)",,"B01012","Direction of motion of moving observing platform",,,"Operational"
47.00,"01","Location and identification sequences","D01003","(Ship's call sign and motion)",,"B01013","Speed of motion of moving observing platform",,,"Operational"
48.00,"01","Location and identification sequences","D01004","(Surface station identification)",,"B01001","WMO block number",,,"Operational"
49.00,"01","Location and identification sequences","D01004","(Surface station identification)",,"B01002","WMO station number",,,"Operational"
50.00,"01","Location and identification sequences","D01004","(Surface station identification)",,"B01015","Station or site name",,,"Operational"
51.00,"01","Location and identification sequences","D01004","(Surface station identification)",,"B02001","Type of station",,,"Operational"
52.00,"01","Location and identification sequences","D01005","(Originating centre/sub-centre)",,"B01035","Originating centre",,,"Operational"
53.00,"01","Location and identification sequences","D01005","(Originating centre/sub-centre)",,"B01034","Identification of originating/generating sub-centre",,,"Operational"
54.00,"01","Location and identification sequences","D01011","(Year, month, day)",,"B04001","Year",,,"Operational"
55.00,"01","Location and identification sequences","D01011","(Year, month, day)",,"B04002","Month",,,"Operational"
56.00,"01","Location and identification sequences","D01011","(Year, month, day)",,"B04003","Day",,,"Operational"
57.00,"01","Location and identification sequences","D01012","(Hour, minute)",,"B04004","Hour",,,"Operational"
58.00,"01","Location and identification sequences","D01012","(Hour, minute)",,"B04005","Minute",,,"Operational"
59.00,"01","Location and identification sequences","D01013","(Hour, minute, second)",,"B04004","Hour",,,"Operational"
60.00,"01","Location and identification sequences","D01013","(Hour, minute, second)",,"B04005","Minute",,,"Operational"
61.00,"01","Location and identification sequences","D01013","(Hour, minute, second)",,"B04006","Second",,,"Operational"
62.00,"01","Location and identification sequences","D01014","(Time period)",,"R02002","Replicate 2 descriptors 2 times",,,"Operational"
63.00,"01","Location and identification sequences","D01014","(Time period)",,"D01011","Year, month, day",,,"Operational"
64.00,"01","Location and identification sequences","D01014","(Time period)",,"D01012","Hour, minute",,,"Operational"
65.00,"01","Location and identification sequences","D01018","(Encrypted ship's call sign and encryption method)",,"B01114","Encrypted ship or mobile land station identifier (base64 encoding)","See Notes 2-4",,"Operational"
66.00,"01","Location and identification sequences","D01018","(Encrypted ship's call sign and encryption method)",,"B25185","Encryption method",,,"Operational"
67.00,"01","Location and identification sequences","D01018","(Encrypted ship's call sign and encryption method)",,"B25186","Encryption key version",,,"Operational"
68.00,"01","Location and identification sequences","D01021","(Latitude/longitude (high accuracy))",,"B05001","Latitude (high accuracy)",,,"Operational"
69.00,"01","Location and identification sequences","D01021","(Latitude/longitude (high accuracy))",,"B06001","Longitude (high accuracy)",,,"Operational"
70.00,"01","Location and identification sequences","D01022","(Latitude/longitude (high accuracy), height of station)",,"B05001","Latitude (high accuracy)",,,"Operational"
71.00,"01","Location and identification sequences","D01022","(Latitude/longitude (high accuracy), height of station)",,"B06001","Longitude (high accuracy)",,,"Operational"
72.00,"01","Location and identification sequences","D01022","(Latitude/longitude (high accuracy), height of station)",,"B07001","Height of station",,,"Operational"
73.00,"01","Location and identification sequences","D01023","(Latitude/longitude (coarse accuracy))",,"B05002","Latitude (coarse accuracy)",,,"Operational"
74.00,"01","Location and identification sequences","D01023","(Latitude/longitude (coarse accuracy))",,"B06002","Longitude (coarse accuracy)",,,"Operational"
75.00,"01","Location and identification sequences","D01024","(Latitude/longitude (coarse accuracy), height of station)",,"B05002","Latitude (coarse accuracy)",,,"Operational"
76.00,"01","Location and identification sequences","D01024","(Latitude/longitude (coarse accuracy), height of station)",,"B06002","Longitude (coarse accuracy)",,,"Operational"
77.00,"01","Location and identification sequences","D01024","(Latitude/longitude (coarse accuracy), height of station)",,"B07001","Height of station",,,"Operational"
