Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status,translated_by
bufr4/0/25/004/0,025004,معالجة الصدى,0,غير مترابط,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/004/1,025004,معالجة الصدى,1,متماسك (دوبلر),,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/004/2,025004,معالجة الصدى,2,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/004/3,025004,معالجة الصدى,3,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/005/0,025005,تكامل الصدى,0,لوغاريتم - 2.5 ديسيبل,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/005/1,025005,تكامل الصدى,1,خطي,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/005/2,025005,تكامل الصدى,2,خاص,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/005/3,025005,تكامل الصدى,3,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/006/0,025006,تحويل Z إلى R,0,تحويل Z إلى R,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/006/1,025006,تحويل Z إلى R,1,(ZH، ZDR) إلى (NO، DO) إلى R,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/006/2,025006,تحويل Z إلى R,2,(ز (F1)، ز (F2)) إلى التوهين إلى R,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/006/3-5,025006,تحويل Z إلى R,3-5,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/006/6,025006,تحويل Z إلى R,6,أخرى,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/006/7,025006,تحويل Z إلى R,7,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/009/1,025009,طريقة المعايرة,1,لا شيء,,,,,Deprecated,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/009/2,025009,طريقة المعايرة,2,هدف المعايرة أو الإشارة,,,,,Deprecated,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/009/3,025009,طريقة المعايرة,3,ضد مقاييس المطر,,,,,Deprecated,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/009/4,025009,طريقة المعايرة,4,ضد الأدوات الأخرى (مقياس تساقط المطر - التوهين),,,,,Deprecated,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/009/All-4,025009,طريقة المعايرة,All 4,القيمة المفقودة,,,,,Deprecated,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/010/0,025010,علاج الفوضى,0,لا شيء,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/010/1,025010,علاج الفوضى,1,خريطة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/010/2,025010,علاج الفوضى,2,إدراج بيانات الارتفاع الأعلى والخريطة,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/010/3,025010,علاج الفوضى,3,تحليل إشارة اللوغاريتم المتذبذب (كشف الفوضى),,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/010/4,025010,علاج الفوضى,4,استخراج الجزء المتذبذب من الإشارة الخطية (قمع الفوضى),,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/010/5,025010,علاج الفوضى,5,قمع الفوضى - دوبلر,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/010/6,025010,علاج الفوضى,6,تحليل متعدد المعايير,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/010/7-14,025010,علاج الفوضى,7-14,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/010/15,025010,علاج الفوضى,15,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/011/0,025011,تصحيح الاحتجاب الأرضي (التصفية),0,لا شيء,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/011/1,025011,تصحيح الاحتجاب الأرضي (التصفية),1,خريطة عوامل التصحيح,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/011/2,025011,تصحيح الاحتجاب الأرضي (التصفية),2,الاستيفاء (السمت أو الارتفاع),,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/25/011/3,025011,تصحيح الاحتجاب الأرضي (التصفية),3,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/25/012/0,025012,تصحيح تلاشي النطاق,0,الأجهزة,,,,,Operational,"AI Translator: azure, Glossary Not Used"
