Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status
bufr4/3/18/001/1/301025,18,تسلسلات التقرير الإشعاعي,318001,,,301025,خط العرض/خط الطول (دقة عالية)، الفترة الزمنية (اليوم، الساعة، الدقيقة),,,,Operational
bufr4/3/18/001/2/024011,18,تسلسلات التقرير الإشعاعي,318001,,,024011,جرعة,,,,Operational
bufr4/3/18/003/1/301026,18,تسلسلات التقرير الإشعاعي,318003,,,301026,خط العرض/خط الطول (دقة عالية)، الفترة الزمنية (اليوم، الساعة، الدقيقة),,,,Operational
bufr4/3/18/003/2/024005,18,تسلسلات التقرير الإشعاعي,318003,,,024005,كتلة النظير,,,,Operational
bufr4/3/18/003/3/024004,18,تسلسلات التقرير الإشعاعي,318003,,,024004,اسم العنصر,,,,Operational
bufr4/3/18/003/4/024021,18,تسلسلات التقرير الإشعاعي,318003,,,024021,تركيز الهواء (لنوع النظير المحدد بما في ذلك بيتا الإجمالي),,,,Operational
bufr4/3/18/004/1/301025,18,تسلسلات التقرير الإشعاعي,318004,,,301025,خط العرض/خط الطول (دقة عالية)، الفترة الزمنية (اليوم، الساعة، الدقيقة),,,,Operational
bufr4/3/18/004/2/004023,18,تسلسلات التقرير الإشعاعي,318004,,,004023,فترة زمنية أو إزاحة,,,,Operational
bufr4/3/18/004/3/013011,18,تسلسلات التقرير الإشعاعي,318004,,,013011,إجمالي الهطول/إجمالي مكافئ الماء,,,,Operational
bufr4/3/18/004/4/024005,18,تسلسلات التقرير الإشعاعي,318004,,,024005,كتلة النظير,,,,Operational
bufr4/3/18/004/5/024004,18,تسلسلات التقرير الإشعاعي,318004,,,024004,اسم العنصر,,,,Operational
bufr4/3/18/004/6/024022,18,تسلسلات التقرير الإشعاعي,318004,,,024022,التركيز في الترسيب (لنوع النظير المحدد),,,,Operational
