Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status,translated_by
bufr4/0/22/056/0,022056,اتجاه الملف الشخصي,0,الملف الشخصي التصاعدي,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/056/1,022056,اتجاه الملف الشخصي,1,الملف الشخصي التصاعدي,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/056/2,022056,اتجاه الملف الشخصي,2,أفقي,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/056/3,022056,اتجاه الملف الشخصي,3,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/060/0,022060,حالة شراع عوامة لاغرانجية,0,تم فصل الدروغ.,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/060/1,022060,حالة شراع عوامة لاغرانجية,1,تم فصل الدروغ.,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/060/2,022060,حالة شراع عوامة لاغرانجية,2,حالة الدروغ غير معروفة.,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/060/3-6,022060,حالة شراع عوامة لاغرانجية,3-6,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/060/7,022060,حالة شراع عوامة لاغرانجية,7,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/061/0,022061,حالة البحر,0,هادئ (زجاجي),٠,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/061/1,022061,حالة البحر,1,هادئ (متموج),٠ - ٠٫١,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/061/2,022061,حالة البحر,2,ناعم (المويجات),٠ - ٠٫١,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/061/3,022061,حالة البحر,3,طفيف,٠٫٥٥ - ٠٫٧٥,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/061/4,022061,حالة البحر,4,معتدل,١٫٢٥ - ٢٫٥,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/061/5,022061,حالة البحر,5,خشن,٢٫٥ - ٤,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/061/6,022061,حالة البحر,6,خشن,٤ - ٦,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/061/7,022061,حالة البحر,7,عالٍ,٤ - ٦,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/061/8,022061,حالة البحر,8,عالٍ,٩ - ١٤,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/061/9,022061,حالة البحر,9,رائع,أكثر من ١٤,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/061/10-14,022061,حالة البحر,10-14,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/061/15,022061,حالة البحر,15,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/067,022067,مؤهل قياس درجة الحرارة/الملوحة,,,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/068,022068,أنواع أجهزة تسجيل ملفات درجة حرارة المياه,,,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/120/0,022120,محطة المد والجزر فحص مستوى المياه الآلي,0,بيانات جيدة,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/120/1,022120,محطة المد والجزر فحص مستوى المياه الآلي,1,الحد الأقصى لمستوى المياه,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/22/120/2,022120,محطة المد والجزر فحص مستوى المياه الآلي,2,تجاوز الحد الأدنى (المنخفض) لمستوى المياه.,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/22/120/3,022120,محطة المد والجزر فحص مستوى المياه الآلي,3,تجاوز حد معدل التغير لمستوى المياه.,,,,,Operational,"AI Translator: azure, Glossary Not Used"
