Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status,translated_by
bufr4/3/04/001/1/008003,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304001,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,008003,الأهمية الرأسية (ملاحظات الأقمار الصناعية),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/001/2/010004,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304001,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,010004,ضغط,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/001/3/012001,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304001,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/001/4/011001,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304001,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,011001,اتجاه الرياح,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/001/5/011002,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304001,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,011002,سرعة الرياح,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/002/1/008003,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304002,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,008003,الأهمية الرأسية (ملاحظات الأقمار الصناعية),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/002/2/010004,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304002,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,010004,ضغط,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/002/3/011001,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304002,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,011001,اتجاه الرياح,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/002/4/011002,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304002,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,011002,سرعة الرياح,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/003/1/008003,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304003,درجة حرارة السطح,,008003,الأهمية الرأسية (ملاحظات الأقمار الصناعية),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/003/2/012001,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304003,درجة حرارة السطح,,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/004/1/008003,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304004,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,008003,الأهمية الرأسية (ملاحظات الأقمار الصناعية),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/004/2/010004,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304004,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,010004,ضغط,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/004/3/020010,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304004,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,020010,الغطاء السحابي (الإجمالي),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/04/004/4/012001,04,تسلسلات الأرصاد الجوية الشائعة في الملاحظات الساتلية,304004,(الضغط عند قمة السحابة، درجة الحرارة، الرياح),,012001,درجة الحرارة/درجة حرارة الهواء,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
