Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status
bufr4/0/33/002/0,033002,معلومات الجودة,0,البيانات غير مشبوهة,,,,,Operational
bufr4/0/33/002/1,033002,معلومات الجودة,1,البيانات غير مشبوهة,,,,,Operational
bufr4/0/33/002/2,033002,معلومات الجودة,2,محجوز,,,,,Operational
bufr4/0/33/002/3,033002,معلومات الجودة,3,معلومات الجودة,,,,,Operational
bufr4/0/33/003/0,033003,معلومات الجودة,0,البيانات غير مشبوهة,,,,,Operational
bufr4/0/33/003/1,033003,معلومات الجودة,1,البيانات غير مشبوهة,,,,,Operational
bufr4/0/33/003/2,033003,معلومات الجودة,2,البيانات غير مشبوهة,,,,,Operational
bufr4/0/33/003/3,033003,معلومات الجودة,3,البيانات غير الصالحة للاستخدام,,,,,Operational
bufr4/0/33/003/4-6,033003,معلومات الجودة,4-6,محجوز,,,,,Operational
bufr4/0/33/003/7,033003,معلومات الجودة,7,معلومات الجودة,,,,,Operational
bufr4/0/33/005/1,033005,معلومات الجودة (بيانات AWS),1,لم يتم إجراء فحوصات بيانات الأرصاد الجوية الآلية.,,,,,Operational
bufr4/0/33/005/2,033005,معلومات الجودة (بيانات AWS),2,بيانات الضغط مشبوهة,,,,,Operational
bufr4/0/33/005/3,033005,معلومات الجودة (بيانات AWS),3,بيانات الرياح مشبوهة,,,,,Operational
bufr4/0/33/005/4,033005,معلومات الجودة (بيانات AWS),4,بيانات درجة حرارة الهواء مشبوهة,,,,,Operational
bufr4/0/33/005/5,033005,معلومات الجودة (بيانات AWS),5,درجة حرارة البصلة الرطبة,,,,,Operational
bufr4/0/33/005/6,033005,معلومات الجودة (بيانات AWS),6,ابدأ بفقدان بيانات الرطوبة النسبية,,,,,Operational
bufr4/0/33/005/7,033005,معلومات الجودة (بيانات AWS),7,بيانات درجة حرارة سطح الأرض مشبوهة,,,,,Operational
bufr4/0/33/005/8,033005,معلومات الجودة (بيانات AWS),8,بيانات درجة حرارة التربة (العمق 1) مشبوهة,,,,,Operational
bufr4/0/33/005/9,033005,معلومات الجودة (بيانات AWS),9,بيانات درجة حرارة التربة (العمق 1) مشبوهة,,,,,Operational
bufr4/0/33/005/10,033005,معلومات الجودة (بيانات AWS),10,بيانات درجة حرارة التربة (العمق 1) مشبوهة,,,,,Operational
bufr4/0/33/005/11,033005,معلومات الجودة (بيانات AWS),11,بيانات درجة حرارة التربة (العمق 1) مشبوهة,,,,,Operational
bufr4/0/33/005/12,033005,معلومات الجودة (بيانات AWS),12,بيانات درجة حرارة التربة (العمق 1) مشبوهة,,,,,Operational
bufr4/0/33/005/13,033005,معلومات الجودة (بيانات AWS),13,بيانات السحابة مشبوهة,,,,,Operational
bufr4/0/33/005/14,033005,معلومات الجودة (بيانات AWS),14,بيانات الرؤية مشبوهة,,,,,Operational
bufr4/0/33/005/15,033005,معلومات الجودة (بيانات AWS),15,بيانات الطقس الحالية مشبوهة,,,,,Operational
bufr4/0/33/005/16,033005,معلومات الجودة (بيانات AWS),16,بيانات البرق مشبوهة,,,,,Operational
bufr4/0/33/005/17,033005,معلومات الجودة (بيانات AWS),17,بيانات ترسب الجليد مشبوهة,,,,,Operational
bufr4/0/33/005/18,033005,معلومات الجودة (بيانات AWS),18,بيانات الهطول مشبوهة,,,,,Operational
bufr4/0/33/005/19,033005,معلومات الجودة (بيانات AWS),19,حالة بيانات الأرض مشبوهة,,,,,Operational
bufr4/0/33/005/20,033005,معلومات الجودة (بيانات AWS),20,بيانات الثلج مشبوهة,,,,,Operational
bufr4/0/33/005/21,033005,معلومات الجودة (بيانات AWS),21,بيانات محتوى الماء مشبوهة,,,,,Operational
bufr4/0/33/005/22,033005,معلومات الجودة (بيانات AWS),22,بيانات التبخر/التبخر النتحي مشبوهة,,,,,Operational
bufr4/0/33/005/23,033005,معلومات الجودة (بيانات AWS),23,بيانات أشعة الشمس مشبوهة,,,,,Operational
bufr4/0/33/005/24-29,033005,معلومات الجودة (بيانات AWS),24-29,محجوز,,,,,Operational
bufr4/0/33/005/All-30,033005,معلومات الجودة (بيانات AWS),All 30,القيمة المفقودة,,,,,Operational
bufr4/0/33/006/0,033006,معلومات حالة القياس الداخلي (AWS),0,التحقق الذاتي ناجح,,,,,Operational
bufr4/0/33/006/1,033006,معلومات حالة القياس الداخلي (AWS),1,يوجد تحذير واحد على الأقل نشط، ولا توجد إنذارات.,,,,,Operational
bufr4/0/33/006/2,033006,معلومات حالة القياس الداخلي (AWS),2,يوجد إنذار واحد على الأقل نشط.,,,,,Operational
bufr4/0/33/006/3,033006,معلومات حالة القياس الداخلي (AWS),3,فشل المستشعر,,,,,Operational
bufr4/0/33/006/4-6,033006,معلومات حالة القياس الداخلي (AWS),4-6,محجوز,,,,,Operational
bufr4/0/33/006/7,033006,معلومات حالة القياس الداخلي (AWS),7,القيمة المفقودة,,,,,Operational
bufr4/0/33/015/0,033015,مؤشر فحص جودة البيانات,0,اجتاز جميع الفحوصات,,,,,Operational
bufr4/0/33/015/1,033015,مؤشر فحص جودة البيانات,1,فحص البيانات المفقودة,,,,,Operational
bufr4/0/33/015/2,033015,مؤشر فحص جودة البيانات,2,فحص هبوط/صعود البالون,,,,,Operational
bufr4/0/33/015/3,033015,مؤشر فحص جودة البيانات,3,التحقق من معقولية البيانات (تجاوز الحدود),,,,,Operational
bufr4/0/33/015/4,033015,مؤشر فحص جودة البيانات,4,التحقق من معقولية البيانات (تجاوز الحدود),,,,,Operational
bufr4/0/33/015/5,033015,مؤشر فحص جودة البيانات,5,التحقق من معدل التدرج الفائق الأدبية,,,,,Operational
bufr4/0/33/015/6,033015,مؤشر فحص جودة البيانات,6,فحص زوايا التحديد,,,,,Operational
bufr4/0/33/015/7,033015,مؤشر فحص جودة البيانات,7,التحقق من معدل الصعود,,,,,Operational
bufr4/0/33/015/8,033015,مؤشر فحص جودة البيانات,8,تغيير مفرط عن الرحلة السابقة,,,,,Operational
bufr4/0/33/015/9,033015,مؤشر فحص جودة البيانات,9,فحص البالون العلوي,,,,,Operational
bufr4/0/33/015/10,033015,مؤشر فحص جودة البيانات,10,سرعة الرياح,,,,,Operational
bufr4/0/33/015/11,033015,مؤشر فحص جودة البيانات,11,اتجاه الرياح,,,,,Operational
bufr4/0/33/015/12,033015,مؤشر فحص جودة البيانات,12,التحقق من التبعيات,,,,,Operational
bufr4/0/33/015/13,033015,مؤشر فحص جودة البيانات,13,البيانات صالحة ولكن تم تعديلها,,,,,Operational
bufr4/0/33/015/14,033015,مؤشر فحص جودة البيانات,14,التحقق من القيم الشاذة في البيانات,,,,,Operational
bufr4/0/33/015/15-62,033015,مؤشر فحص جودة البيانات,15-62,محجوز,,,,,Operational
bufr4/0/33/015/63,033015,مؤشر فحص جودة البيانات,63,القيمة المفقودة,,,,,Operational
bufr4/0/33/020/0,033020,إشارة التحكم في جودة القيمة التالية,0,جيد,,,,,Operational
bufr4/0/33/020/1,033020,إشارة التحكم في جودة القيمة التالية,1,غير متسق,,,,,Operational
bufr4/0/33/020/2,033020,إشارة التحكم في جودة القيمة التالية,2,مشبوه,,,,,Operational
bufr4/0/33/020/3,033020,إشارة التحكم في جودة القيمة التالية,3,خطأ,,,,,Operational
bufr4/0/33/020/4,033020,إشارة التحكم في جودة القيمة التالية,4,غير مُراجَع,,,,,Operational
bufr4/0/33/020/5,033020,إشارة التحكم في جودة القيمة التالية,5,تم تغييره,,,,,Operational
bufr4/0/33/020/6,033020,إشارة التحكم في جودة القيمة التالية,6,مقدر,,,,,Operational
bufr4/0/33/020/7,033020,إشارة التحكم في جودة القيمة التالية,7,القيمة المفقودة,,,,,Operational
bufr4/0/33/021/0,033021,جودة القيمة التالية,0,ضمن الحدود,,,,,Operational
bufr4/0/33/021/1,033021,جودة القيمة التالية,1,ضمن الحدود,,,,,Operational
bufr4/0/33/021/2,033021,جودة القيمة التالية,2,محجوز,,,,,Operational
bufr4/0/33/021/3,033021,جودة القيمة التالية,3,القيمة المفقودة,,,,,Operational
bufr4/0/33/022/0,033022,جودة نقل الأقمار الصناعية العائمة,0,جيد (تم استلام عدة تقارير متطابقة).,,,,,Operational
bufr4/0/33/022/1,033022,جودة نقل الأقمار الصناعية العائمة,1,مشكوك فيه (لم يتم استلام أي تقارير متطابقة).,,,,,Operational
bufr4/0/33/022/2,033022,جودة نقل الأقمار الصناعية العائمة,2,محجوز,,,,,Operational
bufr4/0/33/022/3,033022,جودة نقل الأقمار الصناعية العائمة,3,القيمة المفقودة,,,,,Operational
bufr4/0/33/023/0,033023,جودة موقع العوامة,0,موثوق (تم تحديد الموقع عبر مرورين للأقمار الصناعية),,,,,Operational
bufr4/0/33/023/1,033023,جودة موقع العوامة,1,أحدث معرفة (لا يوجد موقع فوق الممر المقابل),,,,,Operational
bufr4/0/33/023/2,033023,جودة موقع العوامة,2,مشكوك فيه (تم تحديد الموقع من خلال مرور واحد فقط؛ يمكن وجود حل ثانٍ في 5 في المائة من الحالات),,,,,Operational
bufr4/0/33/023/3,033023,جودة موقع العوامة,3,القيمة المفقودة,,,,,Operational
bufr4/0/33/024/0,033024,علامة جودة ارتفاع المحطة (للمحطات المتنقلة),0,محجوز,,,,,Operational
bufr4/0/33/024/1,033024,علامة جودة ارتفاع المحطة (للمحطات المتنقلة),1,ممتاز - ضمن 3 أمتار,,,,,Operational
bufr4/0/33/024/2,033024,علامة جودة ارتفاع المحطة (للمحطات المتنقلة),2,ممتاز - ضمن 3 أمتار,,,,,Operational
bufr4/0/33/024/3,033024,علامة جودة ارتفاع المحطة (للمحطات المتنقلة),3,عادل - ضمن 20 مترًا,,,,,Operational
bufr4/0/33/024/4,033024,علامة جودة ارتفاع المحطة (للمحطات المتنقلة),4,ضعيف - أكثر من 20 مترًا,,,,,Operational
bufr4/0/33/024/5,033024,علامة جودة ارتفاع المحطة (للمحطات المتنقلة),5,ممتاز - ضمن 3 أمتار,,,,,Operational
bufr4/0/33/024/6,033024,علامة جودة ارتفاع المحطة (للمحطات المتنقلة),6,ممتاز - ضمن 3 أمتار,,,,,Operational
