Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/00/001,00,مدخلات جدول BUFR/CREX,000001,جدول أ: إدخال,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/002,00,مدخلات جدول BUFR/CREX,000002,الجدول أ: وصف فئة البيانات، السطر 1,CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/00/003,00,مدخلات جدول BUFR/CREX,000003,الجدول أ: وصف فئة البيانات، السطر 2,CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/00/004,00,مدخلات جدول BUFR/CREX,000004,جدول رئيسي BUFR/CREX,CCITT IA5,0,0,16,Character,0,2,"Certainly! Please provide the text you would like me to translate, along with any glossary terms or translation memory examples you'd like me to reference.",98,Operational
bufr4/0/00/005,00,مدخلات جدول BUFR/CREX,000005,رقم إصدار BUFR/CREX,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/006,00,مدخلات جدول BUFR/CREX,000006,رقم إصدار الجدول الرئيسي BUFR,CCITT IA5,0,0,16,Character,0,2,Could you please provide the text you need translated? I'll be happy to assist!,33,Operational
bufr4/0/00/007,00,مدخلات جدول BUFR/CREX,000007,رقم إصدار جدول CREX الرئيسي,CCITT IA5,0,0,16,Character,0,2,"Could you please provide the text you would like me to translate? Additionally, if you have a glossary or translation memory examples, kindly share them so I can ensure accuracy and consistency in the translation.",40,Operational
bufr4/0/00/008,00,مدخلات جدول BUFR/CREX,000008,رقم إصدار الجدول المحلي BUFR,CCITT IA5,0,0,16,Character,0,2,ملاحظة 4,76,Operational
bufr4/0/00/010,00,مدخلات جدول BUFR/CREX,000010,المُعرِّف F ليتم إضافته أو تعريفه,CCITT IA5,0,0,8,Character,0,1,,,Operational
bufr4/0/00/011,00,مدخلات جدول BUFR/CREX,000011,المُعرِّف X ليتم إضافته أو تعريفه,CCITT IA5,0,0,16,Character,0,2,,,Operational
bufr4/0/00/012,00,مدخلات جدول BUFR/CREX,000012,المُعرِّف Y ليتم إضافته أو تعريفه,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/013,00,مدخلات جدول BUFR/CREX,000013,اسم العنصر، السطر 1,CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/00/014,00,مدخلات جدول BUFR/CREX,000014,اسم العنصر، السطر 2,CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/00/015,00,مدخلات جدول BUFR/CREX,000015,اسم الوحدات,CCITT IA5,0,0,192,Character,0,24,,,Operational
bufr4/0/00/016,00,مدخلات جدول BUFR/CREX,000016,علامة مقياس الوحدات,CCITT IA5,0,0,8,Character,0,1,,,Operational
bufr4/0/00/017,00,مدخلات جدول BUFR/CREX,000017,مقياس الوحدات,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/018,00,مدخلات جدول BUFR/CREX,000018,علامة مرجعية الوحدات,CCITT IA5,0,0,8,Character,0,1,,,Operational
bufr4/0/00/019,00,مدخلات جدول BUFR/CREX,000019,قيمة مرجعية للوحدات,CCITT IA5,0,0,80,Character,0,10,,,Operational
bufr4/0/00/020,00,مدخلات جدول BUFR/CREX,000020,عرض بيانات العنصر,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/024,00,مدخلات جدول BUFR/CREX,000024,الرمز الرقمي,CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/00/025,00,مدخلات جدول BUFR/CREX,000025,معنى رمز الشكل,CCITT IA5,0,0,496,Character,0,62,,,Operational
bufr4/0/00/026,00,مدخلات جدول BUFR/CREX,000026,رقم البت,CCITT IA5,0,0,48,Character,0,6,,,Operational
bufr4/0/00/027,00,مدخلات جدول BUFR/CREX,000027,معنى رقم البت,CCITT IA5,0,0,496,Character,0,62,,,Operational
bufr4/0/00/030,00,مدخلات جدول BUFR/CREX,000030,الوصف المحدد لتسلسل,CCITT IA5,0,0,48,Character,0,6,,,Operational
