Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/14/001,14,الإشعاع والتألق,014001,الإشعاع طويل الموجة، مُدمج على مدار 24 ساعة,J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/002,14,الإشعاع والتألق,014002,الإشعاع طويل الموجة، مدمج على الفترة المحددة,J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/003,14,الإشعاع والتألق,014003,الإشعاع قصير الموجة، مدمج على مدار 24 ساعة,J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/004,14,الإشعاع والتألق,014004,الإشعاع قصير الموجة، مدمج على الفترة المحددة,J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/011,14,الإشعاع والتألق,014011,الإشعاع طويل الموجة الصافي، مُدمج على مدار 24 ساعة,J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/012,14,الإشعاع والتألق,014012,الإشعاع طويل الموجة الصافي، مدمج على الفترة المحددة.,J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/013,14,الإشعاع والتألق,014013,الإشعاع قصير الموجة الصافي، مدمج على مدار 24 ساعة,J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/014,14,الإشعاع والتألق,014014,الإشعاع قصير الموجة الصافي، مدمج على الفترة المحددة,J m-2,-3,-65536,17,J m-2,-3,5,,,Operational
bufr4/0/14/015,14,الإشعاع والتألق,014015,الإشعاع الصافي، مدمج على مدار 24 ساعة,J m-2,-4,-16384,15,J m-2,-4,5,,,Operational
bufr4/0/14/016,14,الإشعاع والتألق,014016,الإشعاع الصافي، مدمج على الفترة المحددة,J m-2,-4,-16384,15,J m-2,-4,5,,,Operational
bufr4/0/14/017,14,الإشعاع والتألق,014017,الإشعاع طويل الموجة الفوري,W m-2,0,-512,10,W m-2,0,4,,,Operational
bufr4/0/14/018,14,الإشعاع والسطوع,014018,الإشعاع قصير الموجة اللحظي,W m-2,0,-2048,12,W m-2,0,4,,,Operational
bufr4/0/14/019,14,الإشعاع والتألق,014019,البياض السطحي,%,0,0,7,%,0,3,,,Operational
bufr4/0/14/020,14,الإشعاع والتألق,014020,الإشعاع الشمسي العالمي، مُدمج على مدار 24 ساعة,J m-2,-4,0,15,J m-2,-4,5,,,Operational
bufr4/0/14/021,14,الإشعاع والتألق,014021,الإشعاع الشمسي العالمي، مُدمج على الفترة المحددة,J m-2,-4,0,15,J m-2,-4,5,,,Operational
bufr4/0/14/022,14,الإشعاع والتألق,014022,الإشعاع الشمسي المنتشر، مُدمج على مدار 24 ساعة,J m-2,-4,0,15,J m-2,-4,5,,,Operational
