Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/42/001,42,عناصر علم المحيطات,042001,اتجاه الموجة السائدة للتقسيم الطيفي,deg,0,0,9,deg,0,3,,,Operational
bufr4/0/42/002,42,عناصر علم المحيطات,042002,ارتفاع موجة التضخم الطيفية للجزء الطيفي,m,1,0,9,m,1,3,,,Operational
bufr4/0/42/003,42,عناصر علم المحيطات,042003,طول موجة الانتفاخ السائد لتقسيم الطيف,m,2,100,17,m,2,6,,,Operational
bufr4/0/42/004,42,عناصر علم المحيطات,042004,ثقة الانعكاس لكل قسم من طيف موجات الانتفاخ,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/42/005,42,عناصر علم المحيطات,042005,عامل إزالة الغموض لتقسيم موجة الانتفاخ,Numeric,5,-100000,18,Numeric,5,6,,,Operational
bufr4/0/42/006,42,عناصر علم المحيطات,042006,عمر الموجة,Numeric,2,1,8,Numeric,2,3,,,Operational
bufr4/0/42/007,42,عناصر علم المحيطات,042007,أقصر طول موجي للمحيط على دقة الطيف,m,2,0,16,m,2,5,,,Operational
bufr4/0/42/008,42,عناصر علم المحيطات,042008,عرض الطيف العكسي غير الخطي,m,2,0,16,m,2,5,,,Operational
bufr4/0/42/009,42,عناصر علم المحيطات,042009,مرجع تقسيم الحاوية,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/42/010,42,عناصر علم المحيطات,042010,رقم القسم,Numeric,0,1,4,Numeric,0,2,,,Operational
bufr4/0/42/011,42,عناصر علم المحيطات,042011,معامل a1 لسلسلة فورييه الاتجاهية,Numeric,4,-20000,15,Numeric,4,6,,,Operational
bufr4/0/42/012,42,العناصر المحيطية,042012,معامل b1 في سلسلة فورييه الاتجاهية,Numeric,4,-20000,15,Numeric,4,6,,,Operational
bufr4/0/42/013,42,عناصر علم المحيطات,042013,معامل a2 في سلسلة فورييه الاتجاهية,Numeric,4,-20000,15,Numeric,4,6,,,Operational
bufr4/0/42/014,42,عناصر علم المحيطات,042014,معامل b2 في سلسلة فورييه الاتجاهية,Numeric,4,-20000,15,Numeric,4,6,,,Operational
bufr4/0/42/015,42,عناصر علم المحيطات,042015,التحقق من العامل K,Numeric,2,0,12,Numeric,2,4,,,Operational
bufr4/0/42/016,42,عناصر علم المحيطات,042016,كثافة المياه البحرية المحتملة المرجعية إلى سطح البحر,kg m-3,5,-10000000,24,kg m-3,5,9,,,Operational
bufr4/0/42/017,42,عناصر علم المحيطات,042017,علم جودة طيف موجات الانتفاخ,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/42/018,42,عناصر علم المحيطات,042018,علم الجودة لكل قسم من طيف موجات الانتفاخ,Code table,0,0,4,Code table,0,4,,,Operational
