Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status,translated_by
16,الخصائص العامة,D16001,,,D01011,سنة، شهر، يوم,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16001,,,B04004,ساعة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16001,,,D01023,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16001,,,B01021,معرف الخاصية العامة,,,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16001,,,B02041,طريقة لتقدير التقارير المتعلقة بالخصائص السينوبتية,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16001,,,B19001,الخصائص العامة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16001,,,B10051,الضغط مُقلل إلى متوسط مستوى سطح البحر,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16001,,,B19002,نصف القطر الفعّال للميزة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16001,,,B19003,عتبة سرعة الرياح,15 م ث-1 عادةً,,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16001,,,B19004,نصف القطر الفعّال بالنسبة لسرعات الرياح التي تتجاوز العتبة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B08021,أهمية الوقت,وقت البيانات (التحليل),,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04001,سنة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04002,شهر,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04003,يوم,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04004,ساعة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04005,دقيقة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B01033,تحديد المركز المُنشئ/المُصدر,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B08021,أهمية الوقت,وقت الصلاحية (التوقع),,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04001,سنة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04002,شهر,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04003,يوم,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04004,ساعة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B04005,دقيقة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B07002,الارتفاع أو العلو,مستوى الطيران (قاعدة طبقة الرسم البياني),,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16002,(العنوان),,B07002,الارتفاع أو العلو,مستوى الطيران (قاعدة طبقة الرسم البياني),,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,R09000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,B08011,ميزة أرصادية,قيمة التيار النفاث,,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,B08007,الأهمية البُعدية,قيمة للسطر,,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,R04000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,B05002,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,B06002,خط العرض/خط الطول (دقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,B10002,ارتفاع,أهمية مستوى الطيران,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,B11002,سرعة الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,B08007,الأهمية البُعدية,إلغاء,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16003,التيار النفاث,,B08011,ميزة أرصادية,إلغاء | نهاية الكائن,,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16004,الاضطراب,,R10000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16004,الاضطراب,,B08011,ميزة أرصادية,قيمة الاضطراب,,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16004,الاضطراب,,B08007,الأهمية البُعدية,القيمة للمساحة,,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16004,الاضطراب,,B07002,الارتفاع أو العلو,مستوى الطيران (قاعدة طبقة الرسم البياني),,Operational,"AI Translator: rag_cache, Glossary Not Used"
16,الخصائص العامة,D16004,الاضطراب,,B07002,الارتفاع أو العلو,مستوى الطيران (أعلى الطبقة),,Operational,"AI Translator: azure, Glossary Not Used"
16,الخصائص العامة,D16004,الاضطراب,,R02000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
