Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status
bufr4/3/08/001/1/301033,08,تسلسلات تقارير السطح (البحر),308001,(عوامة/منصة - ثابتة),,301033,(عوامة/منصة - ثابتة),التعريف، النوع، التاريخ/الوقت، الموقع (دقة عالية),,,Operational
bufr4/3/08/001/2/302011,08,تسلسلات تقارير السطح (البحر),308001,(عوامة/منصة - ثابتة),,302011,محطة منخفضة الارتفاع,تقرير سطح أساسي,,,Operational
bufr4/3/08/001/3/022042,08,تسلسلات تقارير السطح (البحر),308001,(عوامة/منصة - ثابتة),,022042,درجة حرارة سطح البحر,,,,Operational
bufr4/3/08/002/1/301034,08,تسلسلات تقارير السطح (البحر),308002,(عوامة/منصة - ثابتة),,301034,(عوامة/منصة - ثابتة),التعريف، النوع، التاريخ/الوقت، الموقع (دقة عالية),,,Operational
bufr4/3/08/002/2/302011,08,تسلسلات تقارير السطح (البحر),308002,(عوامة/منصة - ثابتة),,302011,محطة منخفضة الارتفاع,تقرير سطح أساسي,,,Operational
bufr4/3/08/002/3/022042,08,تسلسلات تقارير السطح (البحر),308002,(عوامة/منصة - ثابتة),,022042,درجة حرارة سطح البحر,,,,Operational
bufr4/3/08/003/1/301035,08,تسلسلات تقارير السطح (البحر),308003,(عوامة/منصة - متحركة) (انظر الملاحظة 1),,301035,(عوامة/منصة - متحركة) (انظر الملاحظة 1),التعريف، النوع، التاريخ/الوقت، الموقع (دقة عالية),(انظر الملاحظة 3),13,Operational
bufr4/3/08/003/2/302011,08,تسلسلات تقارير السطح (البحر),308003,(عوامة/منصة - متحركة) (انظر الملاحظة 1),,302011,محطة منخفضة الارتفاع,تقرير سطح أساسي,(انظر الملاحظة 3),13,Operational
bufr4/3/08/003/3/022042,08,تسلسلات تقارير السطح (البحر),308003,(عوامة/منصة - متحركة) (انظر الملاحظة 1),,022042,درجة حرارة سطح البحر,,(انظر الملاحظة 3),13,Operational
bufr4/3/08/004/1/301036,08,تسلسلات تقارير السطح (البحر),308004,سفينة,,301036,سفينة,التعريف، النوع، التاريخ/الوقت، الموقع (دقة عالية),,,Operational
bufr4/3/08/004/2/302011,08,تسلسلات تقارير السطح (البحر),308004,سفينة,,302011,محطة منخفضة الارتفاع,تقرير سطح أساسي,,,Operational
bufr4/3/08/004/3/022042,08,تسلسلات تقارير السطح (البحر),308004,سفينة,,022042,درجة حرارة سطح البحر,,,,Operational
bufr4/3/08/005/1/308004,08,تسلسلات تقارير السطح (البحر),308005,,,308004,سفينة,تقرير السفينة الأساسي,,,Operational
bufr4/3/08/005/2/302024,08,تسلسلات تقارير السطح (البحر),308005,,,302024,الرياح وأمواج الانتفاخ,,,,Operational
bufr4/3/08/006/1/010004,08,تسلسلات تقارير السطح (البحر),308006,(قسم العوامة 1 المعلمات الاختيارية),,010004,ضغط,,,,Operational
bufr4/3/08/006/2/010061,08,تسلسلات تقارير السطح (البحر),308006,(قسم العوامة 1 المعلمات الاختيارية),,010061,تغير الضغط لمدة 3 ساعات,,,,Operational
bufr4/3/08/006/3/010063,08,تسلسلات تقارير السطح (البحر),308006,(قسم العوامة 1 المعلمات الاختيارية),,010063,خاصية اتجاه الضغط,,,,Operational
bufr4/3/08/006/4/011001,08,تسلسلات تقارير السطح (البحر),308006,(قسم العوامة 1 المعلمات الاختيارية),,011001,اتجاه الرياح,,,,Operational
bufr4/3/08/006/5/011002,08,تسلسلات تقارير السطح (البحر),308006,(قسم العوامة 1 المعلمات الاختيارية),,011002,سرعة الرياح,,,,Operational
bufr4/3/08/006/6/012004,08,تسلسلات تقارير السطح (البحر),308006,(قسم العوامة 1 المعلمات الاختيارية),,012004,درجة حرارة الهواء على ارتفاع 2 متر,,,,Operational
bufr4/3/08/006/7/013003,08,تسلسلات تقارير السطح (البحر),308006,(قسم العوامة 1 المعلمات الاختيارية),,013003,الرطوبة النسبية,,,,Operational
bufr4/3/08/006/8/022042,08,تسلسلات تقارير السطح (البحر),308006,(قسم العوامة 1 المعلمات الاختيارية),,022042,درجة حرارة سطح البحر,,,,Operational
bufr4/3/08/007/1/301055,08,تسلسلات تقارير السطح (البحر),308007,,,301055,التعريف ونوع المحطة، التاريخ/الوقت، الموقع (دقة عالية)، الحركة,,,,Operational
bufr4/3/08/007/2/302011,08,تسلسلات تقارير السطح (البحر),308007,,,302011,محطة منخفضة الارتفاع,تقرير سطح أساسي,,,Operational
bufr4/3/08/007/3/007062,08,تسلسلات تقارير السطح (البحر),308007,,,007062,العمق تحت سطح البحر/المياه,,,,Operational
bufr4/3/08/007/4/022042,08,تسلسلات تقارير السطح (البحر),308007,,,022042,درجة حرارة سطح البحر,,,,Operational
