Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/10/001,10,الموقع غير التناسقي (عمودي),010001,ارتفاع سطح الأرض,m,0,-400,15,m,0,5,,,Operational
bufr4/0/10/002,10,الموقع غير المنسق (عمودي),010002,ارتفاع,m,-1,-40,16,m,-1,5,,,Operational
bufr4/0/10/003,10,الموقع غير المنسق (عمودي),010003,الجيوبوتنشال,m2 s-2,-1,-400,17,m2 s-2,-1,6,,,Operational
bufr4/0/10/004,10,الموقع غير المنسق (عمودي),010004,ضغط,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/007,10,الموقع غير المنسق (عمودي),010007,ارتفاع,m,0,-1000,17,m,0,6,,,Operational
bufr4/0/10/008,10,الموقع غير المنسق (عمودي),010008,الجيوبوتنشال,m2 s-2,0,-10000,20,m2 s-2,0,7,,,Operational
bufr4/0/10/009,10,الموقع غير المنسق (عمودي),010009,الارتفاع الجيوإمكاناتي,gpm,0,-1000,17,gpm,0,5,,,Operational
bufr4/0/10/010,10,الموقع غير المنسق (عمودي),010010,تم تخفيض الضغط الأدنى إلى مستوى سطح البحر المتوسط,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/011,10,الموقع غير المنسق (عمودي),010011,تم تخفيض الضغط الأقصى إلى مستوى سطح البحر.,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/031,10,الموقع غير المنسق (عمودي),010031,في اتجاه القطب الشمالي، المسافة من مركز الأرض,m,2,-1073741824,31,m,2,10,ملاحظات 2 و 3,"93,150",Operational
bufr4/0/10/032,10,الموقع غير المنسق (عمودي),010032,المسافة بين القمر الصناعي ومركز الأرض,m,1,0,27,m,2,9,,,Operational
