Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status,translated_by
bufr4/3/10/001/1/301042,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310001,(القناة الفضائية ودرجة حرارة السطوع),,301042,(معرف القمر الصناعي، الأداة، تقنية معالجة البيانات، التاريخ/الوقت),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/001/2/303031,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310001,(القناة الفضائية ودرجة حرارة السطوع),,303031,بيانات الأهمية، البر/البحر، درجة حرارة سطح الجلد,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/001/3/303032,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310001,(القناة الفضائية ودرجة حرارة السطوع),,303032,السحابة العالية,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/001/4/101026,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310001,(القناة الفضائية ودرجة حرارة السطوع),,101026,كرر 5 أوصاف مرتين,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/001/5/303025,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310001,(القناة الفضائية ودرجة حرارة السطوع),,303025,(القناة الفضائية ودرجة حرارة السطوع),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/002/1/301042,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310002,(قمر صناعي - مستوى منخفض),,301042,(معرف القمر الصناعي، الأداة، تقنية معالجة البيانات، التاريخ/الوقت),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/002/2/303031,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310002,(قمر صناعي - مستوى منخفض),,303031,بيانات الأهمية، البر/البحر، درجة حرارة سطح الجلد,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/002/3/303032,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310002,(قمر صناعي - مستوى منخفض),,303032,السحابة العالية,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/002/4/101009,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310002,(قمر صناعي - مستوى منخفض),,101009,كرر 5 أوصاف مرتين,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/002/5/303023,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310002,(قمر صناعي - مستوى منخفض),,303023,درجة الحرارة المتوسطة للطبقة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/003/1/301042,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310003,(قمر صناعي - مستوى منخفض),,301042,(معرف القمر الصناعي، الأداة، تقنية معالجة البيانات، التاريخ/الوقت),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/10/003/2/303031,10,تسلسلات السبر الرأسي (بيانات الأقمار الصناعية) (لا تُستخدم في CREX للإرسال),310003,(قمر صناعي - مستوى منخفض),,303031,بيانات الأهمية، البر/البحر، درجة حرارة سطح الجلد,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
