Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status,translated_by
bufr4/3/09/001/1/301037,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309001,الرياح عند الارتفاع,,301037,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/001/2/101000,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309001,الرياح عند الارتفاع,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/001/3/031001,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309001,الرياح عند الارتفاع,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/001/4/303011,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309001,الرياح عند الارتفاع,,303011,الرياح عند الارتفاع,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/002/1/301038,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309002,الرياح عند الارتفاع,,301038,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/002/2/101000,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309002,الرياح عند الارتفاع,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/002/3/031001,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309002,الرياح عند الارتفاع,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/002/4/303011,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309002,الرياح عند الارتفاع,,303011,الرياح عند الارتفاع,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/003/1/301037,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309003,الرياح عند الارتفاع,,301037,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/003/2/101000,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309003,الرياح عند الارتفاع,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/003/3/031001,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309003,الرياح عند الارتفاع,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/003/4/303012,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309003,الرياح عند الارتفاع,,303012,الرياح عند مستوى الضغط,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/004/1/301038,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309004,الرياح عند الارتفاع,,301038,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/004/2/101000,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309004,الرياح عند الارتفاع,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/004/3/031001,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309004,الرياح عند الارتفاع,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/004/4/303012,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309004,الرياح عند الارتفاع,,303012,الرياح عند مستوى الضغط,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/005/1/301037,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309005,الرصد الرأسي مع الرطوبة النسبية,,301037,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/005/2/302004,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309005,الرصد الرأسي مع الرطوبة النسبية,,302004,معلومات عامة عن السحابة,طبقة السحابة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/005/3/101000,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309005,الرصد الرأسي مع الرطوبة النسبية,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/005/4/031001,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309005,الرصد الرأسي مع الرطوبة النسبية,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/005/5/303013,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309005,الرصد الرأسي مع الرطوبة النسبية,,303013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/006/1/301038,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309006,الرصد الرأسي مع الرطوبة النسبية,,301038,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/006/2/302004,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309006,الرصد الرأسي مع الرطوبة النسبية,,302004,معلومات عامة عن السحابة,طبقة السحابة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/006/3/101000,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309006,الرصد الرأسي مع الرطوبة النسبية,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/006/4/031001,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309006,الرصد الرأسي مع الرطوبة النسبية,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/006/5/303013,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309006,الرصد الرأسي مع الرطوبة النسبية,,303013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/007/1/301037,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309007,الرصد الرأسي مع بيانات نقطة الندى,,301037,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/007/2/302004,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309007,الرصد الرأسي مع بيانات نقطة الندى,,302004,معلومات عامة عن السحابة,طبقة السحابة,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/007/3/101000,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309007,الرصد الرأسي مع بيانات نقطة الندى,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/007/4/031001,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309007,الرصد الرأسي مع بيانات نقطة الندى,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/007/5/303014,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309007,الرصد الرأسي مع بيانات نقطة الندى,,303014,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/09/008/1/301038,09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,309008,الرصد الرأسي مع بيانات نقطة الندى,,301038,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
