Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status,translated_by
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09001,الرياح عند الارتفاع,,D01037,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,Operational,"AI Translator: azure, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09001,الرياح عند الارتفاع,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09001,الرياح عند الارتفاع,,D03011,الرياح عند الارتفاع,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09002,الرياح عند الارتفاع,,D01038,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09002,الرياح عند الارتفاع,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09002,الرياح عند الارتفاع,,D03011,الرياح عند الارتفاع,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09003,الرياح عند الارتفاع,,D01037,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09003,الرياح عند الارتفاع,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09003,الرياح عند الارتفاع,,D03012,الرياح عند مستوى الضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09004,الرياح عند الارتفاع,,D01038,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09004,الرياح عند الارتفاع,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09004,الرياح عند الارتفاع,,D03012,الرياح عند مستوى الضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09005,الرصد الرأسي مع الرطوبة النسبية,,D01037,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09005,الرصد الرأسي مع الرطوبة النسبية,,D02004,معلومات عامة عن السحابة,طبقة السحابة,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09005,الرصد الرأسي مع الرطوبة النسبية,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09005,الرصد الرأسي مع الرطوبة النسبية,,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09006,الرصد الرأسي مع الرطوبة النسبية,,D01038,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09006,الرصد الرأسي مع الرطوبة النسبية,,D02004,معلومات عامة عن السحابة,طبقة السحابة,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09006,الرصد الرأسي مع الرطوبة النسبية,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09006,الرصد الرأسي مع الرطوبة النسبية,,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09007,الرصد الرأسي مع بيانات نقطة الندى,,D01037,محطة أرضية للرصد الصوتي العمودي,التعريف، إلخ. (محطة أرضية، موقع بدقة عالية),,Operational,"AI Translator: rag_cache, Glossary Not Used"
09,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D09007,الرصد الرأسي مع بيانات نقطة الندى,,D02004,معلومات عامة عن السحابة,طبقة السحابة,,Operational,"AI Translator: rag_cache, Glossary Not Used"
