Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status,translated_by
bufr4/0/40/005/1,040005,علم تصحيح رطوبة التربة,1,رطوبة التربة بين -20% و 0%,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/005/2,040005,علم تصحيح رطوبة التربة,2,رطوبة التربة بين -20% و 0%,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/005/3,040005,علم تصحيح رطوبة التربة,3,تصحيح مرجع الارتداد الخلفي الرطب,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/005/4,040005,علم تصحيح رطوبة التربة,4,تصحيح مرجع الارتداد الخلفي الرطب,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/005/5,040005,علم تصحيح رطوبة التربة,5,تصحيح تشتت الحجم في الرمال,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/005/6-7,040005,علم تصحيح رطوبة التربة,6-7,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/005/All-8,040005,علم تصحيح رطوبة التربة,All 8,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/006/1,040006,علم تصحيح رطوبة التربة,1,ليس تربة,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/006/2,040006,علم تصحيح رطوبة التربة,2,الحساسية تجاه رطوبة التربة أقل من الحد,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/006/3,040006,علم تصحيح رطوبة التربة,3,ضوضاء السمت فوق الحد,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/006/4,040006,علم تصحيح رطوبة التربة,4,الخلفية الأمامية للشعاع خارج النطاق,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/006/5,040006,علم تصحيح رطوبة التربة,5,الشعاع الأوسط الأمامي خارج النطاق,,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/006/6,040006,علم تصحيح رطوبة التربة,6,الشعاع الأوسط الأمامي خارج النطاق,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/006/7,040006,علم تصحيح رطوبة التربة,7,رطوبة التربة بين -20% و 0%,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/006/8,040006,علم تصحيح رطوبة التربة,8,رطوبة التربة بين -20% و 0%,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/006/9-15,040006,علم تصحيح رطوبة التربة,9-15,محجوز,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/006/All-16,040006,علم تصحيح رطوبة التربة,All 16,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/40/011/1,040011,علمية الاستيفاء,1,علمية استيفاء متوسط سطح البحر (MSS),,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/011/2,040011,علمية الاستيفاء,2,علمية المد والجزر المحيطية 1 علامة الاستيفاء (0 = 4 نقاط فوق المحيط، 1 = أقل من 4 نقاط),,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/0/40/011/3,040011,علمية الاستيفاء,3,علمية المد والجزر المحيطية 1 علامة الاستيفاء (0 = 4 نقاط فوق المحيط، 1 = أقل من 4 نقاط),,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
