Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/20/001,20,الظواهر المُلاحظة,020001,الرؤية الأفقية,m,-1,0,13,m,-1,4,,,Operational
bufr4/0/20/002,20,الظواهر المُلاحظة,020002,الرؤية العمودية,m,-1,0,7,m,-1,3,,,Operational
bufr4/0/20/003,20,الظواهر المُلاحظة,020003,الطقس الحالي,Code table,0,0,9,Code table,0,3,"Of course! Please provide the text you would like me to translate, along with any glossary terms or translation memory examples you'd like me to follow.",172,Operational
bufr4/0/20/004,20,الظواهر المرصودة,020004,الطقس السابق (1),Code table,0,0,5,Code table,0,2,"Certainly! Please provide the text you would like me to translate, along with the glossary terms and translation memory examples if applicable.",171,Operational
bufr4/0/20/005,20,الظواهر المُلاحظة,020005,الطقس السابق (2),Code table,0,0,5,Code table,0,2,"Of course! Please provide the text you would like me to translate, along with any glossary terms or translation memory examples you'd like me to follow.",171,Operational
bufr4/0/20/006,20,الظواهر المُلاحظة,020006,قواعد الطيران,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/20/008,20,الظواهر المرصودة,020008,توزيع السحابة لصناعة الطيران,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/20/009,20,الظواهر المُلاحظة,020009,مؤشر الطقس العام (TAF/METAR),Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/010,20,الظواهر المُلاحظة,020010,الغطاء السحابي (الإجمالي),%,0,0,7,%,0,3,(راجع الملاحظة 5),20,Operational
bufr4/0/20/011,20,الظواهر الملاحظة,020011,كمية السحب,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/012,20,الظواهر المُلاحظة,020012,نوع السحابة,Code table,0,0,6,Code table,0,2,,,Operational
bufr4/0/20/013,20,الظواهر المُلاحظة,020013,ارتفاع قاعدة السحابة,m,-1,-40,11,m,-1,4,(انظر الملاحظة 6),170,Operational
bufr4/0/20/014,20,الظواهر المُلاحظة,020014,ارتفاع قمة السحابة,m,-1,-40,11,m,-1,4,,,Operational
bufr4/0/20/015,20,الظواهر المُلاحظة,020015,الضغط عند قاعدة السحابة,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/20/016,20,الظواهر المُلاحَظة,020016,الضغط عند قمة السحابة,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/20/017,20,الظواهر المُلاحظة,020017,وصف قمة السحابة,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/018,20,الظواهر المُلاحظة,020018,ميل مدى الرؤية على المدرج,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/20/019,20,الظواهر المُلاحظة,020019,الطقس الحالي أو المتوقع الهام,CCITT IA5,0,0,72,Character,0,9,(راجع الملاحظة 15),118,Operational
bufr4/0/20/020,20,الظواهر المُلاحظة,020020,الظواهر الجوية الهامة الأخيرة,CCITT IA5,0,0,32,Character,0,4,(انظر الملاحظة 15),118,Operational
bufr4/0/20/021,20,الظواهر الملحوظة,020021,نوع الهطول,Flag table,0,0,30,Flag table,0,10,,,Operational
bufr4/0/20/022,20,الظواهر المرصودة,020022,طبيعة الهطول,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/023,20,الظواهر المُلاحظة,020023,ظواهر الطقس الأخرى,Flag table,0,0,18,Flag table,0,6,,,Operational
bufr4/0/20/024,20,الظواهر الملاحظة,020024,شدة الظواهر,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/20/025,20,الظواهر المرصودة,020025,"The translation of the term ""Obscuration"" depends on the context in which it is used. Could you please provide more details or specify the glossary terms and translation memory examples you mentioned? This will help ensure the translation aligns with your requirements.",Flag table,0,0,21,Flag table,0,7,,,Operational
bufr4/0/20/026,20,الظواهر المُلاحظة,020026,طابع التعتيم,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/027,20,الظواهر المُلاحظة,020027,ظهور الظواهر,Flag table,0,0,9,Flag table,0,3,,,Operational
bufr4/0/20/028,20,الظواهر المُلاحظة,020028,التغير المتوقع في الشدة,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/20/029,20,الظواهر الملاحظة,020029,علم المطر,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/20/031,20,الظواهر المُلاحظة,020031,ترسب الجليد (السُمك),m,2,0,7,m,2,3,,,Operational
bufr4/0/20/032,20,الظواهر المُلاحظة,020032,معدل تراكم الجليد (تقديري),Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/20/033,20,الظواهر المرصودة,020033,سبب تكون الجليد,Flag table,0,0,4,Flag table,0,2,,,Operational
bufr4/0/20/034,20,الظواهر المُلاحظة,020034,تركيز الجليد البحري,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/20/035,20,الظواهر المُلاحظة,020035,كمية ونوع الثلج,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/036,20,الظواهر الملاحظة,020036,وضع الجليد,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/20/037,20,الظواهر المُلاحظة,020037,تطوير الجليد,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/20/038,20,الظواهر المُلاحظة,020038,حافة الجليد,degree true,0,0,12,degree true,0,3,Could you please provide the text you would like me to translate?,135,Operational
bufr4/0/20/039,20,الظواهر الملاحظة,020039,المسافة الجليدية,m,-1,0,13,m,-1,4,,,Operational
bufr4/0/20/040,20,الظواهر المُلاحظة,020040,تطور الثلج المنجرف,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/041,20,الظواهر المُلاحظة,020041,تكوّن الجليد على هيكل الطائرة,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/042,20,الظواهر المُلاحظة,020042,تجمّد الهيكل الخارجي موجود.,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/20/043,20,الظواهر المُلاحظة,020043,ذروة محتوى الماء السائل,kg m-3,4,0,7,kg m-3,4,2,,,Operational
bufr4/0/20/044,20,الظواهر المُلاحظة,020044,متوسط محتوى الماء السائل,kg m-3,4,0,7,kg m-3,4,2,,,Operational
bufr4/0/20/045,20,الظواهر المُلاحظة,020045,ظروف قطرات كبيرة فائقة التبريد (SLD),Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/20/048,20,الظواهر المُلاحظة,020048,تطور الميزة,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/20/050,20,الظواهر المُلاحظة,020050,مؤشر السحابة,Code table,0,0,8,Code table,0,3,,,Operational
bufr4/0/20/051,20,الظواهر المُلاحظة,020051,كمية السحب المنخفضة,%,0,0,7,%,0,3,,,Operational
bufr4/0/20/052,20,الظواهر المُلاحظة,020052,كمية السحب المتوسطة,%,0,0,7,%,0,3,,,Operational
bufr4/0/20/053,20,الظواهر المُلاحظة,020053,كمية السحب العالية,%,0,0,7,%,0,3,,,Operational
bufr4/0/20/054,20,الظواهر المرصودة,020054,الاتجاه الحقيقي الذي تتحرك منه الظاهرة أو السحب أو يتم ملاحظتها فيه.,degree true,0,0,9,degree true,0,3,(راجع الملاحظة 17),159,Operational
bufr4/0/20/055,20,الظواهر المُلاحظة,020055,حالة السماء في المناطق المدارية,Code table,0,0,4,Code table,0,2,,,Operational
