Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/23/001,23,التشتت والنقل,023001,الإخطار المبكر عن الحوادث - المادة قابلة للتطبيق,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/23/002,23,التشتت والنقل,023002,النشاط أو المنشأة المشاركة في الحادث,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/23/003,23,التشتت والنقل,023003,نوع الإصدار,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/23/004,23,التشتت والنقل,023004,الإجراءات المضادة المتخذة بالقرب من الحدود,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/23/005,23,التشتت والنقل,023005,سبب الحادث,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/23/006,23,التشتت والنقل,023006,وضع الحادث,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/23/007,23,التشتت والنقل,023007,خصائص الإصدار,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/23/008,23,التشتت والنقل,023008,حالة الإصدار الحالي,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/23/009,23,التشتت والنقل,023009,حالة الإصدار المتوقع,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/23/016,23,التشتت والنقل,023016,إمكانية تأثير صحي سام كيميائي كبير,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/23/017,23,التشتت والنقل,023017,تصريف التدفق للمستلم الرئيسي,m3/s,6,0,20,m3/s,6,7,,,Operational
bufr4/0/23/018,23,التشتت والنقل,023018,سلوك الإصدار على مدار الوقت,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/23/019,23,التشتت والنقل,023019,الارتفاع الفعلي للإطلاق,m,0,-15000,17,m,0,6,,,Operational
bufr4/0/23/021,23,التشتت والنقل,023021,ارتفاع الإطلاق الفعّال,m,0,-15000,17,m,0,6,,,Operational
bufr4/0/23/022,23,التشتت والنقل,023022,مسافة نقطة الإطلاق أو موقع الحادث,m,0,0,24,m,0,8,,,Operational
bufr4/0/23/023,23,التشتت والنقل,023023,السرعة الرئيسية للنقل في الغلاف الجوي,m/s,1,0,12,m/s,1,4,,,Operational
bufr4/0/23/024,23,التشتت والنقل,023024,السرعة الرئيسية للنقل في الماء,m/s,2,0,13,m/s,2,4,,,Operational
bufr4/0/23/025,23,التشتت والنقل,023025,السرعة الرئيسية للنقل في المياه الجوفية,m/s,2,0,13,m/s,2,4,,,Operational
bufr4/0/23/027,23,التشتت والنقل,023027,الاتجاه الرئيسي للنقل في الغلاف الجوي,degree true,0,0,9,degree true,0,3,,,Operational
bufr4/0/23/028,23,التشتت والنقل,023028,الاتجاه الرئيسي للنقل في المياه,degree true,0,0,9,degree true,0,3,,,Operational
bufr4/0/23/029,23,التشتت والنقل,023029,الاتجاه الرئيسي للنقل في المياه الجوفية,degree true,0,0,9,degree true,0,3,,,Operational
bufr4/0/23/031,23,التشتت والنقل,023031,احتمالية أن يواجه العمود الهطول في الولاية التي وقع فيها الحادث.,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/23/032,23,التشتت والنقل,023032,سوف تواجه Plume تغيّرًا في اتجاه الرياح و/أو سرعة العلم.,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/23/040,23,التشتت والنقل,023040,تصريف التدفق - نهر,m3/s,1,0,22,m3/s,1,7,,,Operational
bufr4/0/23/041,23,التشتت والنقل,023041,تصريف التدفق - البئر,m3/s,3,0,16,m3/s,3,5,,,Operational
