Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status,translated_by
bufr4/3/06/001/1/002032,06,تسلسلات تقارير علم المحيطات,306001,العمق، درجة الحرارة,,002032,مؤشر الرقمنة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/001/2/102000,06,تسلسلات تقارير علم المحيطات,306001,العمق، درجة الحرارة,,102000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/001/3/031001,06,تسلسلات تقارير علم المحيطات,306001,العمق، درجة الحرارة,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/001/4/007062,06,تسلسلات تقارير علم المحيطات,306001,العمق، درجة الحرارة,,007062,العمق تحت سطح البحر/المياه,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/001/5/022042,06,تسلسلات تقارير علم المحيطات,306001,العمق، درجة الحرارة,,022042,درجة حرارة سطح البحر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/002/1/002031,06,تسلسلات تقارير علم المحيطات,306002,(الحالي),,002031,مدة ووقت القياس الحالي,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/002/2/022004,06,تسلسلات تقارير علم المحيطات,306002,(الحالي),,022004,اتجاه التيار,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/06/002/3/022031,06,تسلسلات تقارير علم المحيطات,306002,(الحالي),,022031,سرعة التيار,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/06/003/1/002002,06,تسلسلات تقارير علم المحيطات,306003,(الرياح السطحية ودرجة الحرارة),,002002,نوع الأجهزة لقياس الرياح,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/003/2/011011,06,تسلسلات تقارير علم المحيطات,306003,(الرياح السطحية ودرجة الحرارة),,011011,اتجاه الرياح النموذجي على ارتفاع 10 أمتار,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/003/3/011012,06,تسلسلات تقارير علم المحيطات,306003,(الرياح السطحية ودرجة الحرارة),,011012,سرعة الرياح,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/003/4/012004,06,تسلسلات تقارير علم المحيطات,306003,(الرياح السطحية ودرجة الحرارة),,012004,درجة حرارة الهواء على ارتفاع 2 متر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/004/1/002032,06,تسلسلات تقارير علم المحيطات,306004,العمق، درجة الحرارة، الملوحة,,002032,مؤشر الرقمنة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/004/2/002033,06,تسلسلات تقارير علم المحيطات,306004,العمق، درجة الحرارة، الملوحة,,002033,طريقة قياس الملوحة/العمق,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/004/3/103000,06,تسلسلات تقارير علم المحيطات,306004,العمق، درجة الحرارة، الملوحة,,103000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/004/4/031001,06,تسلسلات تقارير علم المحيطات,306004,العمق، درجة الحرارة، الملوحة,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/004/5/007062,06,تسلسلات تقارير علم المحيطات,306004,العمق، درجة الحرارة، الملوحة,,007062,العمق تحت سطح البحر/المياه,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/004/6/022043,06,تسلسلات تقارير علم المحيطات,306004,العمق، درجة الحرارة، الملوحة,,022043,درجة حرارة سطح البحر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/004/7/022062,06,تسلسلات تقارير علم المحيطات,306004,العمق، درجة الحرارة، الملوحة,,022062,الملوحة عند مستوى,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/005/1/002031,06,تسلسلات تقارير علم المحيطات,306005,,,002031,مدة ووقت القياس الحالي,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/005/2/103000,06,تسلسلات تقارير علم المحيطات,306005,,,103000,تكرار متأخر لـ 6 أوصاف,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/005/3/031001,06,تسلسلات تقارير علم المحيطات,306005,,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/005/4/007062,06,تسلسلات تقارير علم المحيطات,306005,,,007062,العمق تحت سطح البحر/المياه,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/005/5/022004,06,تسلسلات تقارير علم المحيطات,306005,,,022004,اتجاه التيار,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/005/6/022031,06,تسلسلات تقارير علم المحيطات,306005,,,022031,سرعة التيار,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/006/1/306003,06,تسلسلات تقارير علم المحيطات,306006,(معلمات قياس الأعماق تحت الماء (اختياري)),,306003,(الرياح السطحية ودرجة الحرارة),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/006/2/306002,06,تسلسلات تقارير علم المحيطات,306006,(معلمات قياس الأعماق تحت الماء (اختياري)),,306002,(الحالي),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/06/006/3/022063,06,تسلسلات تقارير علم المحيطات,306006,(معلمات قياس الأعماق تحت الماء (اختياري)),,022063,إجمالي عمق المياه,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
