Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status
bufr4/3/07/001/1/301031,07,تسلسلات تقارير السطح (البحر),307001,محطة منخفضة الارتفاع,,301031,التعريف ونوع المحطة، التاريخ/الوقت، الموقع (دقة عالية)، الحركة,,,,Operational
bufr4/3/07/001/2/302011,07,تسلسلات تقارير السطح (البحر),307001,محطة منخفضة الارتفاع,,302011,محطة منخفضة الارتفاع,تقرير سطح أساسي,,,Operational
bufr4/3/07/002/1/301032,07,تسلسلات تقارير السطح (البحر),307002,محطة منخفضة الارتفاع,,301032,التعريف ونوع المحطة، التاريخ/الوقت، الموقع (دقة عالية)، الحركة,,,,Operational
bufr4/3/07/002/2/302011,07,تسلسلات تقارير السطح (البحر),307002,محطة منخفضة الارتفاع,,302011,محطة منخفضة الارتفاع,تقرير سطح أساسي,,,Operational
bufr4/3/07/003/1/307001,07,تسلسلات تقارير السطح (البحر),307003,محطة منخفضة الارتفاع,,307001,محطة منخفضة الارتفاع,الموقع (دقة عالية) وتقرير أساسي,,,Operational
bufr4/3/07/003/2/101000,07,تسلسلات تقارير السطح (البحر),307003,محطة منخفضة الارتفاع,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational
bufr4/3/07/003/3/031001,07,تسلسلات تقارير السطح (البحر),307003,محطة منخفضة الارتفاع,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational
bufr4/3/07/003/4/302005,07,تسلسلات تقارير السطح (البحر),307003,محطة منخفضة الارتفاع,,302005,طبقة السحابة,,,,Operational
bufr4/3/07/004/1/307002,07,تسلسلات تقارير السطح (البحر),307004,محطة منخفضة الارتفاع,,307002,محطة منخفضة الارتفاع,الموقع (دقة عالية) وتقرير أساسي,,,Operational
bufr4/3/07/004/2/101000,07,تسلسلات تقارير السطح (البحر),307004,محطة منخفضة الارتفاع,,101000,تكرار متأخر لـ 6 أوصاف,,,,Operational
