Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status,translated_by
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03001,,,B07003,الجهد الجغرافي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03001,,,B11001,اتجاه الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03001,,,B11002,سرعة الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03002,الرياح عند مستوى الضغط,,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03002,الرياح عند مستوى الضغط,,B11001,اتجاه الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03002,الرياح عند مستوى الضغط,,B11002,سرعة الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03003,,,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03003,,,B10003,الجهد الجغرافي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03003,,,B12001,درجة الحرارة/درجة حرارة الهواء,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03003,,,B12003,درجة حرارة نقطة الندى,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03004,,,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03004,,,B10003,الجهد الجغرافي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03004,,,B12001,درجة الحرارة/درجة حرارة الهواء,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03004,,,B12003,درجة حرارة نقطة الندى,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03004,,,B11001,اتجاه الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03004,,,B11002,سرعة الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03011,الرياح عند الارتفاع,,B07003,الجهد الجغرافي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03011,الرياح عند الارتفاع,,B08001,أهمية السبر الرأسي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03011,الرياح عند الارتفاع,,B11001,اتجاه الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03011,الرياح عند الارتفاع,,B11002,سرعة الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03012,الرياح عند مستوى الضغط,,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03012,الرياح عند مستوى الضغط,,B08001,أهمية السبر الرأسي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03012,الرياح عند مستوى الضغط,,B11001,اتجاه الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03012,الرياح عند مستوى الضغط,,B11002,سرعة الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B08001,أهمية السبر الرأسي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B10003,الجهد الجغرافي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B12001,درجة الحرارة/درجة حرارة الهواء,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B13003,الرطوبة النسبية,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B11001,اتجاه الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03013,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B11002,سرعة الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03014,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03014,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B08001,أهمية السبر الرأسي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03014,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B10003,الجهد الجغرافي,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03014,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B12001,درجة الحرارة/درجة حرارة الهواء,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03014,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B12003,درجة حرارة نقطة الندى,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03014,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B11001,اتجاه الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03014,(الجيوبوتينشال، درجة الحرارة، الرطوبة، الرياح عند مستوى الضغط),,B11002,سرعة الرياح,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03031,بيانات الأهمية، البر/البحر، درجة حرارة سطح الجلد,,B07004,ضغط,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03031,بيانات الأهمية، البر/البحر، درجة حرارة سطح الجلد,,B08003,الأهمية الرأسية (ملاحظات الأقمار الصناعية),قاعدة الاستشعار,,Operational,"AI Translator: rag_cache, Glossary Not Used"
03,تسلسلات الأرصاد الجوية الشائعة في بيانات السبر الرأسي,D03031,بيانات الأهمية، البر/البحر، درجة حرارة سطح الجلد,,B07021,ارتفاع,الذروة المحلية,,Operational,"AI Translator: rag_cache, Glossary Not Used"
