Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status,translated_by
bufr4/3/40/001/1/001007,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,001007,معرّف القمر الصناعي، الأداة ونوع المنتج,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/2/001031,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,001031,تحديد المركز المُنشئ/المُصدر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/3/002019,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,002019,أدوات الأقمار الصناعية,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/4/002020,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,002020,تصنيف الأقمار الصناعية,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/5/004001,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,004001,سنة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/6/004002,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,004002,شهر,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/7/004003,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,004003,يوم,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/8/004004,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,004004,ساعة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/9/004005,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,004005,دقيقة,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/10/202131,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,202131,تغيير المقياس,أضف 3 إلى المقياس,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/40/001/11/201138,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,201138,استبدال عرض البيانات,أضف 10 إلى العرض,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/40/001/12/004006,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,004006,ثاني,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/13/201000,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,201000,استبدال عرض البيانات,إلغاء,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/14/202000,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,202000,تغيير المقياس,إلغاء,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/15/005001,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,005001,خط العرض/خط الطول (دقة عالية),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/16/006001,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,006001,خط العرض/خط الطول (دقة عالية),,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/17/007024,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,007024,زاوية السمت للقمر الصناعي,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/18/005021,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,005021,التحمل أو زاوية السمت,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/19/007025,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,007025,سمت الشمس,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/20/005022,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,005022,سمت الشمس,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/21/005043,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,005043,رقم مجال الرؤية,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/22/005040,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,005040,رقم المدار,,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/40/001/23/201133,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,201133,استبدال عرض البيانات,أضف 5 إلى العرض,,,Operational,"AI Translator: azure, Glossary Not Used"
bufr4/3/40/001/24/005041,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,005041,رقم خط المسح,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/25/201000,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,201000,استبدال عرض البيانات,إلغاء,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/3/40/001/26/201132,40,تسلسلات تقارير الأقمار الصناعية الإضافية,340001,بيانات IASI المستوى 1c,,201132,استبدال عرض البيانات,أضف 4 إلى العرض,,,Operational,"AI Translator: azure, Glossary Not Used"
