Id,Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,noteIDs,Status
bufr4/3/22/001/1/310022,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,310022,معرّف القمر الصناعي، الأداة ونوع المنتج,,,,Operational
bufr4/3/22/001/2/301011,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,301011,سنة، شهر، يوم,,,,Operational
bufr4/3/22/001/3/301013,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,301013,ساعة، دقيقة، ثانية,,,,Operational
bufr4/3/22/001/4/301021,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,301021,خط العرض/خط الطول (دقة عالية),,,,Operational
bufr4/3/22/001/5/005041,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,005041,رقم خط المسح,,,,Operational
bufr4/3/22/001/6/005043,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,005043,رقم مجال الرؤية,,,,Operational
bufr4/3/22/001/7/027080,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,027080,زاوية السمت,,,,Operational
bufr4/3/22/001/8/005022,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,005022,سمت الشمس,,,,Operational
bufr4/3/22/001/9/013040,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,013040,علم السطح,,,,Operational
bufr4/3/22/001/10/020010,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,020010,الغطاء السحابي (الإجمالي),,,,Operational
bufr4/3/22/001/11/033085,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,033085,أعلام جودة سماكة البصريات الهباء الجوي,,,,Operational
bufr4/3/22/001/12/033115,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,033115,عمق البصريات الهباء الجوي,,,,Operational
bufr4/3/22/001/13/105002,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,105002,كرر 5 أوصاف مرتين,,,,Operational
bufr4/3/22/001/14/008099,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,008099,استشعار الاتجاه,,,,Operational
bufr4/3/22/001/15/007024,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,007024,زاوية السمت للقمر الصناعي,,,,Operational
bufr4/3/22/001/16/007025,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,007025,زاوية السمت للقمر الصناعي,,,,Operational
bufr4/3/22/001/17/007075,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,007075,زاوية التشتت,,,,Operational
bufr4/3/22/001/18/007076,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,007076,زاوية السمت,,,,Operational
bufr4/3/22/001/19/106000,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,106000,تكرار متأخر لـ 6 أوصاف,,,,Operational
bufr4/3/22/001/20/031001,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,031001,عامل تكرار الأوصاف المتأخر,,,,Operational
bufr4/3/22/001/21/002071,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,002071,الطول الموجي الطيفي,,,,Operational
bufr4/3/22/001/22/008043,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,008043,نوع المكون الكيميائي أو الفيزيائي الجوي,,,,Operational
bufr4/3/22/001/23/015024,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,015024,العمق البصري,,,,Operational
bufr4/3/22/001/24/008043,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,008043,نوع المكون الكيميائي أو الفيزيائي الجوي,,,,Operational
bufr4/3/22/001/25/015024,22,التسلسلات الكيميائية والهبائية,322001,عمق البصريات الهباء الجوي,,015024,العمق البصري,,,,Operational
