Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/13/001,13,العناصر الهيدروغرافية والهيدرولوجية,013001,الرطوبة النوعية,kg/kg,5,0,14,kg/kg,5,5,,,Operational
bufr4/0/13/002,13,العناصر الهيدروغرافية والهيدرولوجية,013002,نسبة الخلط,kg/kg,5,0,14,kg/kg,5,5,,,Operational
bufr4/0/13/003,13,العناصر الهيدروغرافية والهيدرولوجية,013003,الرطوبة النسبية,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/004,13,العناصر الهيدروغرافية والهيدرولوجية,013004,ضغط البخار,Pa,-1,0,10,Pa,-1,4,,,Operational
bufr4/0/13/005,13,العناصر الهيدروغرافية والهيدرولوجية,013005,كثافة البخار,kg m-3,3,0,7,kg m-3,3,3,,,Operational
bufr4/0/13/006,13,العناصر الهيدروغرافية والهيدرولوجية,013006,ارتفاعات المزج,m,-1,-40,16,m,-1,5,,,Operational
bufr4/0/13/007,13,العناصر الهيدروغرافية والهيدرولوجية,013007,الحد الأدنى للرطوبة النسبية,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/008,13,العناصر الهيدروغرافية والهيدرولوجية,013008,الرطوبة النسبية القصوى,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/009,13,العناصر الهيدروغرافية والهيدرولوجية,013009,الرطوبة النسبية,%,1,-1000,12,%,1,4,(راجع الملاحظة 6),39,Operational
bufr4/0/13/011,13,العناصر الهيدروغرافية والهيدرولوجية,013011,إجمالي الهطول/إجمالي المكافئ المائي,kg m-2,1,-1,14,kg m-2,1,5,,,Operational
bufr4/0/13/012,13,العناصر الهيدروغرافية والهيدرولوجية,013012,عمق الثلج الطازج,m,2,-2,12,m,2,4,"Certainly! Please provide the text you would like me to translate, along with any glossary terms or translation memory examples you'd like me to follow.",26,Operational
bufr4/0/13/013,13,العناصر الهيدروغرافية والهيدرولوجية,013013,عمق الثلج الكلي,m,2,-2,16,m,2,5,"Please provide the text you would like me to translate, along with any glossary terms or translation memory examples you would like me to follow.",26,Operational
