Id,FXY,ElementName_ar,CodeFigure,EntryName_ar,EntryName_sub1_ar,EntryName_sub2_ar,Note_ar,noteIDs,Status,translated_by
bufr4/0/01/003/0,001003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,0,أنتاركتيكا,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/1,001003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,1,إقليمي,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/2,001003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,2,المنطقة الثانية,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/3,001003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,3,المنطقة الثانية,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/4,001003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,4,المنطقة الثانية,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/5,001003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,5,المنطقة الخامسة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/6,001003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,6,المنطقة الخامسة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/003/7,001003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,7,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/007,001007,معرّف القمر الصناعي، الأداة ونوع المنتج,,,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/0,001024,سرعة الرياح,0,لا توجد بيانات سرعة الرياح متوفرة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/1,001024,سرعة الرياح,1,بيانات AMSR-E,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/2,001024,سرعة الرياح,2,بيانات TMI,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/3,001024,سرعة الرياح,3,نموذج التنبؤ العددي: المركز الأوروبي للتنبؤات الجوية متوسطة المدى,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/4,001024,سرعة الرياح,4,نموذج التنبؤ العددي: مكتب الأرصاد الجوية البريطاني,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/5,001024,سرعة الرياح,5,نموذج التنبؤ العددي: المركز الوطني للتنبؤات البيئية,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/6,001024,سرعة الرياح,6,مرجع المناخيات,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/7,001024,سرعة الرياح,7,مقياس التبعثر_ERS,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/8-30,001024,سرعة الرياح,8-30,مخصص للاستخدام المستقبلي,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/024/31,001024,سرعة الرياح,31,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/028/0,001028,عمق البصريات الهباء الجوي,0,لا توجد بيانات AOD متاحة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/028/1,001028,عمق البصريات الهباء الجوي,1,نيسديس,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/028/2,001028,عمق البصريات الهباء الجوي,2,نافوكيانو,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/028/3,001028,عمق البصريات الهباء الجوي,3,ناابس,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/028/4,001028,عمق البصريات الهباء الجوي,4,ميريس,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/028/5,001028,عمق البصريات الهباء الجوي,5,إيه إيه تي إس آر,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/028/6-30,001028,عمق البصريات الهباء الجوي,6-30,مخصص للاستخدام المستقبلي,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/028/31,001028,عمق البصريات الهباء الجوي,31,القيمة المفقودة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/029/0,001029,مصدر SSI,0,لا توجد بيانات SSI متاحة,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
bufr4/0/01/029/1,001029,مصدر SSI,1,MSG_SEVIRI,,,,,Operational,"AI Translator: rag_cache, Glossary Not Used"
