Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status
01,تسلسلات الموقع والتعريف,D01001,(رقم كتلة ومحطة WMO),,B01001,رقم كتلة WMO,,,Operational
01,تسلسلات الموقع والتعريف,D01001,(رقم كتلة ومحطة WMO),,B01002,رقم محطة WMO,,,Operational
01,تسلسلات الموقع والتعريف,D01002,,,B01003,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,,,Operational
01,تسلسلات الموقع والتعريف,D01002,,,B01004,رقم المنطقة/المنطقة الجغرافية التابعة للمنظمة العالمية للأرصاد الجوية,,,Operational
01,تسلسلات الموقع والتعريف,D01002,,,B01005,معرف العوامة/المنصة,,,Operational
01,تسلسلات الموقع والتعريف,D01003,إشارة نداء السفينة,,B01011,معرّف السفينة أو محطة الأرض المتنقلة,إشارة نداء السفينة,,Operational
01,تسلسلات الموقع والتعريف,D01003,إشارة نداء السفينة,,B01012,سرعة حركة منصة الرصد المتحركة,,,Operational
01,تسلسلات الموقع والتعريف,D01003,إشارة نداء السفينة,,B01013,سرعة حركة منصة الرصد المتحركة,,,Operational
01,تسلسلات الموقع والتعريف,D01004,التعريف بمحطة السطح؛ الوقت، الإحداثيات الأفقية والعمودية,,B01001,رقم كتلة WMO,,,Operational
01,تسلسلات الموقع والتعريف,D01004,التعريف بمحطة السطح؛ الوقت، الإحداثيات الأفقية والعمودية,,B01002,رقم محطة WMO,,,Operational
01,تسلسلات الموقع والتعريف,D01004,التعريف بمحطة السطح؛ الوقت، الإحداثيات الأفقية والعمودية,,B01015,اسم المحطة أو الموقع,,,Operational
01,تسلسلات الموقع والتعريف,D01004,التعريف بمحطة السطح؛ الوقت، الإحداثيات الأفقية والعمودية,,B02001,نوع المحطة,,,Operational
01,تسلسلات الموقع والتعريف,D01005,(المركز/المركز الفرعي),,B01035,(المركز/المركز الفرعي),,,Operational
01,تسلسلات الموقع والتعريف,D01005,(المركز/المركز الفرعي),,B01034,تحديد المركز المُنشئ/المُصدر,,,Operational
01,تسلسلات الموقع والتعريف,D01011,سنة، شهر، يوم,,B04001,سنة,,,Operational
01,تسلسلات الموقع والتعريف,D01011,سنة، شهر، يوم,,B04002,شهر,,,Operational
01,تسلسلات الموقع والتعريف,D01011,سنة، شهر، يوم,,B04003,يوم,,,Operational
01,تسلسلات الموقع والتعريف,D01012,ساعة، دقيقة، ثانية,,B04004,ساعة,,,Operational
01,تسلسلات الموقع والتعريف,D01012,ساعة، دقيقة، ثانية,,B04005,دقيقة,,,Operational
01,تسلسلات الموقع والتعريف,D01013,ساعة، دقيقة، ثانية,,B04004,ساعة,,,Operational
01,تسلسلات الموقع والتعريف,D01013,ساعة، دقيقة، ثانية,,B04005,دقيقة,,,Operational
01,تسلسلات الموقع والتعريف,D01013,ساعة، دقيقة، ثانية,,B04006,ثاني,,,Operational
01,تسلسلات الموقع والتعريف,D01014,(الفترة الزمنية),,R02002,كرر 5 أوصاف مرتين,,,Operational
01,تسلسلات الموقع والتعريف,D01014,(الفترة الزمنية),,D01011,سنة، شهر، يوم,,,Operational
01,تسلسلات الموقع والتعريف,D01014,(الفترة الزمنية),,D01012,ساعة، دقيقة، ثانية,,,Operational
01,تسلسلات الموقع والتعريف,D01018,إشارة نداء السفينة المشفرة وطريقة التشفير,,B01114,معرف السفينة المشفرة أو محطة الأرض المتنقلة (ترميز base64),راجع الملاحظات 2-4,,Operational
01,تسلسلات الموقع والتعريف,D01018,إشارة نداء السفينة المشفرة وطريقة التشفير,,B25185,طريقة التشفير,,,Operational
01,تسلسلات الموقع والتعريف,D01018,إشارة نداء السفينة المشفرة وطريقة التشفير,,B25186,إصدار مفتاح التشفير,,,Operational
01,تسلسلات الموقع والتعريف,D01021,خط العرض/خط الطول (دقة عالية),,B05001,خط العرض/خط الطول (دقة عالية),,,Operational
01,تسلسلات الموقع والتعريف,D01021,خط العرض/خط الطول (دقة عالية),,B06001,خط العرض/خط الطول (دقة عالية),,,Operational
