Id,ClassNo,ClassName_ar,FXY,ElementName_ar,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_ar,noteIDs,Status
bufr4/0/05/001,05,الموقع (أفقي - 1),005001,خط العرض (الدقة العالية),deg,5,-9000000,25,deg,5,7,,,Operational
bufr4/0/05/002,05,الموقع (أفقي - 1),005002,خط العرض (دقة تقريبية),deg,2,-9000,15,deg,2,4,,,Operational
bufr4/0/05/011,05,الموقع (أفقي - 1),005011,زيادة خط العرض (دقة عالية),deg,5,-9000000,25,deg,5,7,,,Operational
bufr4/0/05/012,05,الموقع (أفقي - 1),005012,زيادة خط العرض (دقة تقريبية),deg,2,-9000,15,deg,2,4,,,Operational
bufr4/0/05/015,05,الموقع (أفقي - 1),005015,الإزاحة العرضية (دقة عالية),deg,5,-9000000,25,deg,5,7,,,Operational
bufr4/0/05/016,05,الموقع (أفقي - 1),005016,الإزاحة العرضية (دقة تقريبية),deg,2,-9000,15,deg,2,4,,,Operational
bufr4/0/05/021,05,الموقع (أفقي - 1),005021,المحمل أو الاتجاه الزاوي,degree true,2,0,16,degree true,2,5,,,Operational
bufr4/0/05/022,05,الموقع (أفقي - 1),005022,زاوية السمت الشمسية,degree true,2,0,16,degree true,2,5,,,Operational
bufr4/0/05/023,05,الموقع (أفقي - 1),005023,الفارق في الاتجاه الأفقي بين الشمس والقمر الصناعي,deg,1,-1800,12,deg,1,4,,,Operational
bufr4/0/05/030,05,الموقع (أفقي - 1),005030,التوجيه (الطيفي),deg,0,0,12,deg,0,4,,,Operational
bufr4/0/05/031,05,الموقع (أفقي - 1),005031,رقم الصف,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/05/032,05,الموقع (أفقي - 1),005032,الإزاحة Y,m,2,-1073741824,31,m,2,11,(راجع الملاحظة 6),184,Operational
bufr4/0/05/033,05,الموقع (أفقي - 1),005033,حجم البكسل على المحور الأفقي - 1,m,-1,0,16,m,-1,5,,,Operational
bufr4/0/05/034,05,الموقع (أفقي - 1),005034,رقم الصف على طول المسار,Numeric,0,0,11,Numeric,0,4,,,Operational
bufr4/0/05/035,05,الموقع (أفقي - 1),005035,الحد الأقصى لحجم البُعد-x,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/05/036,05,الموقع (أفقي - 1),005036,رقم مقطع السفينة وفقًا لـ SOOP,Numeric,0,0,7,Numeric,0,2,,,Operational
bufr4/0/05/040,05,الموقع (أفقي - 1),005040,رقم المدار,Numeric,0,0,24,Numeric,0,8,,,Operational
bufr4/0/05/041,05,الموقع (أفقي - 1),005041,رقم خط المسح,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/042,05,الموقع (أفقي - 1),005042,رقم القناة,Numeric,0,0,6,Numeric,0,2,,,Operational
bufr4/0/05/043,05,الموقع (أفقي - 1),005043,رقم مجال الرؤية,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/044,05,الموقع (أفقي - 1),005044,رقم دورة القمر الصناعي,Numeric,0,0,11,Numeric,0,4,,,Operational
bufr4/0/05/045,05,الموقع (أفقي - 1),005045,رقم مجال الرؤية,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/052,05,الموقع (أفقي - 1),005052,زيادة رقم القناة,Numeric,0,0,5,Numeric,0,2,,,Operational
bufr4/0/05/053,05,الموقع (أفقي - 1),005053,رقم زيادة مجال الرؤية,Numeric,0,0,5,Numeric,0,2,,,Operational
bufr4/0/05/060,05,الموقع (أفقي - 1),005060,موضع زاوية Y من مركز الثقل,deg,6,-8000000,24,deg,6,8,,,Operational
bufr4/0/05/061,05,الموقع (أفقي - 1),005061,موضع زاوية Z من مركز الثقل,deg,6,-8000000,24,deg,6,8,,,Operational
bufr4/0/05/063,05,الموقع (أفقي - 1),005063,دوران المركبة الفضائية,deg,2,0,16,deg,2,5,,,Operational
bufr4/0/05/064,05,الموقع (أفقي - 1),005064,زاوية ميل المركبة الفضائية,deg,2,0,16,deg,2,5,,,Operational
bufr4/0/05/066,05,الموقع (أفقي - 1),005066,انحراف المركبة الفضائية,deg,2,0,16,deg,2,5,,,Operational
bufr4/0/05/067,05,الموقع (أفقي - 1),005067,عدد خطوط المسح,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/068,05,الموقع (أفقي - 1),005068,رقم الملف الشخصي,Numeric,0,0,16,Numeric,0,5,,,Operational
bufr4/0/05/069,05,الموقع (أفقي - 1),005069,قناة الاستقبال,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/05/070,05,الموقع (أفقي - 1),005070,معرّف الملاحظة,Numeric,0,0,30,Numeric,0,10,,,Operational
bufr4/0/05/071,05,الموقع (أفقي - 1),005071,معرّف شريط الخريطة,Numeric,0,0,16,Numeric,0,5,,,Operational
bufr4/0/05/072,05,الموقع (أفقي - 1),005072,عدد الأطياف في اتجاه النطاق,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/073,05,الموقع (أفقي - 1),005073,عدد الأطياف في الاتجاه الأزيموثي,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/074,05,الموقع (أفقي - 1),005074,مؤشر في اتجاه النطاق,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/075,05,الموقع (أفقي - 1),005075,الفهرس في الاتجاه السمتي,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/076,05,الموقع (أفقي - 1),005076,زاوية السمت الشمسية في إطار مرجعي الأداة,deg,2,0,16,deg,2,6,,,Operational
bufr4/0/05/077,05,الموقع (أفقي - 1),005077,نقطة خط العرض تحت القمر الصناعي,deg,4,-900000,21,deg,4,7,,,Operational
bufr4/0/05/078,05,الموقع (أفقي - 1),005078,رقم البوق,Numeric,0,0,4,Numeric,0,2,,,Operational
bufr4/0/05/079,05,الموقع (أفقي - 1),005079,رقم الفرقة,Numeric,0,0,6,Numeric,0,2,,,Operational
bufr4/0/05/080,05,الموقع (أفقي - 1),005080,نصف قطر الدقة,m,-3,0,6,m,-3,2,,,Operational
bufr4/0/05/092,05,الموقع (أفقي - 1),005092,مؤشر المسار الجانبي أو رقم صف المسار الجانبي.,Numeric,0,-1,3,,,,,,Operational
