Category,CategoryOfSequences_ar,FXY1,Title_ar,SubTitle_ar,FXY2,ElementName_ar,ElementDescription_ar,Note_ar,Status
00,تسلسلات إدخالات جدول CREX,D00002,,,B00002,الجدول أ: وصف فئة البيانات، السطر 1,,,Operational
00,تسلسلات إدخالات جدول CREX,D00002,,,B00003,الجدول أ: وصف فئة البيانات، السطر 1,,,Operational
00,تسلسلات إدخالات جدول CREX,D00003,(إضافة أو تعريف F، X، Y الخاص بالوصف),,B00010,(إضافة أو تعريف F، X، Y الخاص بالوصف),,,Operational
00,تسلسلات إدخالات جدول CREX,D00003,(إضافة أو تعريف F، X، Y الخاص بالوصف),,B00011,إضافة أو تعريف الوصف X,,,Operational
00,تسلسلات إدخالات جدول CREX,D00003,(إضافة أو تعريف F، X، Y الخاص بالوصف),,B00012,(إضافة أو تعريف F، X، Y الخاص بالوصف),,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,D00003,(إضافة أو تعريف F، X، Y الخاص بالوصف),,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,B00013,اسم العنصر,,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,B00014,اسم العنصر,,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,B00015,اسم الوحدات,,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,B00016,علامة مقياس الوحدات,,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,B00017,علامة مقياس الوحدات,,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,B00018,علامة مقياس الوحدات,,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,B00019,قيمة مرجع الوحدات,,,Operational
00,تسلسلات إدخالات جدول CREX,D00004,,,B00020,عرض بيانات العنصر,,,Operational
00,تسلسلات إدخالات جدول CREX,D00010,,,D00003,(إضافة أو تعريف F، X، Y الخاص بالوصف),,,Operational
00,تسلسلات إدخالات جدول CREX,D00010,,,R01000,تكرار متأخر لـ 6 أوصاف,,,Operational
00,تسلسلات إدخالات جدول CREX,D00010,,,B00030,واصف تحديد التسلسل,,,Operational
00,تسلسلات إدخالات جدول CREX,D00015,جدول الأكواد,,B00030,واصف تحديد التسلسل,,,Operational
00,تسلسلات إدخالات جدول CREX,D00015,جدول الأكواد,,R02000,تكرار متأخر لـ 6 أوصاف,حتى 9999 إدخالًا,,Operational
00,تسلسلات إدخالات جدول CREX,D00015,جدول الأكواد,,B00024,رمز الشكل,,,Operational
00,تسلسلات إدخالات جدول CREX,D00015,جدول الأكواد,,B00025,رمز الشكل,,,Operational
00,تسلسلات إدخالات جدول CREX,D00016,(تعريف جدول الأعلام),,B00030,واصف تحديد التسلسل,,,Operational
00,تسلسلات إدخالات جدول CREX,D00016,(تعريف جدول الأعلام),,R02000,تكرار متأخر لـ 6 أوصاف,,,Operational
00,تسلسلات إدخالات جدول CREX,D00016,(تعريف جدول الأعلام),,B00026,رقم البت,,,Operational
00,تسلسلات إدخالات جدول CREX,D00016,(تعريف جدول الأعلام),,B00027,رقم البت,,,Operational
